"neighbourConstellations | bordering","Columba_(constellation) | Lepus_(constellation) | Horologium_(constellation) | Eridanus_(constellation)","Horologium | Columba | Lepus | Dorado | Pictor | Eridanus","","shares border with"
"numbermainstars","4","","",""
"symbolism","the chisel","the chisel | chisel","chisel","named after"
"genitive","Caeli","","",""
"numbernearbystars","0","","",""
"neareststarname","HD 30876","","",""
"arearank","81.0","","",""
"numberbrightstars","0","","",""
"brighteststarname","Alpha_Caeli","","",""
"meteorshowers","1","","",""
"isPrimaryTopicOf","Caelum","","",""
"numberbfstars","8","","",""
"stardistancely","57.86","","",""
"numberstarsplanets","1","","",""
"abbreviation","Cae","","",""
"primaryTopic","Caelum","","",""
"starmagnitude","4.45","","",""
"stardistancepc","17.75","","",""
"numbermessierobjects","0","","",""
"areatotal","","125","","area"
"name","","Caelum","","official name"
"","","","Caelum","Commons gallery"
"","","","Southern Celestial Hemisphere","part of"
"","","","1750-01-01T00:00:00Z","time of discovery or invention"
"","","","Caelum (constellation)","Commons category"
"","","","constellation","instance of"
"","","","Nicolas Louis de Lacaille","discoverer or inventor"
