"arearank","43.0","","",""
"numbermainstars","8","","",""
"starmagnitude","−1.46","","",""
"constellation","NGC_2354 | Sh2-308 | NGC_2360 | NGC_2204 | SN_2003H | NGC_2362 | Messier_41 | NGC_2359 | SN_1999ec | NGC_2374","","",""
"isPrimaryTopicOf","Canis_Major","","",""
"numberbfstars","32","","",""
"bordering | neighbourConstellations","Lepus_(constellation)","Puppis | Columba | Lepus | Monoceros","","shares border with"
"numberstarsplanets","7","","",""
"brighteststarname","Sirius","","",""
"numberbrightstars","5","","",""
"stardistancepc","2.64","","",""
"numbermessierobjects","1","","",""
"neareststarname","Sirius","","",""
"genitive","Canis Majoris","","",""
"primaryTopic","Canis_Major","","",""
"symbolism","the greater dog",Greater Dog,"dog | Laelaps","named after"
"name","","Canis Major","","official name"
"stardistancely","8.6","","",""
"numbernearbystars","1","","",""
"areatotal","","380","","area"
"meteorshowers","0","","",""
"abbreviation","CMa","","",""
"","","","Q2041543 | Armenian Soviet Encyclopedia, vol. 7 | Encyclopædia Britannica 11th edition | Star Lore of All Ages | Great Soviet Encyclopedia (1926–1947) | A field book of the stars","described by source"
"","","","constellation","instance of"
"","","","Canis","Hederich encyclopedia article"
"","","","Canis Major","Commons category"
"","","","Canis Major","Commons gallery"
