"constellation","Abell_133 | Abell_400 | MACS_J0025.4-1222 | NGC_246 | Abell_223 | Abell_222 | IRC_0218 | Abell_370 | SN_UDS10Wil | Sculptor_Group","","",""
"brighteststarname","Diphda","","",""
"neighbourConstellations | bordering","Sculptor_(constellation) | Pisces_(constellation) | Eridanus_(constellation) | Aries_(constellation) | Taurus_(constellation) | Aquarius_(constellation)","Taurus | Fornax | Eridanus | Aquarius | Pisces | Sculptor | Aries","","shares border with"
"numberbrightstars","2","","",""
"stardistancely","8.73","","",""
"primaryTopic","Cetus","","",""
"family","Perseus_Family","","",""
"meteorshowers","Eta_Cetids | October_Cetids | Omicron_Cetids","","",""
"neareststarname","Luyten_726-8","","",""
"name","","Cetus","Walfisch","official name | name"
"numbermessierobjects","1","","",""
"genitive","Ceti","","",""
"numberbfstars","88","","",""
"areatotal","","1231","","area"
"stardistancepc","2.68","","",""
"numbernearbystars","9","","",""
"symbolism","the Whale, Shark, or Sea Monster","Cetus","Cetacea | Cetus","named after"
"numberstarsplanets","23","","",""
"starmagnitude","2.02","","",""
"abbreviation","Cet","","",""
"arearank","4","","",""
"isPrimaryTopicOf","Cetus","","",""
"numbermainstars","14","","",""
"","","","2--99","Dewey Decimal Classification"
"","","","Cetus","Commons gallery"
"","","","Star Lore of All Ages | Armenian Soviet Encyclopedia | Encyclopædia Britannica 11th edition | Q22341360 | Brockhaus and Efron Encyclopedic Dictionary | A field book of the stars","described by source"
"","","","Cetus (constellation)","Commons category"
"","","","constellation","instance of"
