"bordering | neighbourConstellations","Norma_(constellation) | Lupus_(constellation)","Centaurus | Triangulum Australe | Musca | Apus | Norma | Lupus","Lupus | Norma","shares border with"
"neareststarname","Alpha_Circini","","",""
"meteorshowers","Alpha_Circinids","","",""
"""symbolism"",""Compass_(drafting)"",""Compass_(drafting)"",""compass"",""named after"""
"numbernearbystars","0","","",""
"abbreviation","Cir","","",""
"numberbrightstars","0","","",""
"isPrimaryTopicOf","Circinus","","",""
"starmagnitude","3.19","","",""
"constellation","Pismis_20 | NGC_5315","","",""
"numberbfstars","9","","",""
"numbermainstars","3","","",""
"stardistancely","53.5","","",""
"arearank","85","","",""
"areatotal","","93","","area"
"primaryTopic","Circinus","","",""
"stardistancepc","16.4","","",""
"genitive","Circini","","",""
"brighteststarname","Alpha_Circini","","",""
"name","","Circinus","","official name"
"numbermessierobjects","0","","",""
"numberstarsplanets","2","","",""
"","","","1756-01-01T00:00:00Z","time of discovery or invention"
"","","","Southern Celestial Hemisphere","part of"
"","","","Circinus (constellation)","Commons category"
"","","","Armenian Soviet Encyclopedia | Brockhaus and Efron Encyclopedic Dictionary","described by source"
"","","","constellation","instance of"
"","","","Circinus","Commons gallery"
"","","","Nicolas Louis de Lacaille","discoverer or inventor"
