"constellation","IC_4499 | Hen_2-131 | NGC_6101","","",""
"bordering | neighbourConstellations","Pavo_(constellation) | Ara_(constellation)","Chamaeleon | Musca | Triangulum Australe | Circinus | Octans | Ara | Pavo","Pavo | Ara","shares border with"
"numbermainstars","4","","",""
"abbreviation","Aps","","",""
"genitive","Apodis","","",""
"numbernearbystars","0","","",""
"numberstarsplanets","2","","",""
"starmagnitude","3.83","","",""
"numberbrightstars","0","","",""
"isPrimaryTopicOf","Apus","","",""
"numbermessierobjects","0","","",""
"symbolism","The Bird-of-Paradise",The Bird-of-Paradise | birds-of-paradise,"birds-of-paradise","named after"
"areatotal","","206","","area"
"primaryTopic","Apus","","",""
"arearank","67","","",""
"meteorshowers","0","","",""
"family","Bayer_Family","","",""
"brighteststarname","Alpha_Apodis","","",""
"name","","Apus","","official name"
"numberbfstars","12","","",""
"","","","Southern Celestial Hemisphere","part of"
"","","","Apus (constellation)","Commons category"
"","","","Encyclopedic Lexicon | Granat Encyclopedic Dictionary | Brockhaus and Efron Encyclopedic Dictionary","described by source"
"","","","Apus (constellation)","Commons gallery"
"","","","1598-01-01T00:00:00Z","time of discovery or invention"
"","","","constellation","instance of"
"","","","Petrus Plancius","discoverer or inventor"
