"numbermessierobjects","3","","",""
"meteorshowers","Iota Aquariids | March Aquariids | Delta_Aquariids | Eta_Aquariids","","",""
"constellation","XMMXCS_2215-1738 | Aquarius_(astrology) | Southern_Delta_Aquariids | Messier_72 | Messier_2 | Messier_73 | Saturn_Nebula | Helix_Nebula | Eta_Aquariids | Lyman-alpha_blob_1 | RXC_J2211.7-0350 | NGC_7492","","",""
"bordering | neighbourConstellations","Aquila_(constellation) | Sculptor_(constellation) | Pegasus_(constellation) | Pisces_(constellation)","Equuleus | Cetus | Piscis Austrinus | Capricornus | Delphinus | Aquila | Pisces | Sculptor | Pegasus","Pegasus | Aquila | Pisces | Sculptor","shares border with"
"stardistancely","11.27","","",""
"primaryTopic","Aquarius_(constellation)","","",""
"areatotal","","980","","area"
"numberbrightstars","2","","",""
"numbernearbystars","7","","",""
"family","Zodiac","","",""
"starmagnitude","2.91","","",""
"isPrimaryTopicOf","Aquarius_(constellation)","","",""
"neareststarname","EZ_Aquarii","","",""
"genitive","Aquarii","","",""
"numberbfstars","97","","",""
"numbermainstars","1022","","",""
"abbreviation","Aqr","","",""
"numberstarsplanets","12","","",""
"stardistancepc","3.45","","",""
"brighteststarname","Beta_Aquarii","","",""
"arearank","10","","",""
"name","","Aquarius","","official name"
"symbolism","the Water-Bearer","","",""
"","","","Aquarius (constellation)","Commons category"
"","","","zodiacal constellation | constellation","instance of"
"","","","Meyers Konversations-Lexikon, 4th edition (1885–1890) | Small Brockhaus and Efron Encyclopedic Dictionary | Star Lore of All Ages | Great Soviet Encyclopedia (1926–1947) | Encyclopædia Britannica 11th edition | Brockhaus and Efron Encyclopedic Dictionary | A field book of the stars","described by source"
"","","","Aquarius (constellation)","Commons gallery"
"","","","Aqvarivs","Hederich encyclopedia article"
