"stardistancepc","5.13","","",""
"bordering | neighbourConstellations","Hercules_(constellation) | Scutum_(constellation) | Serpens Cauda | Aquarius_(constellation) | Serpens Cauda","Sagitta | Serpens | Scutum | Ophiuchus | Hercules | Sagittarius | Capricornus | Aquarius | Delphinus","","shares border with"
"numbermainstars","10","","",""
"numbernearbystars","2","","",""
"abbreviation","Aql","","",""
"primaryTopic","Aquila_(constellation)","","",""
"constellation","Westerhout_49 | Westerhout_50 | Serpens–Aquila_Rift | Hen_2-428 | NGC_6751 | NGC_6738 | Westerhout_43 | NGC_6755 | NGC_6863 | Abell_48 | NGC_6778 | NGC_6709 | HESS_J1857+026 | NGC_6790 | NGC_6781 | NGC_6760 | NGC_6741 | E_Nebula | W49B | Abell_70 | NGC_6756","","",""
"neareststarname","Altair","","",""
"starmagnitude","0.76","","",""
"meteorshowers","Epsilon Aquilids | June Aquilids","","",""
"numbermessierobjects","0","","",""
"volume","2","","",""
"shipNamesake","USS_Aquila_(PHM-4)","","",""
"symbolism","the Eagle",the Eagle | eagle ,"eagle","named after"
"numberbrightstars","3","","",""
"stardistancely","16.77","","",""
"genitive","Aquilae","","",""
"numberbfstars","65","","",""
"areatotal","652",652,"652.5","area"
"name","","Aquila","","official name"
"numberstarsplanets","9","","",""
"arearank","22","","",""
"isPrimaryTopicOf","Aquila_(constellation)","","",""
"brighteststarname","Altair_(star)","","",""
"family","Hercules_Family","","",""
"","","","Aqvila","Hederich encyclopedia article"
"","","","Armenian Soviet Encyclopedia, vol. 2 | Meyers Konversations-Lexikon, 4th edition (1885–1890) | Star Lore of All Ages | Encyclopædia Britannica 11th edition | Brockhaus and Efron Encyclopedic Dictionary | A field book of the stars | New Encyclopedic Dictionary","described by source"
"","","","Aquila (constellation)","Commons gallery"
"","","","Northern celestial hemisphere","part of"
"","","","constellation","instance of"
"","","","Aquila (constellation)","Commons category"
