"constellation","Delta_Aurigids | NGC_1985 | NGC_2240 | NGC_1907 | NGC_1664 | Messier_36 | NGC_1893 | NGC_1931 | IC_405 | Westbrook_Nebula | NGC_2281 | Messier_37 | IC_2149 | Palomar_2 | NGC_2242 | Messier_38 | Aurigids","","",""
"numbermessierobjects","3","","",""
"starmagnitude","0.08","","",""
"areatotal","","657","","area"
"name","","Auriga","","official name"
"numbernearbystars","2","","",""
"brighteststarname","Capella_(star)","","",""
"meteorshowers","Aurigids | Delta Aurigids","","",""
"stardistancepc","6.36","","",""
"bordering | neighbourConstellations","Gemini_(constellation) | Lynx_(constellation) | Perseus_(constellation)","Taurus | Gemini | Lynx | Perseus | Camelopardalis","","shares border with"
"numberstarsplanets","7","","",""
"stardistancely","20.74","","",""
"numbermainstars","58","","",""
"symbolism","the Charioteer","","auriga","named after"
"family","Perseus_Family","","",""
"isPrimaryTopicOf","Auriga_(constellation)","","",""
"arearank","21.0","","",""
"numberbfstars","65","","",""
"neareststarname","QY Aur","","",""
"genitive","Aurigae","","",""
"numberbrightstars","4","","",""
"abbreviation","Aur","","",""
"primaryTopic","Auriga_(constellation)","","",""
"","","","Delta Aurigids","child astronomical body"
"","","","New International Encyclopedia | Small Brockhaus and Efron Encyclopedic Dictionary | Star Lore of All Ages | Armenian Soviet Encyclopedia | Encyclopædia Britannica 11th edition | Brockhaus and Efron Encyclopedic Dictionary | A field book of the stars","described by source"
"","","","Auriga","Commons gallery"
"","","","Auriga (constellation)","Commons category"
"","","","Northern celestial hemisphere","part of"
"","","","constellation","instance of"
