"bordering | neighbourConstellations","Hercules_(constellation) | Virgo_(constellation) | Serpens Caput | Serpens Caput","Draco | Corona Borealis | Serpens | Canes Venatici | Coma Berenices | Ursa Major | Hercules | Virgo","","shares border with"
"constellation","Abell_1991 | SN_2020tlf | Abell_1795 | Tau_Herculids | SN_2005bc | NGC_5466 | Quadrantids | GRB_080319B | June_Bootids","","",""
"isPrimaryTopicOf","Boötes","","",""
"stardistancepc","5.43","","",""
"genitive","Boötis","","",""
"numbernearbystars","3","","",""
"stardistancely","17.71","","",""
"numberbrightstars","3","","",""
"meteorshowers","June Bootids | January Bootids | Quadrantids","","",""
"abbreviation","Boo","","",""
"neareststarname","Wolf_498","","",""
"numberstarsplanets","10","","",""
"areatotal","","907","","area"
"arearank","13","","",""
"starmagnitude","−0.04","","",""
"numbermainstars","715","","",""
"numberbfstars","59","","",""
"primaryTopic","Boötes","","",""
"brighteststarname","Arcturus","","",""
"name","","Boötes","","official name"
"declination","7","","",""
"symbolism","The Herdsman","The Herdsman | Icarius of Athens | Philomelus","herder | Icarius of Athens | Philomelus","named after"
"numbermessierobjects","0","","",""
"","","","Gamma Boötis | Zeta Boötis | Kappa Boötis | Eta Boötis | Tau Boötis | Beta Boötis | Epsilon Boötis | Delta Boötis | Arcturus | Rho Boötis | Theta Boötis","has part(s)"
"","","","Boötes (constellation)","Commons category"
"","","","The Nuttall Encyclopædia | Paulys Realenzyklopädie der klassischen Altertumswissenschaft | Meyers Konversations-Lexikon, 4th edition (1885–1890) | Small Brockhaus and Efron Encyclopedic Dictionary | Star Lore of All Ages | Encyclopædia Britannica 11th edition | Brockhaus and Efron Encyclopedic Dictionary | A field book of the stars","described by source"
"","","","June Bootids","child astronomical body"
"","","","Boótes","Hederich encyclopedia article"
"","","","Northern celestial hemisphere","part of"
"","","","Boötes","Commons gallery"
"","","","constellation","instance of"
