"numbernearbystars","2","","",""
"constellation","SN_2011dh | Messier_3 | Canes_II_Group | M94_Group | SN_2005cs | NGC_4631_Group | SN_1994I | SN_2008ax | M51_Group","","",""
"neareststarname","DG_Canum_Venaticorum","","",""
"genitive","Canum Venaticorum","","",""
"isPrimaryTopicOf","Canes_Venatici","","",""
"areatotal","","465","","area"
"neighbourConstellations | bordering","","Boötes | Coma Berenices | Ursa Major","","shares border with"
"abbreviation","CVn","","",""
"numberbfstars","21","","",""
"name","","Canes Venatici","","official name"
"arearank","38","","",""
"numbermainstars","2","","",""
"numberstarsplanets","4","","",""
"declination","28","","",""
"primaryTopic","Canes_Venatici","","",""
"meteorshowers","Canes_Venaticids","","",""
"starmagnitude","2.9","","",""
"stardistancepc","7.94","","",""
"symbolism","the Hunting Dogs",the Hunting Dogs | hunting dog,"hunting dog","named after"
"numberbrightstars","1","","",""
"stardistancely","25.89","","",""
"brighteststarname","Cor_Caroli","","",""
"numbermessierobjects","5","","",""
"","","","Encyclopædia Britannica 11th edition | Star Lore of All Ages | Armenian Soviet Encyclopedia, vol. 8 | Great Soviet Encyclopedia (1926–1947) | Brockhaus and Efron Encyclopedic Dictionary | A field book of the stars","described by source"
"","","","Northern celestial hemisphere","part of"
"","","","Gerard of Cremona","discoverer or inventor"
"","","","Canes Venatici","Commons gallery"
"","","","constellation","instance of"
"","","","Canes Venatici (constellation)","Commons category"
