"stardistancely","11.41","","",""
"arearank","71.0","","",""
"starmagnitude","0.34","","",""
"abbreviation","CMi","","",""
"name","","Canis Minor","","official name"
"numberbrightstars","2","","",""
"neighbourConstellations | bordering","Gemini_(constellation) | Cancer_(constellation)","Cancer | Hydra | Monoceros | Gemini","","shares border with"
"brighteststarname","Procyon","","",""
"meteorshowers","Canis-Minorids","","",""
"numberbfstars","14","","",""
"primaryTopic","Canis_Minor","","",""
"symbolism","The Lesser Dog","","dog","named after"
"neareststarname","Procyon","","",""
"numbermainstars","2","","",""
"numberstarsplanets","1","","",""
"stardistancepc","3.5","","",""
"numbernearbystars","4","","",""
"genitive","Canis Minoris","","",""
"areatotal","","183","","area"
"isPrimaryTopicOf","Canis_Minor","","",""
"numbermessierobjects","0","","",""
"","","","Q2041543 | Armenian Soviet Encyclopedia | Star Lore of All Ages | Great Soviet Encyclopedia (1926–1947) | A field book of the stars","described by source"
"","","","constellation | deity","instance of"
"","","","Canis Minor","Commons category"
"","","","Procyon","has part(s)"
"","","","Canis Minor","Commons gallery"
