"numberstarsplanets","5","","",""
"constellation","Palomar_12 | Capricorn_(astrology) | Alpha_Capricornids | HCG_87","","",""
"bordering | neighbourConstellations","Aquila_(constellation) | Sagittarius_(constellation) | Aquarius_(constellation)","Piscis Austrinus | Microscopium | Aquila | Sagittarius | Aquarius","Aquila | Sagittarius | Aquarius","shares border with"
"abbreviation","Cap","","",""
"isPrimaryTopicOf","Capricornus","","",""
"arearank","40","","",""
"brighteststarname","Delta_Capricorni","","",""
"genitive","Capricorni","","",""
"numberbfstars","49","","",""
"starmagnitude","2.85","","",""
"numbernearbystars","3","","",""
"meteorshowers","Alpha_Capricornids | Capricornids-Sagittariids | Chi_Capricornids | Sigma_Capricornids | Tau_Capricornids","","",""
"numbermessierobjects","1","","",""
"family","Zodiac","","",""
"stardistancely","17.91","","",""
"primaryTopic","Capricornus","","",""
"numbermainstars","91323","","",""
"symbolism","the Sea-Goat","","",""
"name","","Capricornus","","official name"
"areatotal","","414","","area"
"numberbrightstars","1","","",""
"neareststarname","LP_816-60","","",""
"stardistancepc","5.49","","",""
"","","","Southern Celestial Hemisphere","part of"
"","","","Capricornus (constellation)","Commons category"
"","","","zodiacal constellation | constellation","instance of"
"","","","Paulys Realenzyklopädie der klassischen Altertumswissenschaft | Small Brockhaus and Efron Encyclopedic Dictionary | Star Lore of All Ages | Great Soviet Encyclopedia (1926–1947) | Encyclopædia Britannica 11th edition | Brockhaus and Efron Encyclopedic Dictionary | A field book of the stars","described by source"
"","","","Capricornus (constellation)","Commons gallery"
