"isPrimaryTopicOf","Carina_(constellation)","","",""
"constellation","RCW_49 | NGC_3576 | Trumpler_14 | Homunculus_Nebula | Hen_2-47 | NGC_2808 | NGC_3324 | IC_2448 | Westerlund_2 | NGC_3199 | IC_2602 | Trumpler_16 | NGC_3293 | NGC_2867 | NGC_3114 | HD_97950 | NGC_2516 | Collinder_228 | Trumpler_15 | Carina_Nebula | IC_2714 | Platais_8_cluster | Bullet_Cluster | NGC_3532 | IC_2220","","",""
"bordering | neighbourConstellations","Vela_(constellation)","Puppis | Chamaeleon | Musca | Pictor | Vela | Volans | Centaurus","","shares border with"
"symbolism","the keel",the keel,"keel | Argo","named after"
"abbreviation","Car","","",""
"numbermainstars","9","","",""
"stardistancely","14.64","","",""
"brighteststarname","Canopus","","",""
"neareststarname","LHS_288","","",""
"numberstarsplanets","11","","",""
"arearank","34","","",""
"areatotal","","494","","area"
"numberbfstars","52","","",""
"genitive","Carinae","","",""
"meteorshowers","Alpha Carinids | Eta Carinids","","",""
"primaryTopic","Carina_(constellation)","","",""
"name","","Carina","","official name"
"numbernearbystars","1","","",""
"family","Heavenly_Waters_(astronomy)","","",""
"numberbrightstars","6","","",""
"numbermessierobjects","0","","",""
"stardistancepc","4.49","","",""
"starmagnitude","−0.72","","",""
"","","","Southern Celestial Hemisphere | Argo Navis","part of"
"","","","Armenian Soviet Encyclopedia, vol. 8 | Great Soviet Encyclopedia (1926–1947)","described by source"
"","","","Carina","Commons gallery"
"","","","1763-01-01T00:00:00Z","time of discovery or invention"
"","","","Carina (constellation)","Commons category"
"","","","Nicolas Louis de Lacaille","discoverer or inventor"
"","","","constellation","instance of"
