"constellation","NGC_436 | NGC_7635 | Markarian_50 | NGC_654 | NGC_433 | NGC_1027 | NGC_366 | NGC_7789 | NGC_457 | NGC_7790 | NGC_663 | Maffei_Group | Sh2-201 | SN_1572 | GW_123.4-1.5 | Westerhout_5 | NGC_225 | Messier_52 | NGC_136 | NGC_659 | NGC_559 | NGC_103 | NGC_133 | NGC_657 | NGC_381 | NGC_146 | FRB_180916.J0158+65 | Heart_Nebula | NGC_358 | Trumpler_3 | NGC_189 | NGC_637 | NGC_110 | NGC_129 | SN_1181","","",""
"stardistancely","19.42","","",""
"symbolism","the Seated Queen","Cassiopeia","Cassiopeia","named after"
"primaryTopic","Cassiopeia_(constellation)","","",""
"arearank","25","","",""
"abbreviation","Cas","","",""
"bordering | neighbourConstellations","Cepheus_(constellation) | Perseus_(constellation)","Camelopardalis | Lacerta | Perseus | Andromeda | Cepheus","Cepheus","shares border with"
"genitive","Cassiopeiae","","",""
"numberstarsplanets","14","","",""
"family","Perseus_Family","","",""
"numbernearbystars","7","","",""
"name","","Cassiopeia","","official name"
"starmagnitude","2.24","","",""
"numbermainstars","5","","",""
"meteorshowers","Perseids","","",""
"isPrimaryTopicOf","Cassiopeia_(constellation)","","",""
"stardistancepc","5.95","","",""
"areatotal","","598","","area"
"numberbrightstars","4","","",""
"brighteststarname","α Cas","","",""
"numbermessierobjects","2","","",""
"numberbfstars","53","","",""
"neareststarname","Eta_Cassiopeiae","","",""
"","","","Armenian Soviet Encyclopedia | Encyclopædia Britannica 11th edition | The Nuttall Encyclopædia | Star Lore of All Ages | Brockhaus and Efron Encyclopedic Dictionary | The New Student's Reference Work | A field book of the stars","described by source"
"","","","Cassiopeia","Commons gallery"
"","","","constellation","instance of"
"","","","Cassiopeia (constellation)","Commons category"
