"neighbourConstellations | bordering","Libra(corner) | Carina_(constellation) | Vela_(constellation) | Hydra_(constellation) | Lupus_(constellation)","Antlia | Crux | Musca | Carina | Vela | Lupus | Hydra | Circinus | Libra_(constellation)","Libra (constellation)","shares border with"
"meteorshowers","Alpha_Centaurids | Omicron_Centaurids | Theta_Centaurids","","",""
"constellation","Shapley_Supercluster | NGC_4230 | Stock_16 | Abell_S740 | Southern_Crab_Nebula | Fleming_1 | RCW_79 | Boomerang_Nebula | NGC_3766 | NGC_5286 | Centaurus_Cluster | SN_1986G | Omega_Centauri | Alpha_Centaurids | SuWt_2","","",""
"areatotal","","1060","","area"
"stardistancely","4.24","","",""
"starmagnitude","−0.27","","",""
"numbermessierobjects","0","","",""
"isPrimaryTopicOf","Centaurus","","",""
"numberstarsplanets","15","","",""
"stardistancepc","1.3","","",""
"neareststarname","Proxima_Centauri","","",""
"brighteststarname","Alpha_Centauri","","",""
"numberbfstars","69","","",""
"numbernearbystars","8","","",""
"numberbrightstars","10","","",""
"abbreviation","Cen","","",""
"symbolism","the Centaur","the Centaur | centaur","centaur","named after"
"numbermainstars","11","","",""
"primaryTopic","Centaurus","","",""
"genitive","Centauri","","",""
"arearank","9","","",""
"name","","Centaurus","","official name"
"family","Hercules_Family","","",""
"","","","Southern Celestial Hemisphere","part of"
"","","","Centaurus (constellation)","Commons category"
"","","","Centavrvs","Hederich encyclopedia article"
"","","","Armenian Soviet Encyclopedia | Encyclopædia Britannica 11th edition | Brockhaus and Efron Encyclopedic Dictionary","described by source"
"","","","constellation","instance of"
"","","","Centaurus","Commons gallery"
