"bordering | neighbourConstellations","Cygnus_(constellation) | Cassiopeia_(constellation) | Draco_(constellation)","Camelopardalis | Cassiopeia | Lacerta | Ursa Minor | Cygnus | Draco","Draco | Cygnus","shares border with"
"constellation","NGC_7139 | NGC_7142 | NGC_7538 | L1157 | NGC_7429 | Iris_Nebula | NGC_188 | NGC_7380 | SN_1917A | Sh2-155 | NGC_7354 | Elephant's_Trunk_Nebula | NGC_7822 | Cepheus_OB1 | NGC_40 | NGC_7160 | NGC_7419 | NGC_6939 | SN_1939C | SSTGFLS_J222557+601148 | Ghost_Nebula | Palomar_1 | NGC_7129 | NGC_7510 | Barnard_150","","",""
"abbreviation","Cep","","",""
"symbolism","the King/King Cepheus","Cepheus, King of Aethiopia | the King/King Cepheus","Cepheus, King of Aethiopia","named after"
"brighteststarname","Alpha_Cephei","","",""
"numbernearbystars","3","","",""
"family","Perseus_Family","","",""
"genitive","Cephei","","",""
"primaryTopic","Cepheus_(constellation)","","",""
"stardistancely","13.15","","",""
"starmagnitude","2.45","","",""
"numberbfstars","43","","",""
"numberstarsplanets","1","","",""
"name","","Cepheus","","official name"
"neareststarname","Kruger_60","","",""
"arearank","27","","",""
"areatotal","588","588","589","area"
"numbermainstars","7","","",""
"numberbrightstars","1","","",""
"meteorshowers","0","","",""
"stardistancepc","4.03","","",""
"isPrimaryTopicOf","Cepheus_(constellation)","","",""
"numbermessierobjects","0","","",""
"","","","Encyclopædia Britannica 11th edition | Star Lore of All Ages | Brockhaus and Efron Encyclopedic Dictionary | A field book of the stars","described by source"
"","","","constellation","instance of"
"","","","Cepheus","Commons gallery"
"","","","Cepheus (constellation)","Commons category"
