"bordering | neighbourConstellations","Carina_(constellation) | Mensa_(constellation)","Volans | Apus | Musca | Octans | Mensa | Carina","Carina | Mensa","shares border with"
"primaryTopic","Chamaeleon","","",""
"areatotal","","132","","area"
"name","","Chamaeleon","","official name"
"starmagnitude","4.05","","",""
"numbernearbystars","0","","",""
"constellation","NGC_3195","","",""
"genitive","Chamaeleontis","","",""
"numberbrightstars","0","","",""
"stardistancely","63.45","","",""
"brighteststarname","Alpha_Chamaeleontis","","",""
"arearank","79","","",""
"numberstarsplanets","1","","",""
"neareststarname","Alpha_Chamaeleontis","","",""
"isPrimaryTopicOf","Chamaeleon","","",""
"numberbfstars","16","","",""
"numbermainstars","3","","",""
"abbreviation","Cha","","",""
"symbolism","the Chameleon","the Chameleon","Chamaeleonidae","named after"
"meteorshowers","0","","",""
"family","Bayer_Family","","",""
"stardistancepc","19.45","","",""
"numbermessierobjects","0","","",""
"","","","Southern Celestial Hemisphere","part of"
"","","","1597-01-01T00:00:00Z","time of discovery or invention"
"","","","constellation","instance of"
"","","","Chamaeleon (constellation)","Commons category"
"","","","Chamaeleon","Commons gallery"
"","","","Petrus Plancius","discoverer or inventor"
