"bordering | neighbourConstellations","Lepus_(constellation)","Canis Major | Caelum | Puppis | Pictor | Lepus","Lepus","shares border with"
"areatotal","","270","","area"
"numbernearbystars","0","","",""
"symbolism","the dove","","Genesis flood narrative | pigeon","named after"
"starmagnitude","2.65","","",""
"genitive","Columbae","","",""
"primaryTopic","Columba_(constellation)","","",""
"constellation","NGC_1851","","",""
"stardistancely","48.89","","",""
"numbermainstars","5","","",""
"numberstarsplanets","1","","",""
"name","","Columba","","official name"
"numberbfstars","18","","",""
"stardistancepc","14.99","","",""
"numberbrightstars","1","","",""
"neareststarname","Gliese_218","","",""
"meteorshowers","0","","",""
"abbreviation","Col","","",""
"brighteststarname","Alpha_Columbae","","",""
"family","Heavenly_Waters_(astronomy)","","",""
"isPrimaryTopicOf","Columba_(constellation)","","",""
"numbermessierobjects","0","","",""
"arearank","54","","",""
"","","","Southern Celestial Hemisphere","part of"
"","","","Star Lore of All Ages | Great Soviet Encyclopedia (1926–1947) | A field book of the stars","described by source"
"","","","Columba (constellation)","Commons category"
"","","","constellation","instance of"
"","","","Columba (constellation)","Commons gallery"
"","","","Petrus Plancius","discoverer or inventor"
