"numberstarsplanets","5","","",""
"constellation","Coma_I | NGC_5053 | Coma_Berenicids | SN_2006X | M94_Group | LoTr_5 | SN_1979C | Virgo_Cluster | Coma_Star_Cluster | SN_2020oi | SN_1940B | SN_2005ap | NGC_4065_Group | Coma_Cluster | NGC_4147","","",""
"genitive","Comae Berenices","","",""
"brighteststarname","Beta_Comae_Berenices","","",""
"neighbourConstellations | bordering","Virgo_(constellation) | Leo_(constellation)","Boötes | Virgo | Canes Venatici | Leo | Ursa Major","","shares border with"
"arearank","42","","",""
"areatotal","386","","386.5","area"
"neareststarname","Beta_Comae_Berenices","","",""
"numberbrightstars","0","","",""
"abbreviation","Com","","",""
"numbermessierobjects","8","","",""
"meteorshowers","Coma_Berenicids","","",""
"name","","Coma Berenices","","official name"
"numberbfstars","44","","",""
"isPrimaryTopicOf","Coma_Berenices","","",""
"family","Ursa_Major_Family","","",""
"starmagnitude","4.26","","",""
"numbermainstars","3","","",""
"numbernearbystars","1","","",""
"symbolism","Berenice's hair",Berenice's hair | Berenice II,"head hair | Berenice II","named after"
"stardistancely","29.78","","",""
"primaryTopic","Coma_Berenices","","",""
"stardistancepc","9.18","","",""
"","","","Encyclopædia Britannica 11th edition | Star Lore of All Ages | Paulys Realenzyklopädie der klassischen Altertumswissenschaft | A field book of the stars","described by source"
"","","","constellation","instance of"
"","","","-0244-01-01T00:00:00Z","time of discovery or invention"
"","","","Coma Berenices","Commons gallery"
"","","","Coma Berenices (constellation)","Commons category"
"","","","Conon of Samos","discoverer or inventor"
