"name","","Corvus","","official name"
"shipNamesake","SS_Corvus_(1920) | SS_Corvus_(1919)","","",""
"numbermainstars","4","","",""
"bordering | neighbourConstellations","Crater_(constellation) | Virgo_(constellation) | Hydra_(constellation)","Virgo | Crater | Hydra","Virgo | Crater | Hydra","shares border with"
"numberstarsplanets","3","","",""
"meteorshowers","Eta_Corvids | Corvids_(meteor_shower)","","",""
"stardistancepc","8.890000000000001","","",""
"primaryTopic","Corvus_(constellation)","","",""
"numberbrightstars","3","","",""
"stardistancely","28.99","","",""
"constellation","SN_2004gt | SN_2007sr | NGC_4361","","",""
"numberbfstars","10","","",""
"arearank","70","","",""
"neareststarname","Ross_695","","",""
"starmagnitude","2.59","","",""
"abbreviation","Crv","","",""
"symbolism","the Crow/Raven",the Crow,"Corvus","named after"
"numbernearbystars","1","","",""
"brighteststarname","Gamma_Corvi","","",""
"isPrimaryTopicOf","Corvus_(constellation)","","",""
"genitive","Corvi","","",""
"areatotal","","184","","area"
"numbermessierobjects","0","","",""
"","","","Southern Celestial Hemisphere","part of"
"","","","Corvus (constellation)","Commons category"
"","","","Star Lore of All Ages | A field book of the stars | Armenian Soviet Encyclopedia, vol. 1","described by source"
"","","","Corvus (constellation)","Commons gallery"
"","","","constellation","instance of"
"","","","Corvvs","Hederich encyclopedia article"
