"bordering | neighbourConstellations","Corvus_(constellation) | Virgo_(constellation) | Hydra_(constellation) | Leo_(constellation)","Sextans | Virgo | Leo | Hydra | Corvus","Corvus | Virgo | Leo | Hydra","shares border with"
"stardistancely","34.86","","",""
"abbreviation","Crt","","",""
"numbermainstars","4","","",""
"areatotal","","282","","area"
"starmagnitude","3.57","","",""
"arearank","53.0","","",""
"numbernearbystars","0","","",""
"primaryTopic","Crater_(constellation)","","",""
"numberstarsplanets","7","","",""
"numberbrightstars","0","","",""
"constellation","Laevens_1 | Abell_1146","","",""
"meteorshowers","Eta_Craterids","","",""
"genitive","Crateris","","",""
"stardistancepc","10.69","","",""
"""symbolism"",""the cup"",""the cup | krater"",""krater"",""named after"""
"isPrimaryTopicOf","Crater_(constellation)","","",""
"brighteststarname","Delta_Crateris","","",""
"name","","Crater","","official name"
"numbermessierobjects","0","","",""
"numberbfstars","12","","",""
"neareststarname","LHS_2358","","",""
"","","","Southern Celestial Hemisphere","part of"
"","","","Crater","Hederich encyclopedia article"
"","","","Star Lore of All Ages | A field book of the stars","described by source"
"","","","constellation","instance of"
"","","","Crater (constellation)","Commons category"
