"constellation","Dragonfish_Nebula | NGC_4349 | IRAS_12063-6259 | NGC_4609 | Coalsack_Nebula | NGC_4103 | Jewel_Box_(star_cluster)","","",""
"name","","Crux","","official name"
"bordering | neighbourConstellations","","Musca | Centaurus","","shares border with"
"numbermainstars","4","","",""
"stardistancepc","19.69","","",""
"genitive","Crucis","","",""
"numbernearbystars","0","","",""
"stardistancely","64.22","","",""
"numberbrightstars","5","","",""
"numberstarsplanets","2","","",""
"starmagnitude","0.87","","",""
"numbermessierobjects","0","","",""
"isPrimaryTopicOf","Crux","","",""
"abbreviation","Cru","","",""
"meteorshowers","Crucids","","",""
"quadrant","SQ3","","",""
"arearank","88","","",""
"numberbfstars","19","","",""
"areatotal","","68","","area"
"brighteststarname","Alpha_Crucis","","",""
"family","Hercules_Family","","",""
"primaryTopic","Crux","","",""
"""symbolism"",""Southern Cross"",""Southern Cross | cross"",""cross"",""named after"""
"neareststarname","Eta_Crucis","","",""
"","","","Southern Celestial Hemisphere","part of"
"","","","New International Encyclopedia | The Nuttall Encyclopædia | Small Soviet Encyclopedia | Collier's New Encyclopedia, 1921 | Great Soviet Encyclopedia (1926–1947) | Armenian Soviet Encyclopedia | The New Student's Reference Work | Brockhaus and Efron Encyclopedic Dictionary","described by source"
"","","","Crux","Commons gallery"
"","","","Zuiderkruis | Southern Cross | Kreuz des Südens | Южный Крест | Krzyż Południa","native label"
"","","","Crux (constellation)","Commons category"
"","","","Emery Molyneux | Petrus Plancius","discoverer or inventor"
"","","","constellation","instance of"
