"bordering | neighbourConstellations","Hydra_(constellation) | Vela_(constellation)","Centaurus | Pyxis | Hydra | Vela","Vela | Hydra","shares border with"
"stardistancely","13.17","","",""
"areatotal","","239","","area"
"stardistancepc","4.04","","",""
"meteorshowers","None","","",""
"abbreviation","Ant","","",""
"numberbrightstars","0","","",""
"brighteststarname","Alpha_Antliae","","",""
"name","","Antlia","","official name"
"starmagnitude","4.25","","",""
"family","La_Caille_Family","","",""
"numbernearbystars","2","","",""
"numbermainstars","3","","",""
"numberbfstars","9","","",""
"primaryTopic","Antlia","","",""
"arearank","62","","",""
"constellation","Vela_Supercluster | Antlia_Cluster | NGC_2997_Group","","",""
"neareststarname","DEN_1048-3956","","",""
"symbolism","the Air Pump",Air Pump,"air pump","named after"
"numbermessierobjects","0","","",""
"isPrimaryTopicOf","Antlia","","",""
"numberstarsplanets","2","","",""
"genitive","Antliae","","",""
"","","","Antlia (constellation)","Commons category"
"","","","Southern Celestial Hemisphere","part of"
"","","","Antlia","Commons gallery"
"","","","constellation","instance of"
"","","","Robert Boyle","dedicated to"
"","","","1752-01-01T00:00:00Z","time of discovery or invention"
"","","","Nicolas Louis de Lacaille","discoverer or inventor"
