"neighbourConstellations | bordering","Ara_(constellation) | Pavo_(constellation)","Pavo | Musca | Octans | Ara | Triangulum Australe | Chamaeleon | Circinus","","shares border with"
"numbermainstars","4","","",""
"symbolism","The Bird-of-Paradise",Bird of Paradise,"birds-of-paradise","named after"
"numberbrightstars","0","","",""
"brighteststarname","Alpha_Apodis","","",""
"abbreviation","Aps","","",""
"isPrimaryTopicOf","Apus","","",""
"constellation","IC_4499 | NGC_6101 | Hen_2-131","","",""
"meteorshowers","0","","",""
"genitive","Apodis","","",""
"numberbfstars","12","","",""
"arearank","67","","",""
"areatotal","","206","","area"
"name","","Apus","","official name"
"numbermessierobjects","0","","",""
"numbernearbystars","0","","",""
"family","Bayer_Family","","",""
"primaryTopic","Apus","","",""
"numberstarsplanets","2","","",""
"starmagnitude","3.83","","",""
"","","","Encyclopedic Lexicon | Granat Encyclopedic Dictionary | Brockhaus and Efron Encyclopedic Dictionary","described by source"
"","","","Apus (constellation)","Commons gallery"
"","","","Southern Celestial Hemisphere","part of"
"","","","1598-01-01T00:00:00Z","time of discovery or invention"
"","","","Petrus Plancius","discoverer or inventor"
"","","","Apus (constellation)","Commons category"
"","","","constellation","instance of"
