"bordering | neighbourConstellations","Scutum_(constellation) | Serpens Cauda | Aquarius_(constellation) | Hercules_(constellation) | Serpens Cauda","Serpens | Aquarius | Scutum | Sagittarius | Hercules | Capricornus | Delphinus | Sagitta | Ophiuchus","","shares border with"
"constellation","NGC_6778 | NGC_6709 | Westerhout_50 | HESS_J1857+026 | NGC_6781 | NGC_6760 | Hen_2-428 | Westerhout_49 | NGC_6756 | NGC_6751 | Westerhout_43 | NGC_6790 | NGC_6741 | Abell_48 | W49B | NGC_6755 | NGC_6738 | Serpens–Aquila_Rift | E_Nebula | NGC_6863 | Abell_70","","",""
"shipNamesake","USS_Aquila_(PHM-4)","","",""
"starmagnitude","0.76","","",""
"numberbrightstars","3","","",""
"isPrimaryTopicOf","Aquila_(constellation)","","",""
"meteorshowers","June Aquilids | Epsilon Aquilids","","",""
"stardistancepc","5.13","","",""
"areatotal","652",652,"652.5","area"
"numbernearbystars","2","","",""
"numberstarsplanets","9","","",""
"arearank","22","","",""
"name","","Aquila","","official name"
"genitive","Aquilae","","",""
"stardistancely","16.77","","",""
"family","Hercules_Family","","",""
"abbreviation","Aql","","",""
"symbolism","the Eagle",Eagle,"eagle","named after"
"volume","2","","",""
"numberbfstars","65","","",""
"numbermessierobjects","0","","",""
"numbermainstars","10","","",""
"neareststarname","Altair","","",""
"brighteststarname","Altair_(star)","","",""
"primaryTopic","Aquila_(constellation)","","",""
"","","","Meyers Konversations-Lexikon, 4th edition (1885–1890) | Armenian Soviet Encyclopedia, vol. 2 | New Encyclopedic Dictionary | Brockhaus and Efron Encyclopedic Dictionary | Encyclopædia Britannica 11th edition | A field book of the stars | Star Lore of All Ages","described by source"
"","","","Aquila (constellation)","Commons gallery"
"","","","Northern celestial hemisphere","part of"
"","","","Aqvila","Hederich encyclopedia article"
"","","","Aquila (constellation)","Commons category"
"","","","constellation","instance of"
