"numberstarsplanets","10","","",""
"stardistancely","17.71","","",""
"abbreviation","Boo","","",""
"areatotal","","907","","area"
"neighbourConstellations | bordering","Serpens Caput | Serpens Caput | Virgo_(constellation) | Hercules_(constellation)","Hercules | Draco | Virgo | Corona Borealis | Ursa Major | Coma Berenices | Canes Venatici | Serpens","Serpens","shares border with"
"constellation","NGC_5466 | Abell_1795 | GRB_080319B | June_Bootids | SN_2005bc | Quadrantids | SN_2020tlf | Abell_1991 | Tau_Herculids","","",""
"meteorshowers","January Bootids | June Bootids | Quadrantids","","",""
"isPrimaryTopicOf","Boötes","","",""
"numberbrightstars","3","","",""
"stardistancepc","5.43","","",""
"brighteststarname","Arcturus","","",""
"declination","7","","",""
"name","","Boötes","","official name"
"numberbfstars","59","","",""
"arearank","13","","",""
"numbermessierobjects","0","","",""
"starmagnitude","−0.04","","",""
"symbolism","The Herdsman",Herdsman,"herder | Icarius of Athens | Philomelus","named after"
"neareststarname","Wolf_498","","",""
"primaryTopic","Boötes","","",""
"numbernearbystars","3","","",""
"numbermainstars","715","","",""
"genitive","Boötis","","",""
"","","","Eta Boötis | Kappa Boötis | Gamma Boötis | Beta Boötis | Delta Boötis | Arcturus | Tau Boötis | Epsilon Boötis | Zeta Boötis | Theta Boötis | Rho Boötis","has part(s)"
"","","","Meyers Konversations-Lexikon, 4th edition (1885–1890) | The Nuttall Encyclopædia | Small Brockhaus and Efron Encyclopedic Dictionary | Brockhaus and Efron Encyclopedic Dictionary | Paulys Realenzyklopädie der klassischen Altertumswissenschaft | Encyclopædia Britannica 11th edition | A field book of the stars | Star Lore of All Ages","described by source"
"","","","Northern celestial hemisphere","part of"
"","","","Boötes","Commons gallery"
"","","","June Bootids","child astronomical body"
"","","","constellation","instance of"
"","","","Boótes","Hederich encyclopedia article"
"","","","Boötes (constellation)","Commons category"
