"neighbourConstellations | bordering","Lepus_(constellation) | Columba_(constellation) | Horologium_(constellation) | Eridanus_(constellation)","Columba | Dorado | Pictor | Lepus | Horologium | Eridanus","","shares border with"
"numbermainstars","4","","",""
"meteorshowers","1","","",""
"numberbrightstars","0","","",""
"primaryTopic","Caelum","","",""
"numberstarsplanets","1","","",""
"numberbfstars","8","","",""
"neareststarname","HD 30876","","",""
"arearank","81.0","","",""
"genitive","Caeli","","",""
"stardistancepc","17.75","","",""
"areatotal","","125","","area"
"isPrimaryTopicOf","Caelum","","",""
"stardistancely","57.86","","",""
"symbolism","the chisel",chisel,"chisel","named after"
"name","","Caelum","","official name"
"numbermessierobjects","0","","",""
"numbernearbystars","0","","",""
"starmagnitude","4.45","","",""
"brighteststarname","Alpha_Caeli","","",""
"abbreviation","Cae","","",""
"","","","Southern Celestial Hemisphere","part of"
"","","","Caelum","Commons gallery"
"","","","1750-01-01T00:00:00Z","time of discovery or invention"
"","","","Caelum (constellation)","Commons category"
"","","","constellation","instance of"
"","","","Nicolas Louis de Lacaille","discoverer or inventor"
