"name","Guardians of the Galaxy","","",""
"source","—Dan Abnett, co-writer of the 2008 Guardians of the Galaxy relaunch, on the project|—Kevin Feige, President of Marvel Studios, on the success of the first Guardians of the Galaxy film","","",""
"gross","7.733E8","","",""
"studio","Marvel_Studios","","",""
"productionCompany","Marvel_Studios","","",""
"distributor","Walt_Disney_Studios_Motion_Pictures","","",""
"cinematography","Ben_Davis_(cinematographer)","","",""
"title","List_of_Honest_Trailers_episodes|How_It_Should_Have_Ended","Guardians of the Galaxy","","title"
"musicComposer","Tyler_Bates","","",""
"editing","Craig_Wood_(film_editor)|Fred Raskin|Hughes Winborne|Hughes_Winborne|Craig Wood|Fred_Raskin","","",""
"language","English","","",""
"isPrimaryTopicOf","Guardians_of_the_Galaxy_(film)","","",""
"runtime","122.0|7320.0","","",""
"budget","1.959E8|2.323E8","","",""
"music","Tyler_Bates","","",""
"primaryTopic","Guardians_of_the_Galaxy_(film)","","",""
"director","","James Gunn","","director"
"country","United States","","",""
"producer","Kevin_Feige","","",""
"","","","Meredith Quill|We are Groot|Boot of Jemiah|Space Throne|Irani Rael|Chitauri Helmet|Howard the Duck|Kyln|Supernova|Thanos' Armor|Ronan the Accuser|Cosmo|Korath|Xeronians|Watcher Informant|Milano|Bereet|Celestial|Exitar|Rocket|Drax|Knowhere|The Other|Collector's Museum|Reality Stone|Groot|Sanctuary|Infinity Stones|Mind Stone|Kraglin|Space Stone|Thanos|Nebula|Gamora|Rhomann Dey|Sakaarans|Garthan Saal|Yondu Udonta|Peter Quill|Carina|Taneleer Tivan|Hurctarians|Xandar|Dr. Fitzgibbon|Broker's Shop|Ronan|Horuz|Cosmic Cube|Moloka Dar|Birth Pods","present in work"
"","","","Category III","NMHH film rating"
"","","","Gamora|Yondu Udonta|Ronan|Horuz|Nebula|Rhomann Dey|Garthan Saal|Peter Quill|Howard the Duck|Dr. Fitzgibbon|Cosmo|Moloka Dar|Meredith Quill|Korath|Irani Rael|Milano|Bereet|Rocket|Groot|Kraglin|Drax","first appearance"
"","","","fictional planet","set in environment"
"","","","film","instance of"
"","","","170000000","capital cost"
"","","","Dave Bautista|James Gunn|Zoe Saldaña|Nicole Perlman|Vin Diesel|Bradley Cooper","notable work"
"","","","no age restriction","CNC film rating (France)"
"","","","333718600|772776600","box office"
"","","","2014-07-31T00:00:00Z|2014-08-01T00:00:00Z|2014-08-13T00:00:00Z|2014-08-28T00:00:00Z|2014-08-14T00:00:00Z","publication date"
"","","","Saturn Award for Best Special Effects|Critics' Choice Movie Award for Best Actress in an Action Movie|MTV Movie Award for Best Hero|Satellite Award for Best Visual Effects|Critics' Choice Movie Award for Best Actor in an Action Movie|Saturn Award for best production design|MTV Movie Award for Best On-Screen Transformation|MTV Movie Award for Best Movie|BAFTA Award for Best Special Visual Effects|Saturn Award for Best Editing|MTV Movie Award for Best Musical Moment|MTV Movie Award for Best Shirtless Performance|Academy Award for Best Makeup and Hairstyling|Critics' Choice Movie Award for Best Visual Effects|MTV Movie Award for Best On-Screen Duo|MTV Movie Award for Best Male Performance|Academy Award for Best Visual Effects|Saturn Award for Best Costume|Saturn Award for Best Writing|MTV Movie Award for Best Comedic Performance|BAFTA Award for Best Makeup and Hair|Satellite Award for Outstanding Overall Blu-Ray/DVD","nominated for"
"","","","Guardians of the Galaxy: Awesome Mix Vol. 1 – Original Motion Picture Soundtrack|Guardians of the Galaxy – Original Score","soundtrack release"
"","","","Rob Zombie|Nathan Fillion|Vin Diesel|Bradley Cooper","voice actor"
"","","","Guardians of the Galaxy|Marvel Cinematic Universe Phase Two","has part(s)"
"","","","Guardians of the Galaxy|The Infinity Saga|Marvel Cinematic Universe Phase Two|Marvel Cinematic Universe","part of the series"
"","","","Alexandra Byrne","costume designer"
"","","","Ben Davis","director of photography"
"","","","Guardians of the Galaxy|Guardians of the Galaxy Teaser Poster|Guardians of the Galaxy – Mission: Breakout!|Guardians of the Galaxy: Cosmic Rewind","based on"
"","","","G","RCQ classification"
"","","","PG13","IMDA rating"
"","","","Groot|Rocket|Drax|Thanos|Ronan|Gamora|Peter Quill|Taneleer Tivan|Howard the Duck","characters"
"","","","76/100|7.8/10|92%","review score"
"","","","Bechdel test|reverse Bechdel Test","assessment"
"","","","121","duration"
"","","","Knowhere|United States of America|Xandar","narrative location"
"","","","Lloyd's building|Millennium Bridge|London|Shepperton Studios|Longcross Studios","filming location"
"","","","Marvel Studios","production company"
"","","","1362516","attendance"
"","","","English","original language of film or TV show"
"","","","Marvel Cinematic Universe","takes place in fictional universe"
"","","","For ages 11 and up","Medierådet rating"
"","","","color","color"
"","","","video on demand","distribution format"
"","","","United States of America","country of origin"
"","","","science fiction film|superhero film","genre"
"","","","12A","IFCO rating"
"","","","Charles Wood","production designer"
"","","","12","ClassInd rating"
"","","","FSK 12","FSK film rating"
"","","","Marvel Cinematic Universe","fictional universe described in"
"","","","PG-13","MPA film rating"
"","","","12 certificate","BBFC rating"
"","","","feature film","form of creative work"
"","","","not recommended for children under 12","ICAA rating"
"","","","Guardians of the Galaxy (film)","Commons category"
"","","","B","RTC film rating"
"","","","English","language of work or name"
"","","","10-12 PG","FPB rating"
"","","","Boris Hiestand","participant in"
"","","","Fred Raskin","film editor"
"","","","+13","INCAA film rating"
