"primaryTopic","Interstellar_(film)","","",""
"country","United States","United Kingdom","United States of America","country of origin"
"distributor","Warner Bros. Pictures | Paramount Pictures | Warner_Bros._Pictures | Paramount_Pictures","","",""
"music","Hans_Zimmer","","",""
"musicComposer","Hans_Zimmer","","",""
"editing","Lee_Smith_(film_editor)","","",""
"producer","Christopher_Nolan | Emma Thomas | Emma_Thomas | Lynda_Obst | Christopher Nolan | Lynda Obst","","",""
"cinematography","Hoyte_van_Hoytema","","",""
"isPrimaryTopicOf","Interstellar_(film)","","",""
"productionCompanies","Syncopy | Warner Bros. Pictures | Lynda Obst Productions","Legendary Pictures | Paramount Pictures","Warner Bros. | Syncopy Inc.","production company"
"title","How_It_Should_Have_Ended | List_of_Honest_Trailers_episodes | Awards for Interstellar","Interstellar","","title"
"director","","Christopher Nolan","","director"
"language","English","","",""
"gross","7.738E8","","677471339 | 701729206 | 188020017","box office"
"name","Interstellar","","",""
"runtime","10140.0 | 169.0","","169","duration"
"budget","1.65E8","","165000000","capital cost"
"source","—Quentin Tarantino on Interstellar.","","",""
"","","","Amelia Brand | John Brand | Cooper Station | Tom Cooper | Doyle | TARS | Edmund's Planet | Endurance | Donald | Earth | Mann's Planet | CASE | Miller's Planet | Gargantua | Joseph Cooper | Hugh Mann | Romilly | Murphy Cooper","first appearance"
"","","","Gargantua | Colorado | Cooper Station | Edmund's Planet | Endurance | Mann's Planet | Miller's Planet","narrative location"
"","","","Miller's Planet | Gargantua | Joseph Cooper | Cooper Station | Tom Cooper | Romilly | Murphy Cooper | Doyle | Amelia Brand | John Brand | Donald | TARS | Edmund's Planet | CASE | Endurance | interdimensional hypothesis | Earth | Hugh Mann | Mann's Planet","present in work"
"","","","no age restriction","CNC film rating (France)"
"","","","G","RCQ classification"
"","","","film","instance of"
"","","","Interstellar: Original Motion Picture Soundtrack","soundtrack release"
"","","","54423 | 56634 | 54116 | 51771","social media followers"
"","","","PG13","IMDA rating"
"","","","Academy Award for Best Production Design | Academy Award for Best Sound | Academy Award for Best Visual Effects | Academy Award for Best Original Score | Academy Award for Best Sound Editing","nominated for"
"","","","fictional planet","set in environment"
"","","","Donald | Hugh Mann | Joseph Cooper | Tom Cooper | Romilly | Murphy Cooper | Doyle | Amelia Brand | John Brand","characters"
"","","","2014-11-06T00:00:00Z | 2014-11-07T00:00:00Z | 2014-10-26T00:00:00Z | 2014-11-05T00:00:00Z","publication date"
"","","","FSK 12","FSK film rating"
"","","","Los Angeles | Alberta | Cheyenne Mountain | Iceland","filming location"
"","","","74/100 | 73% | 7.1/10","review score"
"","","","drama film | science fiction film | thriller film | adventure film | time-travel film | dystopian film","genre"
"","","","video on demand","distribution format"
"","","","Category III","NMHH film rating"
"","","","Interstellar universe","takes place in fictional universe"
"","","","PG-13","MPA film rating"
"","","","12A","IFCO rating"
"","","","Hoyte van Hoytema","director of photography"
"","","","Paul Franklin","film crew member"
"","","","Mary Zophres","costume designer"
"","","","Nathan Crowley","production designer"
"","","","Interstellar","Commons category"
"","","","For ages 11 and up","Medierådet rating"
"","","","English","original language of film or TV show"
"","","","color","color"
"","","","10-12 PG","FPB rating"
"","","","10","ClassInd rating"
"","","","Bechdel test","assessment"
"","","","Interstellar: Original Motion Picture Soundtrack","music created for"
"","","","Lee Smith","film editor"
"","","","Interstellar universe","fictional universe described in"
"","","","feature film","form of creative work"
"","","","6+","BAMID film rating"
"","","","12 certificate","BBFC rating"
"","","","2067","set in period"
"","","","not recommended for children under 12","ICAA rating"
"","","","B","RTC film rating"
