"runtime","97.0",,,""
"runtime","5820.0",,,""
"album","Once_Upon_a_Dream_(Sleeping_Beauty_song)",,,""
"album","Once_Upon_a_Dream_(Sleeping_Beauty_song)__Once_Upon_a_Dream__1",,,""
"director",,"Robert Stromberg",,"director"
"editing","Chris Lebenzon",,,""
"editing","Richard Pearson",,,""
"editing","Richard_Pearson_(film_editor)",,,""
"editing","Chris_Lebenzon",,,""
"producer",,"Joe Roth",,"executive producer|producer"
"producer",,,"Sarah Bradshaw","executive producer|producer"
"producer",,,"Angelina Jolie","executive producer|producer"
"producer",,,"Don Hahn","executive producer|producer"
"producer",,,"Palak Patel","executive producer|producer"
"producer",,,"Matt Smith","executive producer|producer"
"basedOn","by Charles Perrault",,,""
"basedOn","Walt_Disney_Animation_Studios",,,""
"basedOn","Sleeping_Beauty_(1959_film)",,,""
"name","Maleficent",,,""
"portrayer","Maleficent",,,""
"portrayer","Aurora_(Sleeping_Beauty)",,,""
"language","English",,,""
"country","United States",,,""
"source","—Angelina Jolie",,,""
"studio","Walt Disney Pictures",,,""
"studio","Roth Films",,,""
"distributor","Walt_Disney_Studios_Motion_Pictures",,,""
"screenplay","Linda_Woolverton",,,""
"budget","180.0",,,""
"budget","$180–263 million",,,""
"gross","7.585E8",,,""
"productionCompany","Kirschenbaum_Films",,,""
"productionCompany","Walt_Disney_Pictures",,,""
"primaryTopic","Maleficent_(film)",,,""
"cinematography","Dean_Semler",,,""
"music","James_Newton_Howard",,,""
"musicComposer","James_Newton_Howard",,,""
"title","List_of_Honest_Trailers_episodes",,,"title"
"title",,,"Maleficent","title"
"knownFor","Isobelle_Molloy",,,""
"isPrimaryTopicOf","Maleficent_(film)",,,""
"",,,"5.7/10","review score"
"",,,"54%","review score"
"",,,"56/100","review score"
"",,,"feature film","form of creative work"
"",,,"Janet McTeer","narrator"
"",,,"James Newton Howard","composer"
"",,,"dark fantasy","genre"
"",,,"action film","genre"
"",,,"cinematic fairy tale","genre"
"",,,"adventure film","genre"
"",,,"drama film","genre"
"",,,"teen film","genre"
"",,,"romance film","genre"
"",,,"family film","genre"
"",,,"fantasy film","genre"
"",,,"romantic drama","genre"
"",,,"Juno Temple","cast member"
"",,,"Ella Purnell","cast member"
"",,,"Brenton Thwaites","cast member"
"",,,"Imelda Staunton","cast member"
"",,,"Hannah New","cast member"
"",,,"Elle Fanning","cast member"
"",,,"Sharlto Copley","cast member"
"",,,"Janet McTeer","cast member"
"",,,"Sarah Flind","cast member"
"",,,"Lesley Manville","cast member"
"",,,"Kenneth Cranham","cast member"
"",,,"Miranda Richardson","cast member"
"",,,"Sam Riley","cast member"
"",,,"Angelina Jolie","cast member"
"",,,"Anna B. Sheppard","costume designer"
"",,,"Aurora","present in work"
"",,,"Maleficent","present in work"
"",,,"PG","IFCO rating"
"",,,"7-9 PG","FPB rating"
"",,,"FSK 6","FSK film rating"
"",,,"Sleeping Beauty","inspired by"
"",,,"Maleficent","characters"
"",,,"Aurora","characters"
"",,,"Academy Award for Best Costume Design","nominated for"
"",,,"PG","MPA film rating"
"",,,"Sleeping Beauty","has part(s)"
"",,,"A","RTC film rating"
"",,,"film","instance of"
"",,,"color","color"
"",,,"The Tales of my Mother Goose","based on"
"",,,"2014-05-30T00:00:00Z","publication date"
"",,,"2014-06-05T00:00:00Z","publication date"
"",,,"2014-05-29T00:00:00Z","publication date"
"",,,"2014-05-28T00:00:00Z","publication date"
"",,,"2014-07-02T00:00:00Z","publication date"
"",,,"G","RCQ classification"
"",,,"Richard Pearson","film editor"
"",,,"Chris Lebenzon","film editor"
"",,,"Once Upon a Dream","music created for"
"",,,"no age restriction","CNC film rating (France)"
"",,,"Bechdel test","assessment"
"",,,"Category III","NMHH film rating"
"",,,"Maleficent (film)","Commons category"
"",,,"Roth Films","production company"
"",,,"Walt Disney Pictures","production company"
"",,,"Not recommended for children under 7","ICAA rating"
"",,,"Dean Semler","director of photography"
"",,,"Gary Freeman","production designer"
"",,,"Dylan Cole","production designer"
"",,,"theatrical release","distribution format"
"",,,"video on demand","distribution format"
"",,,"English","language of work or name"
"",,,"758410378","box office"
"",,,"Arjen Tuiten","make-up artist"
"",,,"For ages 11 and up","Medierådet rating"
"",,,"castle","set in environment"
"",,,"country house","set in environment"
"",,,"10","ClassInd rating"
"",,,"France","narrative location"
"",,,"180000000","capital cost"
"",,,"97","duration"
"",,,"Nicholas Kole","notable work"
"",,,"Linda Woolverton","notable work"
"",,,"PG","IMDA rating"
"",,,"English","original language of film or TV show"
"",,,"Maleficent","soundtrack release"
"",,,"United States of America","country of origin"
"",,,"PG certificate","BBFC rating"
