"screenplay","Roberto Orci|Jeff Pinkner|Alex Kurtzman","","",""
"studio","Columbia Pictures|Marvel Entertainment|Arad Productions, Inc.|Matt Tolmach Productions","","",""
"cinematography","Dan_Mindel","","",""
"productionCompany","Columbia_Pictures|Marvel_Entertainment","","",""
"runtime","8520.0|142.0","","",""
"lastAppearance","Gwen_Stacy_(The_Amazing_Spider-Man_film_series)","","",""
"gross","7.09E8","","",""
"budget","200.0|$200–293 million","","",""
"isPrimaryTopicOf","The_Amazing_Spider-Man_2","","",""
"producer","Matt Tolmach|Matt_Tolmach|Avi_Arad|Avi Arad","","",""
"title","List_of_Honest_Trailers_episodes|How_It_Should_Have_Ended|It's On Again","","The Amazing Spider-Man 2","title"
"music","The Magnificent Six|Hans Zimmer","","",""
"language","English","","",""
"director","","Marc Webb","","director"
"primaryTopic","The_Amazing_Spider-Man_2","","",""
"story","Jeff Pinkner|Roberto Orci|Alex Kurtzman|James Vanderbilt","","",""
"album","The_Edge_(song)","","",""
"editing","Pietro_Scalia","","",""
"musicComposer","Hans_Zimmer","","",""
"name","The Amazing Spider-Man 2","","",""
"distributor","Sony_Pictures_Motion_Picture_Group","","",""
"country","United States","","",""
"source","—Jerome Chen – VFX supervisor of Sony Imageworks|—Sony","","",""
"","","","12 certificate","BBFC rating"
"","","","Gwen Stacy|Spider-Man|Mary Jane Watson|Rhino|Electro|Peter Parker|Norman Osborn|retroviral hyperplasia|Max Dillon|Harry Osborn|Green Goblin","present in work"
"","","","color","color"
"","","","Marvel Entertainment|Columbia Pictures","production company"
"","","","Category III","NMHH film rating"
"","","","2014-04-18T00:00:00Z|2014-05-02T00:00:00Z|2014-04-30T00:00:00Z|2014-04-17T00:00:00Z|2014-05-01T00:00:00Z","publication date"
"","","","彼得罗·斯卡利亚","film editor"
"","","","The Amazing Spider-Man","named after"
"","","","The Edge|Amazing","part of"
"","","","708982323","box office"
"","","","The Amazing Spider-Man 2","Commons category"
"","","","5.8/10|51%|53/100","review score"
"","","","film","instance of"
"","","","video on demand","distribution format"
"","","","Green Goblin|Gwen Stacy|Aunt May|Spider-Man|Mary Jane Watson|Rhino|Peter Parker|Max Dillon","characters"
"","","","Daniel Mindel","director of photography"
"","","","G","RCQ classification"
"","","","thriller film|science fiction film|teen film|action film|superhero film|biopunk","genre"
"","","","New York City|Rochester|Long Island","filming location"
"","","","no age restriction","CNC film rating (France)"
"","","","New York City","narrative location"
"","","","United States of America","country of origin"
"","","","The Night Gwen Stacy Died","inspired by"
"","","","aircraft|airplane","set in environment"
"","","","Bechdel test|reverse Bechdel Test","assessment"
"","","","Not recommended for children under 7","ICAA rating"
"","","","142","duration"
"","","","Gerry Conway","after a work by"
"","","","B","RTC film rating"
"","","","Earth-120703","fictional universe described in"
"","","","The Amazing Spider-Man|list of Spider-Man films","has part(s)"
"","","","12","ClassInd rating"
"","","","Earth-120703","takes place in fictional universe"
"","","","FSK 12","FSK film rating"
"","","","The Amazing Spider-Man|Spider-Man in film","part of the series"
"","","","English","original language of film or TV show"
"","","","For ages 11 and up","Medierådet rating"
"","","","PG-13","MPA film rating"
