"prevTitle","Maps_to_the_Stars","","",""
"lastAppearance","Tauriel","","",""
"cinematography","Andrew_Lesnie","","",""
"runtime","144.0 | 8640.0","","144","duration"
"producer","Zane Weiner | Carolynne Cunningham | Fran_Walsh | Fran Walsh | Peter Jackson | Carolynne_Cunningham | Zane_Weiner | Peter_Jackson","","",""
"productionCompany","WingNut_Films | Metro-Goldwyn-Mayer_Pictures | New_Line_Cinema","","",""
"budget","250.0 | $250–300 million","","250000000","capital cost"
"director","","Peter Jackson","","director"
"name","The Hobbit: | The Battle of the Five Armies","","",""
"distributor","Warner_Bros._Pictures","","",""
"primaryTopic","The_Hobbit:_The_Battle_of_the_Five_Armies","","",""
"country","United States","New Zealand","United States of America","country of origin"
"studio","New Line Cinema | Metro-Goldwyn-Mayer Pictures | WingNut Films","","",""
"language","English","","",""
"title","How_It_Should_Have_Ended | List_of_Honest_Trailers_episodes","The Hobbit: The Battle of the Five Armies","Хоббит: Битва пяти воинств","title"
"screenplay","Guillermo del Toro | Fran Walsh | Philippa Boyens | Peter Jackson","","",""
"isPrimaryTopicOf","The_Hobbit:_The_Battle_of_the_Five_Armies","","",""
"editing","Jabez_Olssen","","",""
"gross","9.622E8","","255138261 | 956019788","box office"
"music","Howard_Shore","","",""
"musicComposer","Howard_Shore","","",""
"","","","15 certificate","BBFC rating"
"","","","no age restriction","CNC film rating (France)"
"","","","The Hobbit | The Hobbit: The Battle of the Five Armies Extended Edition","derivative work"
"","","","G","RCQ classification"
"","","","35 mm film | IMAX 3D | High Frame Rate | video on demand | Blu-ray Disc | DVD | Blu-ray 3D","distribution format"
"","","","+13","INCAA film rating"
"","","","film based on literature | action film | fantasy film | adventure film","genre"
"","","","12","ClassInd rating"
"","","","Dee Bradley Baker","voice actor"
"","","","J. R. R. Tolkien","after a work by"
"","","","film","instance of"
"","","","New Zealand","filming location"
"","","","6.3/10 | 59% | 59/100","review score"
"","","","PG13","IMDA rating"
"","","","MASSIVE","uses"
"","","","reverse Bechdel Test | Tauriel Test | Bechdel test","assessment"
"","","","Dan Hennah","production designer"
"","","","The Hobbit","based on"
"","","","2014-12-18T00:00:00Z | 2014-12-11T00:00:00Z | 2014-12-17T00:00:00Z | 2014-12-01T00:00:00Z | 2014-12-10T00:00:00Z","publication date"
"","","","Radagast | Saruman | Bard the Bowman | Legolas | Black Arrow | Smaug | Arkenstone | Master of Lake-town | Tauriel | Long Lake","present in work"
"","","","FSK 12","FSK film rating"
"","","","Richard Taylor","costume designer"
"","","","Category III","NMHH film rating"
"","","","Quenya | Khuzdûl | English | Black Speech | Sindarin","original language of film or TV show"
"","","","PG-13 | R","MPA film rating"
"","","","12A","IFCO rating"
"","","","Metro-Goldwyn-Mayer | WingNut Films | New Line Cinema","production company"
"","","","The Hobbit trilogy | Peter Jackson's Middle-earth film series","part of the series"
"","","","Jabez Olssen","film editor"
"","","","For ages 11 and up","Medierådet rating"
"","","","The Hobbit: The Battle of the Five Armies Extended Edition","supplement to"
"","","","color","color"
"","","","10-12 PG","FPB rating"
"","","","The Hobbit trilogy","has part(s)"
"","","","fictional country","set in environment"
"","","","Middle-earth","narrative location"
"","","","feature film","form of creative work"
"","","","The Hobbit: The Battle of the Five Armies","Commons category"
"","","","Andrew Lesnie","director of photography"
"","","","Academy Award for Best Sound Editing","nominated for"
"","","","not recommended for children under 12","ICAA rating"
"","","","B","RTC film rating"
