"story","Matthew Vaughn | Jane Goldman | Simon Kinberg","","",""
"source","—Bryan Singer, explaining the Twitter presence of the film","","",""
"budget","2.05E8","","210000000","capital cost"
"runtime","132.0 | 7920.0","","131","duration"
"gross","7.46E8","","746045700","box office"
"productionCompanies","Bad Hat Harry | The Donners' Company | Genre Films | TSG Entertainment","Marvel Entertainment","Marv Studios | RatPac-Dune Entertainment | Ingenious Media | Bad Hat Harry Productions | 20th Century Studios","production company"
"producer","Simon Kinberg | Bryan_Singer | Lauren Shuler Donner | Lauren_Shuler_Donner | Bryan Singer | Simon_Kinberg | Hutch Parker","","",""
"isPrimaryTopicOf","X-Men:_Days_of_Future_Past","","",""
"distributor","20th_Century_Fox | 20","","",""
"musicComposer","John_Ottman","","",""
"director","","Bryan Singer","","director"
"language","English","","",""
"title","How_It_Should_Have_Ended | List_of_Honest_Trailers_episodes","","X-Men: Days of Future Past","title"
"cinematography","Newton_Thomas_Sigel","","",""
"music","John Ottman","","",""
"name","X-Men: Days of Future Past","","",""
"editing","John_Ottman","","",""
"primaryTopic","X-Men:_Days_of_Future_Past","","",""
"screenplay","Simon_Kinberg","","",""
"","","","jungle","set in environment"
"","","","Tyrion Test | reverse Bechdel Test | Bechdel test | Mako Mori test","assessment"
"","","","Washington, D.C. | New York City | Moscow | China | Paris | New York","narrative location"
"","","","Vietnamese | English","original language of film or TV show"
"","","","Montreal","filming location"
"","","","Sunspot | Toad | Kitty Pryde | Rogue | Sentinel | Beast | Storm | Professor X | Magneto | Quicksilver | Jean Grey | Logan | Mystique | William Stryker | Wolverine | Colossus | Blink | Peter Maximoff | Apocalypse | Cyclops | Iceman","present in work"
"","","","X-Men: Days of Future Past","Commons category"
"","","","film","instance of"
"","","","Peter Dinklage | Booboo Stewart","notable work"
"","","","75/100 | 90% | 7.5/10","review score"
"","","","Chris Claremont | John Byrne","after a work by"
"","","","United Kingdom | United States of America","country of origin"
"","","","FSK 12","FSK film rating"
"","","","theatrical release | video on demand","distribution format"
"","","","Earth-10005 | Revised X-Men film series timeline","takes place in fictional universe"
"","","","Academy Award for Best Visual Effects","nominated for"
"","","","crossover fiction | action film | superhero film | science fiction film | thriller film | time-travel film | dystopian film","genre"
"","","","Days of Future Past","derivative work"
"","","","Category IV","NMHH film rating"
"","","","X-Men Beginnings | X-Men","part of the series"
"","","","Newton Thomas Sigel","director of photography"
"","","","Days of Future Past","based on"
"","","","time travel","uses"
"","","","For ages 11 and up","Medierådet rating"
"","","","color","color"
"","","","X-Men Beginnings | X-Men","has part(s)"
"","","","2014-05-22T00:00:00Z | 2014-05-23T00:00:00Z | 2014-05-21T00:00:00Z","publication date"
"","","","John Myhre","production designer"
"","","","Earth-10005 | Revised X-Men film series timeline","fictional universe described in"
"","","","Category IIA","Hong Kong film rating"
"","","","not recommended for children under 12","ICAA rating"
"","","","John Ottman","film editor"
"","","","B","RTC film rating"
"","","","X-Men: Days of Future Past","soundtrack release"
