"editing","Chris Lebenzon | Chris_Lebenzon | Richard_Pearson_(film_editor) | Richard Pearson","","",""
"producer","Joe_Roth","","",""
"source","—Angelina Jolie","","",""
"runtime","97.0 | 5820.0",97.0 | 5820.0,"97","duration"
"music","James_Newton_Howard","","",""
"musicComposer","James_Newton_Howard","","",""
"gross","7.585E8",759853685,"758410378","box office"
"name","Maleficent","","",""
"productionCompany","Kirschenbaum_Films | Walt_Disney_Pictures","","",""
"basedOn","Sleeping_Beauty_(1959_film) | Walt_Disney_Animation_Studios | by Charles Perrault","","",""
"primaryTopic","Maleficent_(film)","","",""
"director","","Robert Stromberg","","director"
"screenplay","Linda_Woolverton","","",""
"portrayer","Aurora_(Sleeping_Beauty) | Maleficent","","",""
"album","Once_Upon_a_Dream_(Sleeping_Beauty_song)__Once_Upon_a_Dream__1 | Once_Upon_a_Dream_(Sleeping_Beauty_song)","","",""
"country","United States",United States of America,"United States of America","country of origin"
"studio","Walt Disney Pictures | Roth Films","","",""
"knownFor","Isobelle_Molloy","","",""
"budget","180.0 | $180–263 million",180000000,"180000000","capital cost"
"language","English","","",""
"cinematography","Dean_Semler","","",""
"title","List_of_Honest_Trailers_episodes",Maleficent,"Maleficent","title"
"isPrimaryTopicOf","Maleficent_(film)","","",""
"distributor","Walt_Disney_Studios_Motion_Pictures","","",""
"","","","Dean Semler","director of photography"
"","","","A","RTC film rating"
"","","","Bechdel test","assessment"
"","","","dark fantasy | family film | teen film | drama film | adventure film | fantasy film | romance film | cinematic fairy tale | romantic drama | action film","genre"
"","","","Nicholas Kole | Linda Woolverton","notable work"
"","","","theatrical release | video on demand","distribution format"
"","","","English","language of work or name"
"","","","no age restriction","CNC film rating (France)"
"","","","Not recommended for children under 7","ICAA rating"
"","","","Maleficent","soundtrack release"
"","","","Arjen Tuiten","make-up artist"
"","","","Janet McTeer","narrator"
"","","","Anna B. Sheppard","costume designer"
"","","","castle | country house","set in environment"
"","","","2014-05-28T00:00:00Z | 2014-06-05T00:00:00Z | 2014-05-29T00:00:00Z | 2014-07-02T00:00:00Z | 2014-05-30T00:00:00Z","publication date"
"","","","Dylan Cole | Gary Freeman","production designer"
"","","","Aurora | Maleficent","characters"
"","","","PG certificate","BBFC rating"
"","","","G","RCQ classification"
"","","","For ages 11 and up","Medierådet rating"
"","","","English","original language of film or TV show"
"","","","Sleeping Beauty","inspired by"
"","","","Walt Disney Pictures | Roth Films","production company"
"","","","Category III","NMHH film rating"
"","","","color","color"
"","","","56/100 | 54% | 5.7/10","review score"
"","","","feature film","form of creative work"
"","","","film","instance of"
"","","","PG","IFCO rating"
"","","","FSK 6","FSK film rating"
"","","","Academy Award for Best Costume Design","nominated for"
"","","","Richard Pearson | Chris Lebenzon","film editor"
"","","","Aurora | Maleficent","present in work"
"","","","Once Upon a Dream","music created for"
"","","","7-9 PG","FPB rating"
"","","","France","narrative location"
"","","","PG","MPA film rating"
"","","","10","ClassInd rating"
"","","","Maleficent (film)","Commons category"
"","","","Sleeping Beauty","has part(s)"
"","","","The Tales of my Mother Goose","based on"
"","","","PG","IMDA rating"
