"cinematography","Amir_Mokri","","",""
"editing","Paul_Rubell | Paul Rubell | Roger Barton | Roger_Barton_(film_editor) | William Goldenberg | William_Goldenberg","","",""
"producer","Don Murphy | Tom DeSanto | Ian_Bryce | Ian Bryce | Lorenzo_di_Bonaventura | Lorenzo di Bonaventura | Tom_DeSanto | Don_Murphy","","",""
"music","Steve_Jablonsky","","",""
"musicComposer","Steve_Jablonsky","","",""
"studio","Di Bonaventura Pictures | Hasbro Films","","",""
"knownFor","Amir_Mokri","","",""
"runtime","9900.0 | 165.0",9900.0 | 165.0,"165","duration"
"director","","Michael Bay","","director"
"isPrimaryTopicOf","Transformers:_Age_of_Extinction","","",""
"gross","1.104E9",1105261713,"1104054072 | 245439076","box office"
"country","United States",United States of America,"United States of America","country of origin"
"language","English","","",""
"title","List_of_Honest_Trailers_episodes",Transformers: Age of Extinction,"Трансформеры: Эпоха истребления | Transformers: Age of Extinction","title"
"productionCompany","Hasbro_Films | Di_Bonaventura_Pictures","","",""
"distributor","Paramount_Pictures","","",""
"name","Transformers: Age of Extinction","","",""
"primaryTopic","Transformers:_Age_of_Extinction","","",""
"budget","2.1E8",210000000,"210000000","capital cost"
"","","","Bechdel test","assessment"
"","","","Roger Barton | William Goldenberg | Paul Rubell","film editor"
"","","","comedy film | action film | science fiction film","genre"
"","","","FSK 12","FSK film rating"
"","","","2014-07-17T00:00:00Z | 2014-08-12T00:00:00Z | 2014-06-27T00:00:00Z | 2014-07-16T00:00:00Z | 2014-06-26T00:00:00Z | 2014-07-10T00:00:00Z | 2014-06-19T00:00:00Z","publication date"
"","","","Hasbro | Paramount Pictures | DreamWorks","production company"
"","","","Transformers Bayverse","takes place in fictional universe"
"","","","Chicago | Los Angeles | Beijing | Utah | Hong Kong | Detroit","filming location"
"","","","Amir Mokri","director of photography"
"","","","Hong Kong | Chicago | Texas","narrative location"
"","","","Transformers","based on"
"","","","For ages 11 and up","Medierådet rating"
"","","","English","original language of film or TV show"
"","","","Transformers","has part(s)"
"","","","Category III","NMHH film rating"
"","","","color","color"
"","","","video on demand","distribution format"
"","","","feature film","form of creative work"
"","","","film","instance of"
"","","","32/100 | 18% | 4/10","review score"
"","","","PG-13","MPA film rating"
"","","","Transformers: Age of Extinction","Commons category"
"","","","Transformers","part of the series"
"","","","not recommended for children under 12","ICAA rating"
"","","","Transformers Bayverse","fictional universe described in"
"","","","Melanie Hinze","voice actor"
"","","","Transformers","derivative work"
"","","","B","RTC film rating"
