"studio","20 | Chernin Entertainment | TSG Entertainment","","",""
"runtime","7800.0 | 130.0",130,"130","duration"
"country","United States",United States | United States of America,"United States of America","country of origin"
"title","List_of_Honest_Trailers_episodes",Dawn of the Planet of the Apes,"Dawn of the Planet of the Apes","title"
"editing","William Hoy | Stan Salfas | William_Hoy_(film_editor)","","",""
"cinematography","Michael_Seresin","","",""
"producer","Dylan Clark | Peter_Chernin | Amanda Silver | Peter Chernin | Rick Jaffa","","",""
"distributor","20 | 20th_Century_Fox","","",""
"name","Dawn of the Planet of the Apes","","",""
"isPrimaryTopicOf","Dawn_of_the_Planet_of_the_Apes","","",""
"gross","7.106E8",7.106E8 | 710644566,"710644566","box office"
"musicComposer","Michael_Giacchino","","",""
"productionCompany","TSG_Entertainment | Chernin_Entertainment | 20th_Century_Fox","","",""
"language","English","","",""
"budget","1.7E8","","",""
"primaryTopic","Dawn_of_the_Planet_of_the_Apes","","",""
"music","Michael_Giacchino","","",""
"director","","Matt Reeves","","director"
"nextTitle","Star_Trek_Into_Darkness_(soundtrack) | Toy_Story_of_Terror!","","",""
"","","","Caesar | Koba","present in work"
"","","","91% | 7.9/10 | 79/100","review score"
"","","","Pierre Boulle","after a work by"
"","","","thriller film | film based on a novel | science fiction film | adventure film | action film | dystopian film | post-apocalyptic film | drama film","genre"
"","","","Vancouver | New Orleans | San Francisco | British Columbia","filming location"
"","","","For ages 11 and up","Medierådet rating"
"","","","2014-07-17T00:00:00Z | 2014-08-07T00:00:00Z | 2014-06-26T00:00:00Z | 2014-07-10T00:00:00Z | 2014-07-11T00:00:00Z | 2014-07-18T00:00:00Z | 2014-07-30T00:00:00Z | 2014-08-29T00:00:00Z","publication date"
"","","","Category III","NMHH film rating"
"","","","B","RTC film rating"
"","","","not recommended for children under 12","ICAA rating"
"","","","Planet of the Apes","derivative work"
"","","","video on demand","distribution format"
"","","","Multiverse of the Planet of the Apes","fictional universe described in"
"","","","San Francisco","narrative location"
"","","","12","ClassInd rating"
"","","","Planet of the Apes","media franchise"
"","","","Bechdel test","assessment"
"","","","Dawn of the Planet of the Apes – Motion Picture Soundtrack","soundtrack release"
"","","","Multiverse of the Planet of the Apes","takes place in fictional universe"
"","","","film","instance of"
"","","","Tony McFarr","notable work"
"","","","Planet of the Apes","has part(s)"
"","","","Planet of the Apes","based on"
"","","","color","color"
"","","","Dawn of the Planet of the Apes","Commons category"
"","","","William Hoy","film editor"
"","","","Academy Award for Best Visual Effects","nominated for"
"","","","20th Century Studios","production company"
"","","","English","original language of film or TV show"
"","","","FSK 12","FSK film rating"
"","","","Michael Seresin","director of photography"
