"producer","Lynda_Obst | Christopher Nolan | Emma Thomas | Emma_Thomas | Lynda Obst | Christopher_Nolan","","",""
"budget","1.65E8","165000000 | 1.65E8","165000000","capital cost"
"title","How_It_Should_Have_Ended | List_of_Honest_Trailers_episodes | Awards for Interstellar","Interstellar","","title"
"distributor","Warner_Bros._Pictures | Paramount_Pictures | Paramount Pictures | Warner Bros. Pictures","","",""
"country","United States","United Kingdom | United States | United States of America","United States of America","country of origin"
"musicComposer","Hans_Zimmer","","",""
"director","","Christopher Nolan","","director"
"runtime","169.0 | 10140.0","169","169","duration"
"productionCompanies","Lynda Obst Productions | Syncopy | Warner Bros. Pictures","Lynda Obst Productions | Syncopy | Warner Bros. Pictures | Legendary Pictures | Paramount Pictures | Syncopy Inc. | Warner Bros.","Syncopy Inc. | Warner Bros.","production company"
"isPrimaryTopicOf","Interstellar_(film)","","",""
"music","Hans_Zimmer","","",""
"language","English","","",""
"source","—Quentin Tarantino on Interstellar.","","",""
"editing","Lee_Smith_(film_editor)","","",""
"cinematography","Hoyte_van_Hoytema","","",""
"gross","7.738E8","677471339 | 188020017 (different values in the resources)","677471339 | 701729206 | 188020017","box office"
"name","Interstellar","","",""
"primaryTopic","Interstellar_(film)","","",""
"","","","Doyle | Joseph Cooper | Tom Cooper | Murphy Cooper | Hugh Mann | Amelia Brand | John Brand | Donald | Romilly","characters"
"","","","Edmund's Planet | Mann's Planet | Endurance | Cooper Station | Miller's Planet | Gargantua | Colorado","narrative location"
"","","","thriller film | science fiction film | dystopian film | drama film | adventure film | time-travel film","genre"
"","","","For ages 11 and up","Medierådet rating"
"","","","54116 | 56634 | 51771 | 54423","social media followers"
"","","","John Brand | Donald | Romilly | Gargantua | Doyle | Earth | Mann's Planet | Joseph Cooper | Endurance | Cooper Station | CASE | Edmund's Planet | Tom Cooper | Murphy Cooper | Hugh Mann | TARS | Amelia Brand | Miller's Planet","first appearance"
"","","","Category III","NMHH film rating"
"","","","feature film","form of creative work"
"","","","Lee Smith","film editor"
"","","","video on demand","distribution format"
"","","","Hoyte van Hoytema","director of photography"
"","","","Interstellar universe","takes place in fictional universe"
"","","","fictional planet","set in environment"
"","","","6+","BAMID film rating"
"","","","Mary Zophres","costume designer"
"","","","Paul Franklin","film crew member"
"","","","Doyle | Edmund's Planet | Earth | Mann's Planet | Joseph Cooper | Endurance | Tom Cooper | Cooper Station | Hugh Mann | CASE | Murphy Cooper | TARS | Amelia Brand | Romilly | Miller's Planet | Gargantua | interdimensional hypothesis | John Brand | Donald","present in work"
"","","","Academy Award for Best Visual Effects | Academy Award for Best Sound | Academy Award for Best Sound Editing | Academy Award for Best Original Score | Academy Award for Best Production Design","nominated for"
"","","","FSK 12","FSK film rating"
"","","","2014-11-06T00:00:00Z | 2014-11-07T00:00:00Z | 2014-10-26T00:00:00Z | 2014-11-05T00:00:00Z","publication date"
"","","","English","original language of film or TV show"
"","","","7.1/10 | 73% | 74/100","review score"
"","","","Interstellar","Commons category"
"","","","Alberta | Los Angeles | Iceland | Cheyenne Mountain","filming location"
"","","","no age restriction","CNC film rating (France)"
"","","","12A","IFCO rating"
"","","","10","ClassInd rating"
"","","","Interstellar universe","fictional universe described in"
"","","","Bechdel test","assessment"
"","","","G","RCQ classification"
"","","","12 certificate","BBFC rating"
"","","","Interstellar: Original Motion Picture Soundtrack","soundtrack release"
"","","","10-12 PG","FPB rating"
"","","","B","RTC film rating"
"","","","not recommended for children under 12","ICAA rating"
"","","","PG-13","MPA film rating"
"","","","Interstellar: Original Motion Picture Soundtrack","music created for"
"","","","PG13","IMDA rating"
"","","","film","instance of"
"","","","Nathan Crowley","production designer"
"","","","2067","set in period"
"","","","color","color"
