"productionCompanies","Lionsgate",Color Force | Lionsgate | Starz Entertainment Corp.,"Starz Entertainment Corp.","production company"
"title","The Broadcast | It's Gonna Be a Long Night | List_of_accolades_received_by_The_Hunger_Games_film_series | The Mockingjay | Put Me on the Air | List_of_Honest_Trailers_episodes | Air Raid Drill | District 8 Hospital | District 12 Ruins | Katniss' Nightmare | The_Hanging_Tree_(The_Hunger_Games_song) | They're Back | Incoming Bombers | The Arsenal | Please Welcome Peeta | Peeta's Broadcast | Remind Her Who the Enemy Is | Inside the Tribute Center | Snow's Speech | Taunting the Cat | Don't Be a Fool Katniss | White Roses | District 12 | Victory | Jamming the Capitol",The Hunger Games: Mockingjay – Part 1,"The Hunger Games: Mockingjay – Part 1","title"
"length","212.0 | 127.0 | 234.0 | 126.0 | 167.0 | 233.0 | 100.0 | 205.0 | 159.0 | 271.0 | 203.0 | 146.0 | 224.0 | 174.0 | 128.0 | 190.0 | 218.0 | 273.0 | 149.0 | 207.0 | 71.0 | 105.0","","",""
"runtime","123.0 | 7380.0",123,"123","duration"
"producer","Nina Jacobson | Jon_Kilik | Jon Kilik | Nina_Jacobson","","",""
"director","","Francis Lawrence","","director"
"music","The_Lumineers | James_Newton_Howard | Wesley_Schultz","","",""
"distributor","Lionsgate | Lionsgate_Films","","",""
"prevTitle","The_Hunger_Games:_Mockingjay_–_Part_2 | The_Hunger_Games:_Catching_Fire","","",""
"label","Universal_Republic_Records","","",""
"editing","Mark Yoshikawa | Alan_Edward_Bell | Alan Edward Bell","","",""
"released","2014-11-24","","",""
"country","United States | United_States",United States,"United States of America","country of origin"
"nextTitle","The_Hunger_Games:_Mockingjay_–_Part_2","","",""
"name","Mockingjay – Part 1 | The Hunger Games: | The Hunger Games: Mockingjay - Part 1 Original Motion Picture Score","","",""
"musicComposer","James_Newton_Howard","","",""
"budget","$125–140 million | 125.0",125000000,"125000000","capital cost"
"cinematography","Jo Willems","","",""
"misc","--12-09","","",""
"gross","7.554E8",7.554E8 | 755356711 | 337135885,"755356711 | 337135885","box office"
"isPrimaryTopicOf","The_Hunger_Games:_Mockingjay_–_Part_1","","",""
"language","English","","",""
"screenplay","Peter Craig | Danny Strong","","",""
"type","","film","","instance of"
"primaryTopic","The_Hunger_Games:_Mockingjay_–_Part_1","","",""
"genre","Soundtrack",war film | film based on a novel | drama film | action film | science fiction film,"war film | film based on a novel | drama film | action film | science fiction film","genre"
"","","","Bechdel test | Vito Russo test | Shukla Test | Mako Mori test | Riz Test | Feldman Test | reverse Bechdel Test | Landau Test | Waithe Test","assessment"
"","","","The Hunger Games","has part(s)"
"","","","FSK 12","FSK film rating"
"","","","Annie Cresta | Pollux | Johanna Mason | Paylor | Boggs | Alma Coin | Beetee | Castor | Plutarch Heavensbee","present in work"
"","","","Suzanne Collins","after a work by"
"","","","Paris | Atlanta | Berlin | Georgia","filming location"
"","","","2014-11-20T00:00:00Z | 2014-11-19T00:00:00Z | 2014-11-21T00:00:00Z","publication date"
"","","","The Hunger Games","part of the series"
"","","","Mockingjay","based on"
"","","","Los_juegos_del_hambre:_sinsajo,_parte_1_(película_de_2014)","EcuRed article"
"","","","English","original language of film or TV show"
"","","","The Hunger Games: Mockingjay, Part 1 – Original Motion Picture Soundtrack","soundtrack release"
"","","","color","color"
"","","","video on demand","distribution format"
"","","","feature film","form of creative work"
"","","","PG-13","MPA film rating"
"","","","64/100 | 6.3/10 | 69%","review score"
"","","","12 certificate","BBFC rating"
"","","","The Hunger Games: Mockingjay – Part 1","Commons category"
"","","","Philip Seymour Hoffman","dedicated to"
"","","","Category IV","NMHH film rating"
"","","","Panem","narrative location"
"","","","not recommended for children under 12","ICAA rating"
"","","","Mockingjay","derivative work"
"","","","M","OFLC classification"
"","","","M","Australian Classification"
"","","","B","RTC film rating"
"","","","Jo Willems","director of photography"
"","","","Tony McFarr","notable work"
