"runtime","8160.0 | 136.0",136,"136","duration"
"cinematography","Trent_Opaloch","","",""
"editing","Jeffrey_Ford_(film_editor) | Jeffrey Ford | Matthew Schmidt | Matthew_Schmidt_(film_editor)","","",""
"productionCompany","Marvel_Studios","","",""
"producer","Kevin_Feige","","",""
"screenplay","Stephen McFeely | Christopher Markus","","",""
"knownFor","Trent_Opaloch","","",""
"nextTitle","Turbo_(film)","","",""
"source","—Anthony Russo, co-director of Captain America: The Winter Soldier | —Kevin Feige, producer of Captain America: The Winter Soldier","","",""
"budget","170.0 | $170–177 million",170000000,"170000000","capital cost"
"country","United States",United States | United States of America,"United States of America","country of origin"
"primaryTopic","Captain_America:_The_Winter_Soldier","","",""
"title","How_It_Should_Have_Ended | List_of_Honest_Trailers_episodes","Captain America: The Winter Soldier","","title"
"music","Henry_Jackman","","",""
"musicComposer","Henry_Jackman","","",""
"director","Russo_brothers",Russo_brothers | Joe Russo | Anthony Russo,"Joe Russo | Anthony Russo","director"
"language","English","","",""
"gross","7.144E8",259766572 | 714421503,"259766572 | 714421503","box office"
"name","Captain America: The Winter Soldier","","",""
"isPrimaryTopicOf","Captain_America:_The_Winter_Soldier","","",""
"studio","Marvel_Studios","","",""
"distributor","Walt_Disney_Studios_Motion_Pictures","","",""
"","","","Pietro Maximoff | Nagendra Singh | Watcher Informant | Stark Industries Headquarters | Wenham | World Security Council | Bucky Barnes | Camp Lehigh | Brock Rumlow | Wheaton | Captain America's Motorcycle | Doctor List | Alexander Pierce | Russo | Maria Hill | Councilman Rockwell | Black Widow's Bite | Renata | Councilwoman Hawley | Wolfgang von Strucker | Jasper Sitwell | Peggy Carter | Steve Rogers' Compass | Steve Rogers | Schnellzug EB912 | Natasha Romanoff | S.H.I.E.L.D. Helicopter | Georges Batroc | Senator Stern | Nick Fury | Cameron Klein | Fine | Councilman Yen | Taser Disk | Captain America's Uniform | Sharon Carter | Sam Wilson | Mind Stone | Wanda Maximoff | Arnim Zola | Alexander Pierce's Residence | Garcia | Jack Rollins","present in work"
"","","","New Jersey | Washington, D.C. | New York City | Pennsylvania | New York","narrative location"
"","","","Alexander Pierce | Renata | Wolfgang von Strucker | Brock Rumlow | Russo | Councilman Rockwell | Georges Batroc | Cameron Klein | Fine | Councilman Yen | Wanda Maximoff | Jack Rollins | Wenham | Sharon Carter | Sam Wilson | Garcia | Pietro Maximoff | Nagendra Singh | Doctor List","first appearance"
"","","","Critics' Choice Movie Award for Best Action Movie | Saturn Award for Best Comic-to-Film Motion Picture | Teen Choice Award for Choice Movie Actress - Sci-Fi/Fantasy | Saturn Award for Best Supporting Actor | Critics' Choice Movie Award for Best Actor in an Action Movie | Teen Choice Award for Choice Movie Scene Stealer | Teen Choice Award for Choice Movie Actor - Sci-Fi/Fantasy | Teen Choice Award for Choice Movie: Chemistry | Saturn Award for the Best Actor | Academy Award for Best Visual Effects | Saturn Award for Best Special Effects | MTV Movie Award for Best Kiss | Saturn Award for Best Director | Saturn Award for Best Writing | Saturn Award for Best Supporting Actress | Teen Choice Award for Choice Movie - Sci-Fi/Fantasy | Saturn Award for Best Music | Saturn Award for Best Editing | MTV Movie Award for Best Fight | Saturn Award for best production design | Teen Choice Award for Choice Movie: Liplock","nominated for"
"","","","G","RCQ classification"
"","","","+13","INCAA film rating"
"","","","12","ClassInd rating"
"","","","Steve Rogers | Bucky Barnes","named after"
"","","","film","instance of"
"","","","Robert Clotworthy | Gary Sinise | June Christopher","voice actor"
"","","","Captain America | Marvel Cinematic Universe Phase Two | Marvel Cinematic Universe | The Infinity Saga","part of the series"
"","","","Marvel Cinematic Universe","takes place in fictional universe"
"","","","Marvel Studios","production company"
"","","","reverse Bechdel Test | Bechdel test","assessment"
"","","","7.7/10 | 70/100 | 90%","review score"
"","","","no minors under twelve","CNC film rating (France)"
"","","","2014-03-28T00:00:00Z | 2014-04-04T00:00:00Z | 2014-04-03T00:00:00Z | 2014-03-26T00:00:00Z | 2014-03-27T00:00:00Z | 2014-04-10T00:00:00Z","publication date"
"","","","Trent Opaloch","director of photography"
"","","","FSK 12","FSK film rating"
"","","","ship","set in environment"
"","","","Los Angeles","filming location"
"","","","video on demand","distribution format"
"","","","PG-13","MPA film rating"
"","","","12A","IFCO rating"
"","","","Category IV","NMHH film rating"
"","","","action film | superhero film | science fiction film | adventure film","genre"
"","","","PG","IMDA rating"
"","","","Marvel Cinematic Universe","fictional universe described in"
"","","","Captain America","characters"
"","","","Captain America","based on"
"","","","For ages 11 and up","Medierådet rating"
"","","","English","original language of film or TV show"
"","","","color","color"
"","","","Captain America | Marvel Cinematic Universe Phase Two","has part(s)"
"","","","Captain America","derivative work"
"","","","Judianna Makovsky","costume designer"
"","","","13","FPB rating"
"","","","Captain America: The Winter Soldier","soundtrack release"
"","","","Captain America: The Winter Soldier","Commons category"
"","","","1046009","attendance"
"","","","12 certificate","BBFC rating"
"","","","not recommended for children under 12","ICAA rating"
"","","","B","RTC film rating"
"","","","Aaron Taylor-Johnson","notable work"
"","","","Jeffrey Ford","film editor"
