"story","James Vanderbilt | Roberto Orci | Alex Kurtzman | Jeff Pinkner","","",""
"title","How_It_Should_Have_Ended | List_of_Honest_Trailers_episodes | It's On Again",The Amazing Spider-Man 2,"The Amazing Spider-Man 2","title"
"lastAppearance","Gwen_Stacy_(The_Amazing_Spider-Man_film_series)","","",""
"distributor","Sony_Pictures_Motion_Picture_Group","","",""
"gross","7.09E8",708982323 | 7.09E8 (different values in the sources),"708982323","box office"
"country","United States",United States | United States of America,"United States of America","country of origin"
"isPrimaryTopicOf","The_Amazing_Spider-Man_2","","",""
"producer","Avi Arad | Matt Tolmach | Avi_Arad | Matt_Tolmach","","",""
"editing","Pietro_Scalia","","",""
"musicComposer","Hans_Zimmer","","",""
"budget","$200–293 million | 200.0","","",""
"studio","Marvel Entertainment | Arad Productions, Inc. | Columbia Pictures | Matt Tolmach Productions","","",""
"music","Hans Zimmer | The Magnificent Six","","",""
"source","—Jerome Chen – VFX supervisor of Sony Imageworks | —Sony","","",""
"screenplay","Alex Kurtzman | Jeff Pinkner | Roberto Orci","","",""
"primaryTopic","The_Amazing_Spider-Man_2","","",""
"productionCompany","Marvel_Entertainment | Columbia_Pictures","","",""
"language","English","","",""
"cinematography","Dan_Mindel","","",""
"runtime","142.0 | 8520.0",142,"142","duration"
"director","","Marc Webb","","director"
"name","The Amazing Spider-Man 2","","",""
"album","The_Edge_(song)","","",""
"","","","2014-05-01T00:00:00Z | 2014-04-30T00:00:00Z | 2014-04-18T00:00:00Z | 2014-05-02T00:00:00Z | 2014-04-17T00:00:00Z","publication date"
"","","","reverse Bechdel Test | Bechdel test","assessment"
"","","","The Amazing Spider-Man","named after"
"","","","51% | 53/100 | 5.8/10","review score"
"","","","aircraft | airplane","set in environment"
"","","","Spider-Man | Electro | Mary Jane Watson | Max Dillon | Harry Osborn | Peter Parker | Gwen Stacy | Rhino | Green Goblin | retroviral hyperplasia | Norman Osborn","present in work"
"","","","New York City","narrative location"
"","","","thriller film | superhero film | science fiction film | biopunk | action film | teen film","genre"
"","","","For ages 11 and up","Medierådet rating"
"","","","The Amazing Spider-Man | Spider-Man in film","part of the series"
"","","","Category III","NMHH film rating"
"","","","B","RTC film rating"
"","","","PG-13","MPA film rating"
"","","","video on demand","distribution format"
"","","","The Amazing Spider-Man 2","Commons category"
"","","","Not recommended for children under 7","ICAA rating"
"","","","Marvel Entertainment | Columbia Pictures","production company"
"","","","Spider-Man | Mary Jane Watson | Max Dillon | Peter Parker | Gwen Stacy | Rhino | Aunt May | Green Goblin","characters"
"","","","New York City | Long Island | Rochester","filming location"
"","","","彼得罗·斯卡利亚","film editor"
"","","","12","ClassInd rating"
"","","","G","RCQ classification"
"","","","no age restriction","CNC film rating (France)"
"","","","film","instance of"
"","","","Amazing | The Edge","part of"
"","","","12 certificate","BBFC rating"
"","","","list of Spider-Man films | The Amazing Spider-Man","has part(s)"
"","","","color","color"
"","","","Daniel Mindel","director of photography"
"","","","Earth-120703","fictional universe described in"
"","","","FSK 12","FSK film rating"
"","","","English","original language of film or TV show"
"","","","The Night Gwen Stacy Died","inspired by"
"","","","Earth-120703","takes place in fictional universe"
"","","","Gerry Conway","after a work by"
