"editing","William Hoy | Stan Salfas | William_Hoy_(film_editor)","","",""
"producer","Peter Chernin | Rick Jaffa | Dylan Clark | Peter_Chernin | Amanda Silver","","",""
"cinematography","Michael_Seresin","","",""
"runtime","7800.0 | 130.0",130,"130","duration"
"distributor","20th_Century_Fox | 20","","",""
"name","Dawn of the Planet of the Apes","","",""
"country","United States",United States of America,"United States of America","country of origin"
"music","Michael_Giacchino","","",""
"musicComposer","Michael_Giacchino","","",""
"studio","Chernin Entertainment | TSG Entertainment | 20","","",""
"language","English","","",""
"gross","7.106E8",710644566,"710644566","box office"
"productionCompany","Chernin_Entertainment | 20th_Century_Fox | TSG_Entertainment","","",""
"primaryTopic","Dawn_of_the_Planet_of_the_Apes","","",""
"title","List_of_Honest_Trailers_episodes",Dawn of the Planet of the Apes,"Dawn of the Planet of the Apes","title"
"nextTitle","Star_Trek_Into_Darkness_(soundtrack) | Toy_Story_of_Terror!","","",""
"director","","Matt Reeves","","director"
"isPrimaryTopicOf","Dawn_of_the_Planet_of_the_Apes","","",""
"budget","1.7E8","","",""
"","","","7.9/10 | 91% | 79/100","review score"
"","","","Bechdel test","assessment"
"","","","FSK 12","FSK film rating"
"","","","Planet of the Apes","media franchise"
"","","","2014-07-17T00:00:00Z | 2014-07-30T00:00:00Z | 2014-07-11T00:00:00Z | 2014-07-18T00:00:00Z | 2014-06-26T00:00:00Z | 2014-08-29T00:00:00Z | 2014-08-07T00:00:00Z | 2014-07-10T00:00:00Z","publication date"
"","","","post-apocalyptic film | thriller film | film based on a novel | drama film | adventure film | action film | science fiction film | dystopian film","genre"
"","","","Academy Award for Best Visual Effects","nominated for"
"","","","Multiverse of the Planet of the Apes","fictional universe described in"
"","","","Planet of the Apes","based on"
"","","","Dawn of the Planet of the Apes – Motion Picture Soundtrack","soundtrack release"
"","","","British Columbia | Vancouver | New Orleans | San Francisco","filming location"
"","","","Planet of the Apes","has part(s)"
"","","","For ages 11 and up","Medierådet rating"
"","","","English","original language of film or TV show"
"","","","San Francisco","narrative location"
"","","","Category III","NMHH film rating"
"","","","color","color"
"","","","video on demand","distribution format"
"","","","12","ClassInd rating"
"","","","Caesar | Koba","present in work"
"","","","film","instance of"
"","","","Michael Seresin","director of photography"
"","","","Multiverse of the Planet of the Apes","takes place in fictional universe"
"","","","not recommended for children under 12","ICAA rating"
"","","","Pierre Boulle","after a work by"
"","","","Planet of the Apes","derivative work"
"","","","20th Century Studios","production company"
"","","","William Hoy","film editor"
"","","","B","RTC film rating"
"","","","Dawn of the Planet of the Apes","Commons category"
"","","","Tony McFarr","notable work"
