"screenplay","Alex Kurtzman | Jeff Pinkner | Roberto Orci","","",""
"source","—Jerome Chen – VFX supervisor of Sony Imageworks | —Sony","","",""
"studio","Arad Productions, Inc. | Marvel Entertainment | Matt Tolmach Productions | Columbia Pictures","","",""
"story","James Vanderbilt | Alex Kurtzman | Jeff Pinkner | Roberto Orci","","",""
"musicComposer","Hans_Zimmer","","",""
"producer","Avi Arad | Avi_Arad | Matt Tolmach | Matt_Tolmach","","",""
"music","Hans Zimmer | The Magnificent Six","","",""
"album","The_Edge_(song)","","",""
"director","","Marc Webb","","director"
"budget","200.0 | $200–293 million","","",""
"lastAppearance","Gwen_Stacy_(The_Amazing_Spider-Man_film_series)","","",""
"productionCompany","Columbia_Pictures | Marvel_Entertainment","","",""
"country","United States",United States of America,"United States of America","country of origin"
"editing","Pietro_Scalia","","",""
"title","It's On Again | How_It_Should_Have_Ended | List_of_Honest_Trailers_episodes",The Amazing Spider-Man 2,"The Amazing Spider-Man 2","title"
"runtime","142.0 | 8520.0",142,"142","duration"
"language","English","","",""
"primaryTopic","The_Amazing_Spider-Man_2","","",""
"name","The Amazing Spider-Man 2","","",""
"cinematography","Dan_Mindel","","",""
"isPrimaryTopicOf","The_Amazing_Spider-Man_2","","",""
"gross","7.09E8",709672746,"708982323","box office"
"distributor","Sony_Pictures_Motion_Picture_Group","","",""
"","","","Bechdel test | reverse Bechdel Test","assessment"
"","","","aircraft | airplane","set in environment"
"","","","Aunt May | Spider-Man | Mary Jane Watson | Gwen Stacy | Peter Parker | Rhino | Green Goblin | Max Dillon","characters"
"","","","FSK 12","FSK film rating"
"","","","2014-05-02T00:00:00Z | 2014-04-30T00:00:00Z | 2014-04-18T00:00:00Z | 2014-05-01T00:00:00Z | 2014-04-17T00:00:00Z","publication date"
"","","","Gwen Stacy | Norman Osborn | Electro | retroviral hyperplasia | Spider-Man | Mary Jane Watson | Peter Parker | Harry Osborn | Rhino | Green Goblin | Max Dillon","present in work"
"","","","Gerry Conway","after a work by"
"","","","no age restriction","CNC film rating (France)"
"","","","Not recommended for children under 7","ICAA rating"
"","","","teen film | thriller film | biopunk | superhero film | action film | science fiction film","genre"
"","","","The Amazing Spider-Man | list of Spider-Man films","has part(s)"
"","","","Marvel Entertainment | Columbia Pictures","production company"
"","","","G","RCQ classification"
"","","","The Amazing Spider-Man 2","Commons category"
"","","","New York City | Long Island | Rochester","filming location"
"","","","For ages 11 and up","Medierådet rating"
"","","","English","original language of film or TV show"
"","","","Earth-120703","takes place in fictional universe"
"","","","Category III","NMHH film rating"
"","","","color","color"
"","","","video on demand","distribution format"
"","","","12","ClassInd rating"
"","","","film","instance of"
"","","","51% | 53/100 | 5.8/10","review score"
"","","","PG-13","MPA film rating"
"","","","The Amazing Spider-Man","named after"
"","","","The Amazing Spider-Man | Spider-Man in film","part of the series"
"","","","Amazing | The Edge","part of"
"","","","12 certificate","BBFC rating"
"","","","Daniel Mindel","director of photography"
"","","","彼得罗·斯卡利亚","film editor"
"","","","New York City","narrative location"
"","","","B","RTC film rating"
"","","","The Night Gwen Stacy Died","inspired by"
"","","","Earth-120703","fictional universe described in"
