1, Transformers: Age of Extinction, https://www.boxofficemojo.com/releasegroup/gr41374213/?ref_=bo_ydw_table_1,Q6151665
2, The Hobbit: The Battle of the Five Armies, https://www.boxofficemojo.com/releasegroup/gr147673605/?ref_=bo_ydw_table_2,Q919649
3, Guardians of the Galaxy, https://www.boxofficemojo.com/releasegroup/gr2312655365/?ref_=bo_ydw_table_3,Q5614113
4, Maleficent, https://www.boxofficemojo.com/releasegroup/gr4064301573/?ref_=bo_ydw_table_4,Q1660555
5, The Hunger Games: Mockingjay - Part 1, https://www.boxofficemojo.com/releasegroup/gr3034403333/?ref_=bo_ydw_table_5,Q4142083
6, X-Men: Days of Future Past, https://www.boxofficemojo.com/releasegroup/gr2674807301/?ref_=bo_ydw_table_6,Q4985891
7, Captain America: The Winter Soldier, https://www.boxofficemojo.com/releasegroup/gr952979973/?ref_=bo_ydw_table_7,Q1765358
8, Dawn of the Planet of the Apes, https://www.boxofficemojo.com/releasegroup/gr1446466053/?ref_=bo_ydw_table_8,Q11220194
9, The Amazing Spider-Man 2, https://www.boxofficemojo.com/releasegroup/gr1230590469/?ref_=bo_ydw_table_9,Q4254026
10, Interstellar, https://www.boxofficemojo.com/releasegroup/gr459297285/?ref_=bo_ydw_table_10,Q3153615
11, Big Hero 6, https://www.boxofficemojo.com/releasegroup/gr3218493957/?ref_=bo_ydw_table_11,Q19919631
12, How to Train Your Dragon 2, https://www.boxofficemojo.com/releasegroup/gr2014401029/?ref_=bo_ydw_table_12,Q10298666
13, American Sniper, https://www.boxofficemojo.com/releasegroup/gr1412583941/?ref_=bo_ydw_table_13,Q16970789
14, Godzilla, https://www.boxofficemojo.com/releasegroup/gr1899778565/?ref_=bo_ydw_table_14,Q6567
15, Rio 2, https://www.boxofficemojo.com/releasegroup/gr1071665669/?ref_=bo_ydw_table_15,Q6296387
16, Teenage Mutant Ninja Turtles, https://www.boxofficemojo.com/releasegroup/gr656364037/?ref_=bo_ydw_table_16,Q1381762
17, The Lego Movie, https://www.boxofficemojo.com/releasegroup/gr2634043909/?ref_=bo_ydw_table_17,Q2608065
18, Lucy, https://www.boxofficemojo.com/releasegroup/gr2824491525/?ref_=bo_ydw_table_18,Q13365715
19, Penguins of Madagascar, https://www.boxofficemojo.com/releasegroup/gr3093123589/?ref_=bo_ydw_table_19,Q15616479
20, Edge of Tomorrow, https://www.boxofficemojo.com/releasegroup/gr2177323525/?ref_=bo_ydw_table_20,Q1187607
21, Star Wars: Episode VII - The Force Awakens, https://www.boxofficemojo.com/releasegroup/gr3305984517/?ref_=bo_ydw_table_1,Q6074
22, Jurassic World, https://www.boxofficemojo.com/releasegroup/gr2960871941/?ref_=bo_ydw_table_2,Q3512046
23, Furious 7, https://www.boxofficemojo.com/releasegroup/gr2321306117/?ref_=bo_ydw_table_3,Q14650496
24, Avengers: Age of Ultron, https://www.boxofficemojo.com/releasegroup/gr1743933957/?ref_=bo_ydw_table_4,Q14171368
25, Minions, https://www.boxofficemojo.com/releasegroup/gr838095365/?ref_=bo_ydw_table_5,Q13589324
26, Spectre, https://www.boxofficemojo.com/releasegroup/gr16273925/?ref_=bo_ydw_table_6,Q11471034
27, Inside Out, https://www.boxofficemojo.com/releasegroup/gr1952338437/?ref_=bo_ydw_table_7,Q452671
28, Mission: Impossible - Rogue Nation, https://www.boxofficemojo.com/releasegroup/gr3740488197/?ref_=bo_ydw_table_8,Q17548046
29, The Hunger Games: Mockingjay - Part 2, https://www.boxofficemojo.com/releasegroup/gr2410172933/?ref_=bo_ydw_table_9,Q10307713
30, The Martian, https://www.boxofficemojo.com/releasegroup/gr1145983493/?ref_=bo_ydw_table_10,Q1220893
31, Fifty Shades of Grey, https://www.boxofficemojo.com/releasegroup/gr4024783365/?ref_=bo_ydw_table_11,Q557867
32, Cinderella, https://www.boxofficemojo.com/releasegroup/gr3664990725/?ref_=bo_ydw_table_12,Q11841
33, The Revenant, https://www.boxofficemojo.com/releasegroup/gr1464685061/?ref_=bo_ydw_table_13,Q18600190
34, Ant-Man, https://www.boxofficemojo.com/releasegroup/gr821711365/?ref_=bo_ydw_table_14,Q2420783
35, Hotel Transylvania 2, https://www.boxofficemojo.com/releasegroup/gr1933267461/?ref_=bo_ydw_table_15,Q15270775
36, San Andreas, https://www.boxofficemojo.com/releasegroup/gr3033420293/?ref_=bo_ydw_table_16,Q225174
37, Terminator Genisys, https://www.boxofficemojo.com/releasegroup/gr1182290437/?ref_=bo_ydw_table_17,Q15140437
38, Kingsman: The Secret Service, https://www.boxofficemojo.com/releasegroup/gr2858963461/?ref_=bo_ydw_table_18,Q15068238
39, Monster Hunt, https://www.boxofficemojo.com/releasegroup/gr3930214917/?ref_=bo_ydw_table_19,Q18391038
40, Home, https://www.boxofficemojo.com/releasegroup/gr275075589/?ref_=bo_ydw_table_20,Q7743
41, Captain America: Civil War, https://www.boxofficemojo.com/releasegroup/gr2136297989/?ref_=bo_ydw_table_1,Q18407657
42, Rogue One: A Star Wars Story, https://www.boxofficemojo.com/releasegroup/gr384520709/?ref_=bo_ydw_table_2,Q19590955
43, Finding Dory, https://www.boxofficemojo.com/releasegroup/gr1869238789/?ref_=bo_ydw_table_3,Q9321426
44, Zootopia, https://www.boxofficemojo.com/releasegroup/gr1680691717/?ref_=bo_ydw_table_4,Q15270647
45, The Jungle Book, https://www.boxofficemojo.com/releasegroup/gr1103385093/?ref_=bo_ydw_table_5,Q189509
46, The Secret Life of Pets, https://www.boxofficemojo.com/releasegroup/gr4228141573/?ref_=bo_ydw_table_6,Q18844656
47, Batman v Superman: Dawn of Justice, https://www.boxofficemojo.com/releasegroup/gr4182135301/?ref_=bo_ydw_table_7,Q14772351
48, Fantastic Beasts and Where to Find Them, https://www.boxofficemojo.com/releasegroup/gr3670495749/?ref_=bo_ydw_table_8,Q126684630
49, Deadpool, https://www.boxofficemojo.com/releasegroup/gr2532200965/?ref_=bo_ydw_table_9,Q1631090
50, Suicide Squad, https://www.boxofficemojo.com/releasegroup/gr457593349/?ref_=bo_ydw_table_10,Q616136
51, Doctor Strange, https://www.boxofficemojo.com/releasegroup/gr2284737029/?ref_=bo_ydw_table_11,Q907767
52, Moana, https://www.boxofficemojo.com/releasegroup/gr1742623237/?ref_=bo_ydw_table_12,Q1183953
53, Sing, https://www.boxofficemojo.com/releasegroup/gr3642970629/?ref_=bo_ydw_table_13,Q27939
54, The Mermaid, https://www.boxofficemojo.com/releasegroup/gr719016453/?ref_=bo_ydw_table_14,Q18547295
55, X-Men: Apocalypse, https://www.boxofficemojo.com/releasegroup/gr2590724613/?ref_=bo_ydw_table_15,Q17042878
56, Kung Fu Panda 3, https://www.boxofficemojo.com/releasegroup/gr4045558277/?ref_=bo_ydw_table_16,Q15055043
57, La La Land, https://www.boxofficemojo.com/releasegroup/gr2781106693/?ref_=bo_ydw_table_17,Q20856802
58, Warcraft, https://www.boxofficemojo.com/releasegroup/gr2367640069/?ref_=bo_ydw_table_18,Q815739
59, Jason Bourne, https://www.boxofficemojo.com/releasegroup/gr2385007109/?ref_=bo_ydw_table_19,Q1059919
60, Ice Age: Collision Course, https://www.boxofficemojo.com/releasegroup/gr307778053/?ref_=bo_ydw_table_20,Q15965953
61, Star Wars: Episode VIII - The Last Jedi, https://www.boxofficemojo.com/releasegroup/gr3764736517/?ref_=bo_ydw_table_1,Q18486021
62, Beauty and the Beast, https://www.boxofficemojo.com/releasegroup/gr1429688837/?ref_=bo_ydw_table_2,Q495442
63, The Fate of the Furious, https://www.boxofficemojo.com/releasegroup/gr38949381/?ref_=bo_ydw_table_3,Q19829521
64, Despicable Me 3, https://www.boxofficemojo.com/releasegroup/gr1982484997/?ref_=bo_ydw_table_4,Q22997984
65, Jumanji: Welcome to the Jungle, https://www.boxofficemojo.com/releasegroup/gr2130465285/?ref_=bo_ydw_table_5,Q20762680
66, Spider-Man: Homecoming, https://www.boxofficemojo.com/releasegroup/gr65032709/?ref_=bo_ydw_table_6,Q23010088
67, Wolf Warrior 2, https://www.boxofficemojo.com/releasegroup/gr3036500485/?ref_=bo_ydw_table_7,Q27964540
68, Guardians of the Galaxy Vol. 2, https://www.boxofficemojo.com/releasegroup/gr388583941/?ref_=bo_ydw_table_8,Q20001199
69, Thor: Ragnarok, https://www.boxofficemojo.com/releasegroup/gr197939717/?ref_=bo_ydw_table_9,Q22665878
70, Wonder Woman, https://www.boxofficemojo.com/releasegroup/gr1207325189/?ref_=bo_ydw_table_10,Q338430
71, Coco, https://www.boxofficemojo.com/releasegroup/gr2402243077/?ref_=bo_ydw_table_11,Q228193
72, Pirates of the Caribbean: Dead Men Tell No Tales, https://www.boxofficemojo.com/releasegroup/gr1009078789/?ref_=bo_ydw_table_12,Q10350033
73, It, https://www.boxofficemojo.com/releasegroup/gr1547719173/?ref_=bo_ydw_table_13,Q483199
74, Justice League, https://www.boxofficemojo.com/releasegroup/gr2733527557/?ref_=bo_ydw_table_14,Q735744
75, Logan, https://www.boxofficemojo.com/releasegroup/gr4057092613/?ref_=bo_ydw_table_15,Q226437
76, Transformers: The Last Knight, https://www.boxofficemojo.com/releasegroup/gr438653445/?ref_=bo_ydw_table_16,Q24251026
77, Kong: Skull Island, https://www.boxofficemojo.com/releasegroup/gr3991622149/?ref_=bo_ydw_table_17,Q21203766
78, The Boss Baby, https://www.boxofficemojo.com/releasegroup/gr2517979653/?ref_=bo_ydw_table_18,Q18619153
79, Dunkirk, https://www.boxofficemojo.com/releasegroup/gr3929100805/?ref_=bo_ydw_table_19,Q45797
80, War for the Planet of the Apes, https://www.boxofficemojo.com/releasegroup/gr2539147781/?ref_=bo_ydw_table_20,Q19938437
81, Avengers: Infinity War, https://www.boxofficemojo.com/releasegroup/gr3915469317/?ref_=bo_ydw_table_1,Q23780914
82, Black Panther, https://www.boxofficemojo.com/releasegroup/gr3458290181/?ref_=bo_ydw_table_2,Q1180106
83, Jurassic World: Fallen Kingdom, https://www.boxofficemojo.com/releasegroup/gr3108917765/?ref_=bo_ydw_table_3,Q21877685
