"employer","Wendy_Tan_White","","",""
"owner","Meka_Robotics|Google_Images__Google_Images__1|Verily|BufferBox|Songza|Google_Fiber|Redwood_Robotics|Flutter_(American_company)|Liftware|Wavii|Dropcam|Flutter_(American_company)__Flutter_Ltd.__1|Google_Nest|Oyster_(company)","","",""
"foundingDate","2015-10-02","","",""
"subsidiary","Waymo|DeepMind|CapitalG|Wing_(company)|Verily|Intrinsic_(company)|Google|Google_Fiber|Calico_(company)|Isomorphic_Labs|GV_(company)|X_Development","","",""
"parent","Google_Environment|Wing_(company)|Makani_(company)|Verily|Boston_Dynamics|DeepMind|Anvato|Loon_LLC","Google","Loon|Google Fiber|Sidewalk Labs|Isomorphic Labs|Google Nest|Chronicle|Jambool|Verily Life Sciences|GV|Calico|Owlchemy Labs|Waymo|Dropcam|Wing|X Development|Google DeepMind|Bitium|XXVI Holdings|Google Ireland Holdings Unlimited Company|Waymo Holding","parent organization"
"occupation","David_Drummond_(businessman)","","",""
"foundingYear","2015","","",""
"parentCompany","Anvato|CapitalG|Wing_(company)|Google|Sidewalk_Labs|Loon_LLC|Makani_(company)|Calico_(company)__Calico_LLC__1|Google_Environment|Verily|Jigsaw_(company)|Boston_Dynamics|GV_(company)|X_Development|Waymo|DeepMind","","",""
"keyPeople","John L. Hennessy|Larry_Page|Sergey_Brin|Ruth Porat|Sundar Pichai","","",""
"founders","Larry_Page|Sergey_Brin","","",""
"products","Automation|Artificial intelligence|Biotechnology|Corporate venture capital|Cloud computing|Robotics|Software|Fiber to the x|Health care|Computer hardware|Internet|Autonomous cars","","",""
"product","Corporate_venture_capital|Biotechnology|Automation|Robotics|Autonomous_car|Cloud_computing|Fiber_to_the_x|Computer_hardware|Software|Internet|Artificial_intelligence|Health_care","","",""
"owningCompany","Google_Fiber|Redwood_Robotics|Liftware|Dropcam|Flutter_(American_company)__Flutter_Ltd.__1|Google_Nest|BufferBox|Meka_Robotics|Verily","","",""
"keyPerson","Ruth_Porat|John_L._Hennessy|Sundar_Pichai|Larry_Page|Sergey_Brin","","",""
"areaServed","Worldwide","","",""
"knownFor","Larry_Page|Sergey_Brin","","",""
"institution","Rochelle_Buffenstein|William_Aaron_Woods","","",""
"homepage","abc.xyz","","",""
"registry",".google","","",""
"hqLocation","Googleplex","","",""
"isPrimaryTopicOf","Alphabet_Inc.","","",""
"industry","Conglomerate_(company)","","information technology","industry"
"locationCity","Mountain_View,_California","","",""
"hqLocationCountry","U.S.","","",""
"equity","2.516E11","","",""
"assets","3.593E11","","",""
"name","","Alphabet Inc.","","official name"
"operatingIncome","7.87E10","","",""
"type","Public_company","","",""
"founded","2015-10-02","","",""
"workplaces","William_Aaron_Woods","","",""
"foundedBy","Larry_Page|Sergey_Brin","","",""
"owners","Larry Page|Sergey Brin","","",""
"tradingName","Alphabet","","",""
"netIncome","7.6E10","","",""
"headquarter","Googleplex","","",""
"primaryTopic","Alphabet_Inc.","","",""
"hqLocationCity","Mountain_View,_California","","",""
"","","","X Development|Calico|Google Ireland Holdings Unlimited Company|Google|Loon|Google Fiber|XXVI Holdings|Waymo Holding|Fitbit|GV|Owlchemy Labs|Google Nest|Waymo|Wing","has subsidiary"
"","","","Nasdaq-100|Magnificent Seven stocks|Big Tech","has part(s)"
"","","","Larry Page|Sundar Pichai","chief executive officer"
"","","","96239000000","EBITDA"
"","","","XXVI Holdings|Larry Page|Eric Schmidt|The Vanguard Group|Sergey Brin","owner of"
"","","","S&P 500|Google|Nasdaq-100","part of"
"","","","Alphabet Workers Union|alphabet","named after"
"","","","Delaware corporation","legal form"
"","","","John L. Hennessy|John Doerr|Frances Arnold|Robin Washington|Alan Mulally|Larry Page|Diane Greene|R. Martin Chavez|Eric Schmidt|Sundar Pichai|Sergey Brin|Ann Mather|Ram Shriram|Roger W. Ferguson, Jr.","board member"
"","","","holding company|business|public company","instance of"
"","","","Alphabet Inc.","Commons category"
"","","","C40 Cities Climate Leadership Group","sponsor"
"","","","Mountain View","headquarters location"
"","","","C40 Cities Climate Leadership Group","member of"
"","","","Ernst & Young LLP","external auditor"
"","","","Ruth Porat|Eric Schmidt|David Drummond","affiliation"
"","","","United States of America","country"
"","","","Nasdaq","stock exchange"
"","","","Google Account","authority"
"","","","do the right thing","motto text"
"","","","Anthropic","investor"
"","","","Larry Page","founded by"
