"brand","IPhone_XS|IPhone_12|IPhone_5S|IPhone_5|IPhone_11_Pro|IPhone_SE_(1st_generation)|IPhone_14_Pro|IPhone_11|IPhone_4S|IPhone_8|IPhone_SE_(3rd_generation)|IPhone_13_Pro|IPhone_SE_(2nd_generation)|IPhone_12_Pro|IPhone_6|IPhone_6S|IPhone_7|IPhone_X|IPhone_14|IPhone_XR","","",""
"parent|organization","The_Keyboard_Company|Taligent|Priya_Balasubramaniam","Apple Studios|Beats Electronics|Claris|AuthenTec|InVisage Technologies|Braeburn Capital|drive.ai|P.A. Semi|Apple Store","Raycer|DarwinAI|FileMaker, Inc.|SchemaSoft|Apple Germany|Emagic|Apple Czech|Apple Israel|One Voice Technologies|Anobit|Akonia Holographics (United States)|Apple Data Team|Apple TV+|Prismo Graphics|Silicon Grail|FingerWorks|Siri Inc.|Apple Sales International|Texture|Apple Original Films","parent organization"
"workplaces","Richard_F._Lyon|Timnit_Gebru|David_Canfield_Smith|William_Cook_(computer_scientist)|Abigail_Sellen|Ted_Kaehler|Alan_Kay|Divya_Nag|Mark_Davis_(Unicode)|Gayle_Laakmann_McDowell|Ian_Goodfellow|Dan_Ingalls|Ramanathan_V._Guha","","",""
"institution","Mark_Davis_(Unicode)|Richard_F._Lyon|Timnit_Gebru|David_Canfield_Smith|Abigail_Sellen|Chris_Lattner|Ramanathan_V._Guha|Larry_Tesler|Divya_Nag|Ted_Kaehler|Gayle_Laakmann_McDowell|Alan_Kay__Alan_Kay__1|Ian_Goodfellow|Dan_Ingalls","","",""
"employer","Greg_Joswiak|Morgan_Wandell|Johny_Srouji|Avie_Tevanian|Eddy_Cue|Darin_Adler|Phil_Schiller|Katherine_L._Adams|Deirdre_O'Brien|Maciej_Stachowiak|Death_of_Ramapiram_Kannickaisparry|Bruce_Sewell","","",""
"distributor","Wool_(TV_series)|Visible:_Out_on_Television|Shantaram_(TV_series)|Dickinson_(TV_series)|Greatness_Code|Earth_At_Night_In_Color|The_Oprah_Conversation|Truth_Be_Told_(2019_TV_series)|Loot_(TV_series)|Mr._Corman|Echo_3|Stillwater_(TV_series)|Amber_Brown_(TV_series)|Helpsters|Urban_Wolf|Defending_Jacob_(miniseries)|Surfside_Girls|Pinecone_&_Pony|Dear..._(TV_series)|Suspicion_(2022_TV_series)|Tiny_World|The_Morning_Show_(American_TV_series)|Platonic_(TV_series)|Trying_(TV_series)|Schmigadoon!|Bad_Monkey_(TV_series)|The_Last_Thing_He_Told_Me_(miniseries)|Shining_Girls|Swagger_(TV_series)|1984_(advertisement)|The_Essex_Serpent_(TV_series)|The_Me_You_Can't_See|Masters_of_the_Air|Mythic_Quest|Roar_(2022_TV_series)|The_Crowded_Room|Oprah's_Book_Club_(TV_series)|Lady_in_the_Lake_(TV_series)|Losing_Alice|Severance_(TV_series)|Foundation_(TV_series)|Becoming_You|Home_Before_Dark_(TV_series)|Long_Way_Up|Ted_Lasso|Servant_(TV_series)|Pencil_Test_(film)|Planet_of_the_Apps|Dr._Brain_(TV_series)|Acapulco_(2021_TV_series)|Sugar_(upcoming_TV_series)|Calls_(TV_series)|Physical_(TV_series)|Home_(2020_TV_series)|Little_Voice_(TV_series)|The_Problem_with_Jon_Stewart|Five_Days_at_Memorial_(miniseries)|Prehistoric_Planet|For_All_Mankind_(TV_series)|Manhunt_(miniseries)|See_(TV_series)|Watch_the_Sound_with_Mark_Ronson|Amazing_Stories_(2020_TV_series)|Doug_Unplugs|Lisey's_Story_(miniseries)|Disclaimer_(TV_series)|Invasion_(2021_TV_series)|The_Mosquito_Coast_(TV_series)","","",""
"designfirm","Apple_A9|Apple_A12|Apple_A7|Apple_S1|Apple_A6X|Apple_A11|Apple_A8X|Apple_M1|Apple_A15|Apple_A5X|Apple_A5|Force_Touch|Apple_A12X|Apple_A8|Apple_A6|Apple_A10X|Hard_Disk_20|Apple_M2|Apple_A10|Apple_A9X|Apple_A4|Hard_Disk_20SC|Apple_A14|Apple_T2|Apple_A13|Apple_A16|Apple_S2","","",""
"manufacturer","AppleVision_750_Display|Apple_Multiple_Scan_15_Display|Macintosh_Classic|IPod_Shuffle|AppleColor_High-Resolution_RGB_Monitor|IPod_Mini|Apple_Extended_Keyboard|PowerBook_100_series|Apple_Lisa|IPod_Touch_(5th_generation)|Magic_Mouse|Apple_II_series|Apple_IIGS|Macintosh_SE|Macintosh_Plus|Apple_II_Plus|Apple_Macintosh_Color_Display|IPod_Hi-Fi|Apple_Desktop_Bus|Apple_Pencil|Apple_Performa_Plus_Display|ISight|Apple_Multiple_Scan_14_Display|MagSafe_(iPhone)|Apple_II|AppleColor_Composite_Monitor_IIe|Magic_Trackpad_2|Apple_TV|Macintosh_512Ke|Macintosh_Portable|EMate_300|Mini_DisplayPort|MagSafe|Macintosh_128K|IPad_Air_(3rd_generation)|IPod_Classic|IPad_Air_(3rd_generation)__iPad_Air_3rd_generation__1|Apple_Mighty_Mouse|Mini-DVI|Apple_Color_Plus_14″_Display|Apple_AudioVision_14_Display","","",""
"netIncome","9.98E10","","",""
"foundry","Chalkboard_(typeface)|New_York_(2019_typeface)|Chicago_(typeface)|San_Francisco_(decorative_typeface)|Menlo_(typeface)|Monaco_(typeface)|San_Francisco_(sans-serif_typeface)|Espy_Sans","","",""
"areaServed","Worldwide","","",""
"product","Backflip_Studios|Nabih's_Inc.|Supermono_Studios|AirPods|Mac_(computer)|IPhone|IPad|Apple_Watch","","",""
"owner","Apple_Fifth_Avenue|Apple_Music_1|Sparse_image|Audio_Interchange_File_Format|Fort_Churchill_Solar_Array|IWork__.com__1|AIM_alliance|Apple_Park|.pkg|M4V|Apple_ID|Beats_Music|Texture_(app)|QuickTime_File_Format|Core_Audio_Format|Apple_Lossless_Audio_Codec|WebPlatform.org|Lala_(website)|TrueType|Apple_Disk_Image|Apple_Developer|QuickTime_VR|Apple_Icon_Image_format|Mach-O|IWork|Beddit|Apple_Advanced_Typography","","",""
"title","Mike_Markkula|Apple-related navigation boxes|Steve_Jobs|Michael_Spindler|John_Sculley|Michael_Scott_(Apple)|Gil_Amelio","","",""
"membership","PCI-SIG|WHATWG","","",""
"license","OS_X_El_Capitan|MacOS_Mojave|MacOS_Sierra|Mac_OS_X_10.1|Bonjour_(software)|OS_X_Lion__OS_X_Lion__1|MacOS_Catalina|MacOS_High_Sierra","","",""
"network","Urban_Wolf","","",""
"designer","Swift_(programming_language)|Micro-DVI|Mini_DisplayPort|Mini-DVI|Lightning_(connector)|HDMI|Dock_connector","","",""
"parentCompany","Braeburn_Capital|FingerWorks|Kaleida_Labs|Apple_Studios|Beats_Electronics|PrimeSense|Claris|The_Keyboard_Company|Taligent|AuthenTec|P.A._Semi|InVisage_Technologies|Drive.ai|Apple_Store","","",""
"foundedBy","Steve_Jobs|Steve_Wozniak|Ronald_Wayne|Taligent","","",""
"hqLocationCountry","U.S.","","",""
"subsidiary","Drive.ai|InVisage_Technologies|Beddit|Apple_Studios|Beats_Electronics|Braeburn_Capital|Weather_(Apple)|Claris","","",""
"services","Apple TV+|Apple Music|Apple Pay|Apple Card|App Store","","",""
"name","","Apple Inc.","","official name"
"branding","Apple_Wireless_Keyboard","","",""
"service","Apple_Card|App_Store_(iOS)|Apple_TV+|Haddock_Corporation|Apple_Music|Tekserve|Small_Dog_Electronics|Apple_Pay","","",""
"industry","Online_services|Software_services|Consumer_electronics","","consumer electronics industry|mobile phone industry|digital distribution|information technology|software industry|electronics|software development","industry"
"tv","Major_League_Soccer","","",""
"occupation","Angela_Ahrendts|John_Ternus|Dan_Riccio|Randy_Haykin|Imran_Chaudhri|Deirdre_O'Brien|Paul_Deneve","","Ask Different","field of work"
"keyPeople","Tim Cook|Jeff Williams|Arthur D. Levinson","","",""
"parentOrganisation","Genius_Bar","","",""
"knownFor","Michael_Spindler|Steve_Wozniak|Craig_Federighi|Bill_Fernandez|Gil_Amelio|Bob_Mansfield|Andrea_Cunningham","","",""
"primaryTopic","Apple_Inc.","","",""
"homepage","www.apple.com","","",""
"type","MacInTouch|Public_company|MacTalk_Australia","","San Francisco|Skia|Monaco|Apple Chancery|Espy Sans|Chicago|Geneva|Podium Sans|New York|Menlo","type foundry"
"platform","Ulysses_(text_editor)","","",""
"products","iPhone|AirPods|iPad|Mac|Apple Watch","","",""
"formerName","Apple Computer Company|Apple Computer, Inc. (1977–2007)|Apple Computer Company (1976–1977)|Apple Computer, Inc.","","",""
"foundingDate","1976-04-01","","",""
"organized","Worldwide_Developers_Conference","","",""
"keyPerson","Tim_Cook|Arthur_D._Levinson|Jeff_Williams_(Apple)","","",""
"affiliation|affiliations","Apple_University|Apple_University","","Athreya Buddhavarapu|David Ungar","affiliation"
"founders","Ronald_Wayne|Steve_Wozniak|Steve_Jobs","","",""
"hqLocation","1","","",""
"publisher","Designed_by_Apple_in_California|The_Graveyard_(video_game)|Musika|Mouse_Practice|Through_the_Looking_Glass_(video_game)","","",""
"company","Pentalobe_screw","","MacBook|Bad Sisters","production company"
"literaryGenre","Revolution_in_the_Valley","","",""
"foundingYear","1976","","",""
"operatingSystem","Sony_Reader","","",""
"commissionedBy","Apple_Color_Emoji","","",""
"founded","1976-04-01","","",""
"numLocations","521","","",""
"headquarter","Apple_Park","","",""
"computingPlatform","Silversword|Ulysses_(text_editor)","","",""
"mostWins","World_Branding_Awards","","",""
"locationCity","Cupertino,_California","","",""
"parentOrganization","Genius_Bar","","",""
"owningCompany","Beddit|AIM_alliance","","",""
"equityYear","2022","","",""
"equity","5.067E10","","",""
"assets","3.5276E11","","",""
"numberOfLocations","521","","",""
"incomeYear","2022","","",""
"netIncomeYear","2022","","",""
"currentowner","IAd","","",""
"namesake","Apple_Park","","",""
"isPrimaryTopicOf","Apple_Inc.","","",""
"operatingIncome","1.1944E11","","",""
"source","—Alex Riley, writing for the BBC","","",""
"hqLocationCity","Cupertino,_California","","",""
"producer","Rayman_Mini","","",""
"","","","brand|business|computer manufacturer|enterprise|technology company|corporation|public company","instance of"
"","","","business","model item"
"","","","Apple Trade In|iTunes U|iTunes Trailers|iTunes Store|Identifier for Advertisers|Apple TV+|Apple Maps|Apple Music|Apple TV App Store|Apple Look Around|Apple service|Apple Card|iDisk|App Store|MLS Season Pass|Mac App Store","operator"
