"parent","Pampered_Chef|Burlington_Northern_Santa_Fe,_LLC|McLane_Company|RC_Willey_Home_Furnishings|Karmelkorn|Jordan's_Furniture|Marmon-Herrington|Ben_Bridge_Jeweler|Star_Furniture|Campbell_Hausfeld|Helzberg_Diamonds|See's_Candies|Alleghany_Corporation|Gen_Re|Forest_River_(company)|Precision_Castparts_Corp.|Benjamin_Moore_&_Co.|Borsheims|Double-H_Boots|Shaw_Industries|Clayton_Homes|Berkshire_Hathaway_GUARD_Insurance_Companies|Kerite_Company|Meyn_Food_Processing_Technology|Nebraska_Furniture_Mart|Kansas_Bankers_Surety_Company","International Metalworking Companies|TTI, Inc.|Johns Manville|Fruit of the Loom|Dairy Queen|Duracell|Scott Fetzer Company|Business Wire|Lubrizol|GEICO|NetJets|Brooks Sports","Union Tank Car Company|General Re Corporation|HomeServices of America|FlightSafety International|ISCAR Metalworking|Kraft Heinz|Marmon Group|H. H. Brown|Kirby Company|biBERK Business Insurance|Berkshire Hathaway Energy|Pilot Flying J|Fox & Roach, Realtors","parent organization"
"knownFor","David_Gottesman|Franklin_Otis_Booth_Jr.|Warren_Buffett","","",""
"owner","Acme_Brick|American_Express|Store_Capital|Moody's_Corporation|Warren_Buffett|WPLG|BYD_Company|Orange_County_Review|Special_Metals_Corporation|Occidental_Petroleum|National_Indemnity_Company|Oriental_Trading_Company|Mouser_Electronics|PacifiCorp|HomeServices_of_America|DaVita_Inc.|Axalta|Rio_Grande_(company)|Berkshire_Hathaway_Energy|The_Buffalo_News|Marmon_Group","","",""
"parentCompany","NetJets|TTI,_Inc.|Berkshire_Hathaway_GUARD_Insurance_Companies|Kerite_Company|Scott_Fetzer_Company|Meyn_Food_Processing_Technology|GEICO|Nebraska_Furniture_Mart|Kansas_Bankers_Surety_Company|Burlington_Northern_Santa_Fe,_LLC|BoatUS|McLane_Company|Shaw_Industries__Group,_Inc.__1|RC_Willey_Home_Furnishings|Jordan's_Furniture|BNSF_Railway|Marmon-Herrington|Ben_Bridge_Jeweler|Dairy_Queen|Star_Furniture|Campbell_Hausfeld|Helzberg_Diamonds|Russell_Brands|Johns_Manville|Forest_River_(company)|Precision_Castparts_Corp.|Brooks_Sports|See's_Candies|Business_Wire|Berkshire_Hathaway_Assurance|Double-H_Boots|Alleghany_Corporation|Duracell|International_Metalworking_Companies|Clayton_Homes|Gen_Re|Lubrizol|Benjamin_Moore_&_Co.|Borsheims|Fruit_of_the_Loom|Pampered_Chef|Karmelkorn","","",""
"owningCompany","National_Indemnity_Company|Oriental_Trading_Company|Mouser_Electronics|PacifiCorp|HomeServices_of_America|DaVita_Inc.|Rio_Grande_(company)|Axalta|BYD_Company|Berkshire_Hathaway_Energy|Marmon_Group|Special_Metals_Corporation|Acme_Brick|Occidental_Petroleum|American_Express|Store_Capital|Moody's_Corporation|Warren_Buffett","","",""
"primaryTopic","Berkshire_Hathaway","","",""
"keyPerson","Charlie_Munger|Warren_Buffett|Chairman","","",""
"product","Final_good|Real_estate|Internet|Sports_equipment|Public_utility|Aerospace|Insurance|Investment|Automotive_industry|Food_processing|Toys|Mass_media|Restaurants","","",""
"products","Food_processing|Toys|Automotive_industry|Restaurants|Real_estate|Mass_media|Internet|Sports_equipment|Final_good|Public_utility|Aerospace|Insurance|Investment","","",""
"owners","Orange_County_Review|The_Coca-Cola_Company|Bank_of_America|Pilot_Flying_J|Kraft_Heinz","","",""
"location|hqLocationCity|locationCity","Kiewit_Plaza|Omaha,_Nebraska|Omaha,_Nebraska","","Omaha","headquarters location"
"name","Berkshire Hathaway Inc.|Berkshire Hathaway Inc. Class B stock|Berkshire Hathaway Inc. Class A stock","","",""
"company","Secret_Millionaires_Club","","",""
"founder|foundedBy","Warren_Buffett|Warren_Buffett","Oliver Chace","","founded by"
"formerName","Berkshire Fine Spinning Associates|Valley Falls Company (1839–1929)|Valley Falls Company|Berkshire Fine Spinning Associates (1929–1955)","","",""
"isPrimaryTopicOf","Berkshire_Hathaway","","",""
"keyPeople","Charlie_Munger|Warren_Buffett","","",""
"foundingYear","1839","","",""
"subsidiary","List_of_assets_owned_by_Berkshire_Hathaway","","Berkshire Hathaway Energy|Benjamin Moore & Co.|Ben Bridge Jeweler|Pilot Flying J|NetJets|Burlington Northern Santa Fe Corporation|Central States Indemnity|Brooks Sports|General Re Corporation|Acme Brick|Borsheim's Fine Jewelry|Clayton Homes|FlightSafety International|Medical Protective|Berkshire Hathaway GUARD Insurance Companies|Dairy Queen|National Indemnity Company|Marmon Group|Scott Fetzer Company|Business Wire|GEICO|The Buffalo News","has subsidiary"
"type","","public company","company|enterprise|business|holding company|Delaware corporation","instance of|legal form"
"successor","Garanimals","","",""
"occupation","Greg_Abel","","",""
"industry","Conglomerate_(company)","","aircraft industry|insurance|conglomerate","industry"
"publisher","World_Book_Encyclopedia","","",""
"homepage","berkshirehathaway.com","","",""
"equity","5.149E11","","",""
"areaServed","Global","","",""
"assets","9.588E11","","",""
"founded","in Cumberland, Rhode Island, U.S.","","",""
"netIncome","8.98E10","","",""
"hqLocationCountry","U.S.","","",""
"operatingIncome","1.117E11","","",""
"","","","David Gottesman|Meryl B. Witmer|Thomas S. Murphy, Jr.|Susan Alice Buffett|Susan Decker|Wallace R. Weitz|Ajit Jain|Greg Abel|Howard Graham Buffett|Chris Davis|Walter Scott Jr.|Ronald Olson|Thomas Murphy|Kenneth Chenault|Charlie Munger|Charlotte M. Guyman|Steve Burke|Warren Buffett","board member"
"","","","United States of America","country"
"","","","The Coca-Cola Company|Moody's Corporation|Warren Buffett|American Express|IBM|Phillips 66|H. J. Heinz Company|Wells Fargo|U.S. Bancorp|Bill Gates|Charter Communications","owner of"
"","","","Warren Buffett","chief executive officer"
"","","","Omaha","location of formation"
"","","","S&P 500","part of"
"","","","New York Stock Exchange","stock exchange"
"","","","214553000000","EBITDA"
"","","","Berkshire Fine Spinning Associates|Hathaway Mills","named after"
"","","","Warren Buffett","chairperson"
"","","","Berkshire Fine Spinning Associates","replaces"
"","","","Berkshire Hathaway","native label"
"","","","Berkshire Hathaway","Commons category"
