"partners","Fulmar_Gas_Line|Azeri–Chirag–Gunashli|Thunder_Horse_Oil_Field|Langeled_pipeline|Tuapse_field|Kashagan_Field|Norpipe|Bonga_Field|Adria–Wien_Pipeline|Ormen_Lange_(gas_field)|East-Prinovozemelsky_field|Tempa_Rossa_oil_field|Sleipner_gas_field|Kearl_Oil_Sands_Project|Hibernia_oil_field|East_Natuna_gas_field|Brent_oilfield|Alaska_gas_pipeline|Dalia_Oil_Field|Prudhoe_Bay_Oil_Field|Elgin–Franklin_fields|Trans-Alaska_Pipeline_System|FLAGS|Pazflor_oil_development|Edward_Gaming|Terra_Nova_oil_field|Grane_oil_field|Oseberg_South|Tengiz_Field","","",""
"operator|operators","Domino_gas_field|Skifska_gas_field|Pelican_South_gas_field|Val_Shatsky_oil_field|2013_Mayflower_oil_spill|Arun_gas_field","Hides gas field|Hibernia oil field","Scarborough gas field|P’nyang gas field|Exxon Valdez disaster|ExxonMobil Singapore Chemical Plant|2011 Yellowstone River oil spill|Esso refinery in Botlek|Hebron-Ben Nevis oil field|Papua New Guinea LNG","operator"
"products","Crude_oil|Oil_products|Natural_gas|Power_generation|Petrochemicals","","",""
"product","Crude_oil|Oil_products|Petrochemical|Natural_gas|Power_generation","","",""
"occupation","Dan_Ammann|Stephen_D._Pryor|Warner_Norton_Grubb","","",""
"foundingDate","1882-08-05","","",""
"companies","ExxonMobil_Electrofrac","","",""
"parent","Exxon_Neftegas|ExxonMobil_Nigeria|On_the_Run_(convenience_store)","ExxonMobil Australia|XTO Energy","ExxonMobil Research and Engineering|ExxonMobil Refining and Supply Company|Imperial Oil|ExxonMobil (Canada)|ExxonMobil Upstream Research Co|ExxonMobil Central Europe Holding|Q125929111|ExxonMobil Fuels, Lubricants & Specialties Marketing Company|ExxonMobil Pipeline Company|Q130232940|ExxonMobil Chemical|German-American Petroleum Company|Forbes Travel Guide|ExxonMobil Fuels & Lubricants Company|ExxonMobil (United Kingdom)","parent organization"
"parentCompany","Exxon_Neftegas|On_the_Run_(convenience_store)|ExxonMobil_Australia|XTO_Energy|ExxonMobil_Nigeria|SeaRiver_Maritime","","",""
"owner","Baton_Rouge_Refinery|Thunder_Horse_PDQ|Altona_Refinery|GasTerra|Imperial_Oil|Gorgon_gas_project|List_of_Esso_Atlantic-class_supertankers|Mobil|On_the_Run_(convenience_store)|Baytown_Refinery|Infineum","","",""
