"occupation","Mark_Weinberger|Robert_Wood_Johnson_I","","",""
"keyPeople","Joaquin Duato|Alex Gorsky","","",""
"manufacturer","Benadryl","","",""
"institution","Nicole_Soranzo|Michelle_McMurry-Heath|Penny_Heaton|Earle_Dickson","","",""
"owner","Janssen_Vaccines","","",""
"parent","Penaten|Aveeno|Johnson_&_Johnson_Vision|Ethicon|Janssen_Pharmaceuticals","Actelion|Neutrogena|Synthes|McNeil Consumer Healthcare","Janssen Pharmaceutica|Johnson & Johnson Pharmaceutical Research and Development|Cilag|DePuy|Ethicon Inc.|Johnson & Johnson Consumer Companies|Janssen Biotech|Johnson & Johnson (Sweden)|Listerine|LifeScan|Johnson & Johnson Health Care Systems|Johnson & Johnson Innovation - JJDC, Inc.|Janssen-Cilag|Johnson & Johnson (Ireland)|Johnson & Johnson Vision Care|Alza|Dabao|Tibotec|AbioMed|Carlo Erba|Johnson & Johnson (United Kingdom)|Ethicon Endo-Surgery|Johnson & Johnson (France)","parent organization"
"currentowner","Clean_&_Clear|Band-Aid|Bengay|Visine","","",""
"industry","Consumer_products|Medical_Technology","pharmaceutical industry","medical technology industry","industry"
"type","Ortho-McNeil_Pharmaceutical|Public_company|line","","",""
"founders","Robert_Wood_Johnson_I|Edward_Mead_Johnson|James_Wood_Johnson","","",""
"parentCompany","Aveeno|Synthes|Penaten|Actelion|McNeil_Consumer_Healthcare|Neutrogena|Johnson_&_Johnson_Vision|Ethicon|Janssen_Pharmaceuticals|Alza","","",""
"workInstitutions","Cynthia_A._Maryanoff","","",""
"primaryTopic","Johnson_&_Johnson","","",""
"sponsor","It's_Your_Life_(radio_program)|National_Diversity_Awards","",".baby|The National Diversity Awards","sponsor"
"knownFor","Duda_Kertész|James_Wood_Johnson|Richard_B._Sellars|Sheri_McCoy","","",""
"products","List_of_Johnson_&_Johnson_products_and_services|Ortho-McNeil_Pharmaceutical","","",""
"equity","7.4025E10","","",""
"areaServed","Worldwide","","",""
"name","Johnson & Johnson","","",""
"workplaces","Michelle_McMurry-Heath|Penny_Heaton|Nicole_Soranzo","","",""
"locationCity","New_Brunswick,_New_Jersey","","",""
"location","One Johnson & Johnson Plaza","","New Brunswick","headquarters location"
"institutions","Earle_Dickson","","",""
"product","Ortho-McNeil_Pharmaceutical","","",""
"successor","Groupe_Vendôme_SA|Ortho_Pharmaceutical","","",""
"isPrimaryTopicOf","Johnson_&_Johnson","","",""
"title","Johnson & Johnson","","",""
"homepage","%7Cjnj.com","","",""
"locationCountry","United_States","","",""
"founded","in New Brunswick, New Jersey, United States","","",""
"netIncome","2.8878E10","","",""
"company","Miss_Lettie_and_Me","","",""
"previousowners","O.b._(brand)|Carefree_(feminine_hygiene)","","",""
"height","150","","",""
"owningCompany","Janssen_Vaccines","","",""
"assets","1.82018E11","","",""
"workInstitution","Zoltan_Hajos","","",""
"operatingIncome","2.2776E10","","",""
"patrons","Gladys_Rockmore_Davis","","",""
"publisher","Tooth_Protectors","","",""
"","","","Microlax|Rembrandt toothpaste|Ethicon Inc.|Q4164297|Carefree|Neutrogena|BabyCenter|Compeed|Band-Aid|Benylin|Q25381790|Listerine|Janssen Vaccines|Bengay|The Vanguard Group|Euthymol|Johnson's Baby|Groupe Vendôme SA|Carlo Erba|Aveeno|Acuvue|Neosporin (Neomycin/polymyxin B/bacitracin)|o.b.|zahracleaning|RoC","owner of"
"","","","New Brunswick","location of formation"
"","","","Johnson & Johnson (Ireland)|Acclarent, Inc.|Johnson & Johnson Vision Care|Auris Health (United States)|Alza|Tibotec|Johnson & Johnson (United Kingdom)|Johnson & Johnson (France)|Johnson & Johnson Pharmaceutical Research and Development|Cilag|Johnson & Johnson Consumer Companies|Janssen Biotech|Johnson & Johnson (Sweden)|DePuy|Neutrogena|LifeScan|Johnson & Johnson Innovation - JJDC, Inc.|Johnson & Johnson Health Care Systems","has subsidiary"
"","","","Groupe Vendôme SA","replaces"
"","","","Mary Beckerle|Darius Adamczyk|Anne Mulcahy|Mark McClellan|Mark Weinberger|Paula Johnson|Alex Gorsky|Ron Williams|Joaquin Duato|Eugene Washington|Hubert Joly|Jennifer Doudna|Charles Prince|Marillyn Hewson|Scott Davis|Nadja West|Sir Ian Davis","board member"
"","","","Airborne Museum 'Hartenstein'|Museum Deelen","has works in the collection"
"","","","S&P 500|Dow Jones Industrial Average","part of"
"","","","Christopher J. Molloy","educated at"
"","","","Dow Jones Industrial Average","has part(s)"
"","","","United Kingdom|United States of America","country"
"","","","Seema Kumar|Alan Tennenberg|Kathy Wengel|Jaak Peeters|Scott C. Ratzan|Paul Stoffels","affiliation"
"","","","enterprise|business|pharmaceutical company|public company","instance of"
"","","","Q130264116|private company limited by shares","legal form"
"","","","Union for International Cancer Control|enVVeno Medical Corporation","partnership with"
"","","","William C. Weldon","director / manager"
"","","","Robert Wood Johnson I|James Wood Johnson|Edward Mead Johnson","founded by"
"","","","71300","social media followers"
"","","","Texas two-step bankruptcy","uses"
"","","","New York Stock Exchange","stock exchange"
"","","","Alex Gorsky|Joaquin Duato","chief executive officer"
"","","","Johnson & Johnson","native label"
"","","","Johnson & Johnson","Commons category"
"","","","Warren Hancock","member of"
