"industry","Cloud_computing|Graphics cards|Consumer_electronics|Computer_hardware|Software|Semiconductor|Semiconductors|GPU|GPUs|Graphics_card|Artificial_intelligence|Video_game_industry","","semiconductor industry","industry"
"foundation","1993-04-05","","",""
"founders","Curtis_Priem|Jensen_Huang|Chris_Malachowsky","","",""
"parentCompany","Icera|Cumulus_Networks|Mental_Images|Mellanox_Technologies","","",""
"parent","Icera|Mental_Images|Cumulus_Networks","Mellanox Technologies","3dfx Interactive|Nvidia Ltd.|Ageia|NVIDIA, Helsinki Oy","parent organization"
"product","Collaborative_software|Chipset|PNY_Technologies|Graphics_processing_unit|Central_processing_unit|Data_processing_unit|Tablet_computer|TV_accessory|Device_driver|Laptop|Nvidia_RTX|BFG_Technologies","","",""
"organized","Nvidia_GTC","","",""
"manufacturer","Scalable_Link_Interface|Nvidia_Ion|GeForce|Nvidia_Shield_TV|NVLink|Nvidia_Shield_Portable|Nvidia_Tesla|Nvidia_Shield_Tablet","","",""
"products","Graphics processing units|Central processing units|GPU-chips for laptops|Collaborative_software|Drivers|Data processing units|TV_accessory|Tablet computers|Chipsets","","",""
"computingPlatform","CHARMM|TeraChem|Abalone_(molecular_mechanics)|PGA_Tour_Golf_Team_Challenge","","",""
"designer","HDMI","","",""
"designfirm","SoundStorm|Project_Denver","","",""
"areaServed","Worldwide","","",""
"institution","Joel_Emer|Sanja_Fidler","","",""
"workInstitutions","Chris_Malachowsky|Curtis_Priem|Steve_Scott_(computer_architect)","","",""
"foundedBy","Jensen_Huang|Chris_Malachowsky|Curtis_Priem","","",""
"foundingYear","1993","","",""
"hqLocationCity","Santa_Clara,_California|California","","",""
"workplaces","Sanja_Fidler","","",""
"primaryTopic","Nvidia","","",""
"partners","Made_in_Thailand_e-Sports","","",""
"hqLocationCountry","U.S.","","",""
"operatingIncome","1.004E10","","",""
"netIncome","9.75E9","","",""
"keyPerson","Chief_executive_officer|President_(corporate_title)","","",""
"publisher","Quake_(series)|Carmen_Sandiego:_The_Secret_of_the_Stolen_Drums","","",""
"tradeName","NVIDIA","","",""
"foundingDate","1993-04-05","","",""
"name","Nvidia","Nvidia Corporation","","official name"
"knownFor","Stan_Boland|Chris_Malachowsky|Curtis_Priem","","",""
"type","Public_company","","",""
"homepage","%7Cnvidia.com|%7Cdeveloper.nvidia.com","","",""
"locationCity","Santa_Clara,_California|California","","",""
"platform","CHARMM|TeraChem|Abalone_(molecular_mechanics)","","",""
"keyPeople","Jensen Huang","","",""
"assets","4.418E10","","",""
"isPrimaryTopicOf","Nvidia","","",""
"equity","2.661E10","","",""
"","","","Nasdaq-100|Magnificent Seven stocks|Alliance for Open Media","has part(s)"
"","","","Omniverse|NVDLA|Q110107056|Gelato","creator"
"","","","1520391|1630000|1805788|1470000|1020000|1687224|1952400|691000|1240000|979000","social media followers"
"","","","Nvidia Ltd.|Icera|Mellanox Technologies|Mental Images","has subsidiary"
"","","","Mark Stevens|Dawn Hudson|Tench Coxe|Jensen Huang|Persis Drell|Mark L. Perry|Melissa Lora|A. Brooke Seawell|Stephen Neal|Rob Burgess|Michael G. McCaffery|Harvey C. Jones|Aarti Shah|PyTorch Foundation|John O. Dabiri","board member"
"","","","Jensen Huang|GeForce Now|Nvidia Riva|Ageia|The Vanguard Group","owner of"
"","","","3dfx Interactive|Ageia","replaces"
"","","","Nvidia","Commons category"
"","","","3rd International Conference on Learning Representations|CodeMiko|DeepLoc: prediction of protein subcellular localization using deep learning|Venado|Character-level Convolutional Networks for Text Classification|End-to-end Representation Learning for Question Answering with Weak Supervision|Tears of Steel","sponsor"
"","","","95050","postal code"
"","","","GTC 2022","organizer"
"","","","S&P 500|Natur-Aktien-Index|Galushkin","part of"
"","","","Together AI","investor"
"","","","Jim Fan","affiliation"
"","","","Linux Foundation|Open Automotive Alliance|Wi-Fi Alliance|CVE Numbering Authority|SD Association|Alliance for Open Media|OpenPOWER Foundation|Unterhaltungssoftware Selbstkontrolle|game","member of"
"","","","Delaware corporation|public company","legal form"
"","","","Santa Clara|California","headquarters location"
"","","","enterprise|business|public company","instance of"
"","","","Chris Malachowsky|Jensen Huang|Curtis Priem","founded by"
"","","","William Sachiti","educated at"
"","","","Nvidia NVENC|Nvidia NVDEC","discoverer or inventor"
"","","","Jensen Huang","chief executive officer"
"","","","United States of America","country"
"","","","Colette Kress|Tim Teter","corporate officer"
"","","","Nasdaq","stock exchange"
"","","","NVIDIA Corporation","native label"
"","","","ALLaM","partnership with"
"","","","Blender Foundation|Wayve","funder"
