"services","Health_care_provider|Pharmacy_benefit_manager|Health_insurance|Healthcare_services","","",""
"equity","7.5045E10","","",""
"location","Minnetonka,_Minnesota|United_States","","Minnetonka","headquarters location"
"operatingIncome","2.1646E10","","",""
"service","Health_care_provider|Pharmacy_benefit_manager|Health_insurance|Healthcare_services","","",""
"keyPerson","Stephen_J._Hemsley|Andrew_Witty","","",""
"keyPeople","Larry C. Renfro|Andrew_Witty|Stephen_J._Hemsley","","",""
"industry","Insurance|Managed_care","","health insurance company","industry"
"name","UnitedHealth Group Incorporated","","",""
"netIncome","1.7285E10","","",""
"type","Public_company","","",""
"successor","GeoAccess|Catamaran_Corporation","","",""
"founder","Richard T. Burke","","",""
"occupation","Andrew_Witty","","",""
"parent","Change_Healthcare","Optum","Golden Rule Insurance Company|Quality Software Services","parent organization"
"subsidiary","UnitedHealthcare|Optum","","",""
"parentCompany","Change_Healthcare|Optum","","",""
"assets","2.12206E11","","",""
"areaServed","Worldwide","","",""
"foundingYear","1977","","",""
"sponsor","2016_UnitedHealthcare_season|2015_UnitedHealthcare_season","","",""
"isPrimaryTopicOf","UnitedHealth_Group","","",""
"primaryTopic","UnitedHealth_Group","","",""
"","","","Simon Stevens","affiliation"
"","","","Delaware corporation","legal form"
"","","","Brian Thompson|Stephen J. Hemsley","director / manager"
"","","","Kristen L. Gil|John H. Noseworthy|Gail Wilensky|Charlie Baker|F. William McNabb III|Stephen J. Hemsley|Paul Garcia|Brian Thompson|Michele J. Hooper|Richard T. Burke|Valerie Montgomery Rice|Andrew Witty|Timothy P. Flynn","board member"
"","","","38805|35630|39354","social media followers"
"","","","Logistics Health Incorporated|S&P 500|Dow Jones Industrial Average","part of"
"","","","United States of America","country"
"","","","Andrew Witty","chief executive officer"
"","","","UnitedHealth Group","native label"
"","","","New York Stock Exchange","stock exchange"
"","","","enterprise|business|public company","instance of"
"","","","UnitedHealth Group","Commons category"
"","","","Richard T. Burke","founded by"
"","","","Dow Jones Industrial Average","has part(s)"
