"owner","Amazon_One | Amazon | Amazon_CloudFront | IMDb | Goodreads | Treasure_Truck | Endless.com | Metro-Goldwyn-Mayer | Jeff Bezos | Alexa_Internet | Amazon_China | Amazon_Prime_Video | Rolling_Acres_Mall | Amazon_Books | Amazon_Prime | Graphiq | Digital_Photography_Review | Rivian | Re:Invent | MGM_Home_Entertainment | Bellevue_600 | Doppler_(building) | Day_1_(building) | YES_Network | 47North","","",""
"incomeYear","2021","","",""
"parentCompany","AbeBooks | Ring_(company) | Amazon_Games | A9.com | Mobipocket | Amazon_Pay | Amazon_Prime_Air__Amazon_Prime_Air__1 | Amazon_Pharmacy | Kindle_Direct_Publishing | Amazon_Studios | MGM_Holdings | Amazon_Air | Zoox_(company) | Sqrrl | Amazon_Publishing | Amazon_Go | TenMarks_Education,_Inc. | Whole_Foods_Market | Blink_Home | Umbra_(3D_technology_company) | Zappos | LoveFilm | Double_Helix_Games | United_Artists | Amazon_Locker | Westland_Books | Amazon_Fresh","","",""
"subsidiary","Amazon_Pharmacy | Amazon.com | AbeBooks | Ring_Inc. | Zoox_Inc | Audible_(service) | PillPack | Amazon_Studios | ComiXology | Blink_Home | IMDb","Amazon Robotics | Alexa Internet | Amazon Games | Amazon Books | Souq.com | Whole Foods Market | MGM Holdings | Amazon Logistics | A9.com | Body Labs | Goodreads | Woot | Amazon Fresh | Zappos | Amazon Lab126 | Digital Photography Review | Amazon Publishing | Amazon Air | Twitch Interactive | Book Depository | Graphiq | Amazon Web Services | Amazon Pharmacy | Amazon.com | AbeBooks | Ring Inc. | Zoox Inc | Audible | PillPack | Amazon Studios | ComiXology | Blink | Amazon Prime Video | Box Office Mojo | Amazon Prime Air | Ring | Sqrrl | IMDb.com, Inc. | Amazon Technologies | Amazon MGM Studios","Amazon Europe Core | Audible | Amazon Logistic Prague | Amazon Prime Video | Amazon University Esports | Box Office Mojo | Amazon Prime Air | Diapers.com | Ring | Sqrrl | IMDb.com, Inc. | Amazon Czech Republic Services | Amazon Technologies | Amazon MGM Studios | Double Helix Games","has subsidiary"
"equityYear","2021","","",""
"parent","Amazon_Studios | Kindle_Direct_Publishing | Zoox_(company) | Blink_Home | TenMarks_Education,_Inc. | Double_Helix_Games | Umbra_(3D_technology_company) | Amazon_Pay | MGM_Holdings | Twitch_(service) | Amazon_Freevee","Amazon Fresh | Zappos | Amazon Publishing | Amazon Prime Video | Amazon Air | Amazon Prime Air | Book Depository | Amazon Web Services | Amazon Pharmacy | LoveFilm | Amazon Games | Mobipocket | Whole Foods Market | Amazon Go | AbeBooks | A9.com | Sqrrl | Woot | Amazon Locker | Amazon Studios | Kindle Direct Publishing | Zoox | Blink | Umbra | Amazon Pay | Amazon MGM Studios | Twitch | Amazon Freevee | INLT | Amazon Lab126 | Graphiq | Blink | Amazon Robotics | Amazon Books | Audible | Souq.com | Annapurna Labs | Amazon Marketplace | Body Labs | Amazon Business | Box Office Mojo | Goodreads, Inc. | Amazon Logistics | Ring | PillPack | CreateSpace.com | Kuiper Systems | Amazon Technologies | IMDb.com, Inc.","Internet Game Database | Amazon MGM Studios | AVCREC | Amazon Czech Republic Services | Amazon Clinic | INLT | Amazon Lab126 | Digital Photography Review | Brilliance Audio | Twitch Interactive | Graphiq | Blink | Amazon Robotics | Alexa Internet | Amazon Europe Core | Amazon Books | Audible | Souq.com | Annapurna Labs | Amazon Marketplace | Body Labs | Amazon Business | Amazon Logistic Prague | Amazon University Esports | Box Office Mojo | Merch by Amazon | Reflexive Entertainment | Camelcamelcamel | Diapers.com | Goodreads, Inc. | Amazon Logistics | Ring | PillPack | CreateSpace.com | Kuiper Systems | Lake Union Publishing | Amazon.in | Amazon Technologies | Zoox | IMDb.com, Inc.","parent | parent organization"
"institution","Yoelle_Maarek | Andrew_V._Goldberg | Neil_Lawrence | Rajeev_Rastogi | S._Muthukrishnan_(computer_scientist) | Heng_Ji | Larry_Tesler","","",""
"equity","1.38245E11","","",""
"founder | foundedBy","",Jeff Bezos | Climate Pledge Fund | Amazon Go | Matter | Overture Maps Foundation | Partnership on AI | Amazon Prime Video | ddeX | Alliance for Open Media | Internet Association,"Amazon Go | Matter | Overture Maps Foundation | Partnership on AI | Amazon Prime Video | ddeX | Alliance for Open Media | Internet Association","founded by"
"tradeName","Amazon","","",""
"keyPerson","Jeff_Bezos | Andy_Jassy | President_(corporate_title) | Chief_executive_officer","","",""
"service","Amazon_Pay | Amazon_Alexa | Twitch_(service) | Amazon_Prime_Video | Amazon_Music | Amazon_Luna | Amazon_Web_Services | Amazon_Prime | Amazon.ca | Ring_(company) | Amazon_Appstore","","",""
"language","Chinese | Polish | Italian | Hindi | French | Portuguese | Turkish | Dutch | Japanese | Arabic | German | Swedish | Spanish | English","","",""
"services","Amazon Luna | Twitch | Amazon Prime | Amazon.com | Ring | Amazon Music | Amazon_Prime_Video | Amazon Web Services | Amazon Pay | Amazon Alexa | Amazon Appstore","","",""
"employer","Jennifer_Bates | Vin_Gupta_(pulmonologist) | Keith_Packard | Tom_Szkutak | Jim_Roskind","","",""
"computingPlatform","War_Robots | Mordheim:_Warband_Skirmish | Pixel_Gun_3D","","",""
"distributor","Mind_the_Malhotras | Free_Meek | Sons_of_the_Caliphate | Canaan_Land | Making_the_Cut_(2020_TV_series) | Lorena_(TV_series)","","",""
"industry","Supermarket | Entertainment | Cloud_Computing | Consumer_electronics | Digital_distribution | Self-driving_cars | Artificial_intelligence",e-commerce | Supermarket | Entertainment | Cloud Computing | Consumer electronics | Digital distribution | Self-driving cars | Artificial intelligence | web service | retail | web hosting,"web service | retail | web hosting","industry"
"manufacturer","Amazon_Astro | Amazon_Echo | Amazon_Echo_Show",Amazon_Astro | Amazon_Echo | Amazon_Echo_Show | Obidos,"Obidos","creator"
"formerName","Cadabra, Inc. (1994–1995) | Cadabra, Inc.","","",""
"isPrimaryTopicOf","Amazon_(company)","","",""
"platforms","War_Robots | Mordheim:_Warband_Skirmish | Pixel_Gun_3D",War_Robots | Mordheim:_Warband_Skirmish | Pixel_Gun_3D | Airport City,"Airport City","platform"
"occupation","Katherine_Boehret | Thomas_O._Ryder",Katherine Boehret | Thomas O. Ryder | Sabrina Apicella,"Sabrina Apicella","field of work"
"company","Ten_Percent_(TV_series)",Ten Percent | Mozart in the Jungle | Jean-Claude Van Johnson | Evangelion: 1.0 You Are (Not) Alone (Amazon dub) | La Tête dans les étoiles | Evangelion: 2.0 You Can (Not) Advance (Amazon dub),"Mozart in the Jungle | Jean-Claude Van Johnson | Evangelion: 1.0 You Are (Not) Alone (Amazon dub) | La Tête dans les étoiles | Evangelion: 2.0 You Can (Not) Advance (Amazon dub)","production company"
"owningCompany","Metro-Goldwyn-Mayer | Alexa_Internet | Treasure_Truck | Endless.com | Amazon_Books | Rivian | MGM_Home_Entertainment | Amazon_One | YES_Network","","",""
"founded","1994-07-05 | Bellevue, Washington, U.S.","","",""
"workplaces","Andrew_V._Goldberg | S._Muthukrishnan_(computer_scientist) | Rajeev_Rastogi | Yoelle_Maarek","","",""
"areaServed","Worldwide","","",""
"hqLocationCountry","U.S.","","",""
"operatingIncome","2.4879E10","","",""
"network","Lego_Monkie_Kid","","",""
"locationCity | hqLocationCity","Seattle,_Washington | Arlington,_Virginia | Seattle, Washington and Arlington, Virginia","Seattle, Washington","Washington | Seattle","headquarters location"
"products","Amazon_Echo | Amazon_Fire_tablet | Amazon_Kindle | Amazon_Fire_TV | Fire_OS","","",""
