"workInstitutions","Cynthia_A._Maryanoff","","",""
"institution","Earle_Dickson | Michelle_McMurry-Heath | Nicole_Soranzo | Penny_Heaton","","",""
"founders","","James Wood Johnson | Robert Wood Johnson I | Edward Mead Johnson","","founded by"
"owningCompany","Janssen_Vaccines","","",""
"equity","7.4025E10","","",""
"locationCountry","United_States","","",""
"occupation","Robert_Wood_Johnson_I | Mark_Weinberger","","",""
"successor","Groupe_Vendôme_SA | Ortho_Pharmaceutical","","",""
"netIncome","2.8878E10","","",""
"parentCompany","McNeil_Consumer_Healthcare | Alza | Synthes | Janssen_Pharmaceuticals | Actelion | Ethicon | Neutrogena | Johnson_&_Johnson_Vision | Aveeno | Penaten","","",""
"type","Ortho-McNeil_Pharmaceutical | line",public company | enterprise | pharmaceutical company | business | private company limited by shares,"enterprise | pharmaceutical company | business | Q130264116 | private company limited by shares","instance of | legal form"
"currentowner","Visine | Clean_&_Clear","""Bengay | Band-Aid | Johnson & Johnson Vision | Ethicon Inc. | Janssen Vaccines | Carlo Erba | Johnson's Baby"",""Rembrandt toothpaste | Euthymol | Aveeno | Groupe Vendôme SA | BabyCenter | Acuvue | Q25381790 | Neosporin (Neomycin/polymyxin B/bacitracin) | RoC | Carefree | Ethicon Inc. | Janssen Vaccines | Carlo Erba | The Vanguard Group | o.b. | Microlax | Q4164297 | zahracleaning | Neutrogena | Listerine | Benylin | Compeed | Johnson's Baby""","","owner of"
"manufacturer","Benadryl","","",""
"operatingIncome","2.2776E10","","",""
"previousowners","Carefree_(feminine_hygiene) | O.b._(brand)","","",""
"knownFor","Richard_B._Sellars | Duda_Kertész | James_Wood_Johnson | Sheri_McCoy","","",""
"areaServed","Worldwide","","",""
"founded","in New Brunswick, New Jersey, United States","","",""
"parent","Ethicon | Johnson_&_Johnson_Vision | Janssen_Pharmaceuticals | Aveeno | Penaten","Synthes | Actelion | Neutrogena | McNeil Consumer Healthcare | Johnson & Johnson Vision | Janssen Pharmaceuticals | Alza | DePuy | Johnson & Johnson Innovation - JJDC, Inc. | AbioMed | Janssen Biotech | Johnson & Johnson Sweden | Ethicon Inc. | Tibotec | Carlo Erba | Janssen Pharmaceutica | Johnson & Johnson Health Care Systems | Johnson & Johnson Consumer Companies | Janssen-Cilag | Dabao | Cilag | Johnson & Johnson France | Johnson & Johnson Ireland | Ethicon Endo-Surgery | Johnson & Johnson Pharmaceutical Research and Development | Johnson & Johnson Vision Care | Johnson & Johnson United Kingdom","Alza | DePuy | Johnson & Johnson Innovation - JJDC, Inc. | AbioMed | Janssen Biotech | Johnson & Johnson (Sweden) | Ethicon Inc. | Tibotec | Carlo Erba | Janssen Pharmaceutica | Johnson & Johnson Health Care Systems | Johnson & Johnson Consumer Companies | LifeScan | Janssen-Cilag | Listerine | Dabao | Cilag | Johnson & Johnson (France) | Johnson & Johnson (Ireland) | Ethicon Endo-Surgery | Johnson & Johnson Pharmaceutical Research and Development | Johnson & Johnson Vision Care | Johnson & Johnson (United Kingdom)","parent organization"
"keyPeople","Alex Gorsky | Joaquin Duato","","",""
"company","Miss_Lettie_and_Me","","",""
"workInstitution","Zoltan_Hajos","","",""
"products","List_of_Johnson_&_Johnson_products_and_services | Ortho-McNeil_Pharmaceutical","","",""
"assets","1.82018E11","","",""
"isPrimaryTopicOf","Johnson_&_Johnson","","",""
"sponsor","It's_Your_Life_(radio_program) | National_Diversity_Awards",It's Your Life | National Diversity Awards | .baby,"The National Diversity Awards | .baby","sponsor"
"primaryTopic","Johnson_&_Johnson","","",""
"locationCity | location","New_Brunswick,_New_Jersey | One Johnson & Johnson Plaza","New Brunswick, New Jersey","New Brunswick","headquarters location"
"industry","Medical_Technology | Consumer_products",pharmaceutical industry | Medical Technology | Consumer products,"medical technology industry","industry"
"product","Ortho-McNeil_Pharmaceutical","","",""
"patrons","Gladys_Rockmore_Davis","","",""
"title","Johnson & Johnson","","",""
"publisher","Tooth_Protectors","","",""
"homepage","%7Cjnj.com","","",""
"height","150","","",""
"workplaces","Nicole_Soranzo | Penny_Heaton | Michelle_McMurry-Heath","","",""
"institutions","Earle_Dickson","","",""
"owner","Janssen_Vaccines","","",""
"name","Johnson & Johnson","","",""
"","","","Kathy Wengel | Seema Kumar | Paul Stoffels | Jaak Peeters | Scott C. Ratzan | Alan Tennenberg","affiliation"
