"keyPeople","Sundar Pichai | Ruth Porat | John L. Hennessy | Sergey_Brin | Larry_Page","","",""
"owner","Verily | Dropcam | Songza | Wavii | Flutter_(American_company)__Flutter_Ltd.__1 | Liftware | Google_Nest | Google_Images__Google_Images__1 | Google_Fiber | Redwood_Robotics | Oyster_(company) | BufferBox | Meka_Robotics | Flutter_(American_company)","","",""
"parent","Verily | Loon_LLC | DeepMind | Makani_(company) | Anvato | Boston_Dynamics | Wing_(company) | Google_Environment","Google","Verily Life Sciences | XXVI Holdings | Google DeepMind | Jambool | Google Fiber | Owlchemy Labs | Waymo Holding | Chronicle | Dropcam | Wing | Google Ireland Holdings Unlimited Company | Sidewalk Labs | Calico | GV | Waymo | Google Nest | X Development | Loon | Bitium | Isomorphic Labs","parent organization"
"parentCompany","X_Development | Verily | Waymo | Loon_LLC | GV_(company) | Jigsaw_(company) | Sidewalk_Labs | Google | DeepMind | Makani_(company) | Anvato | Boston_Dynamics | Calico_(company)__Calico_LLC__1 | CapitalG | Wing_(company) | Google_Environment","","",""
"foundedBy | founders","Sergey_Brin | Sergey_Brin","Larry Page","","founded by"
"products","Autonomous cars | Fiber to the x | Corporate venture capital | Robotics | Health care | Software | Biotechnology | Computer hardware | Internet | Cloud computing | Artificial intelligence | Automation","","",""
"keyPerson","Sundar_Pichai | Sergey_Brin | Larry_Page | Ruth_Porat | John_L._Hennessy","","",""
"foundingYear","2015","","",""
"industry","Conglomerate_(company)",information technology,"information technology","industry"
"equity","2.516E11","","",""
"owners","Larry Page | Sergey Brin","","",""
"product","Autonomous_car | Software | Biotechnology | Artificial_intelligence | Robotics | Fiber_to_the_x | Internet | Health_care | Computer_hardware | Cloud_computing | Automation | Corporate_venture_capital","","",""
"subsidiary","CapitalG | Intrinsic_(company) | Wing_(company) | Verily | Isomorphic_Labs | GV_(company) | DeepMind | Calico_(company)",CapitalG | Intrinsic (company) | Wing (company) | Verily | Isomorphic Labs | GV (company) | DeepMind | Calico (company) | Google Fiber | Waymo | X Development | Google | Owlchemy Labs | Waymo Holding | Google Ireland Holdings Unlimited Company | Fitbit | Google Nest | Loon | XXVI Holdings,"Owlchemy Labs | Waymo Holding | Google Ireland Holdings Unlimited Company | Wing | Calico | GV | Fitbit | Google Nest | Loon | XXVI Holdings","has subsidiary"
"owningCompany","Flutter_(American_company)__Flutter_Ltd.__1 | Google_Nest | Google_Fiber | Redwood_Robotics | BufferBox | Meka_Robotics | Verily | Dropcam | Liftware","","",""
"netIncome","7.6E10","","",""
"hqLocationCountry","U.S.","","",""
"institution","Rochelle_Buffenstein | William_Aaron_Woods","","",""
"knownFor","Sergey_Brin | Larry_Page","","",""
"isPrimaryTopicOf","Alphabet_Inc.","","",""
"hqLocation","Googleplex","","",""
"workplaces","William_Aaron_Woods","","",""
"primaryTopic","Alphabet_Inc.","","",""
"hqLocationCity | locationCity","Mountain_View,_California | Mountain_View,_California","Mountain_View,_California | Mountain View","Mountain View","headquarters location"
"registry",".google","","",""
"foundingDate","2015-10-02","","",""
"areaServed","Worldwide","","",""
"occupation","David_Drummond_(businessman)","","",""
"homepage","abc.xyz","","",""
"headquarter","Googleplex","","",""
"name","","Alphabet Inc.","","official name"
"employer","Wendy_Tan_White","","",""
"tradingName","Alphabet","","",""
"operatingIncome","7.87E10","","",""
"founded","2015-10-02","","",""
"assets","3.593E11","","",""
"type","","public company","holding company | business | Delaware corporation","instance of | legal form"
"","","","Sundar Pichai | Sergey Brin | Robin Washington | Alan Mulally | John L. Hennessy | R. Martin Chavez | John Doerr | Eric Schmidt | Frances Arnold | Ram Shriram | Ann Mather | Roger W. Ferguson, Jr. | Larry Page | Diane Greene","board member"
"","","","Larry Page | Sundar Pichai","chief executive officer"
"","","","Anthropic","investor"
"","","","Ernst & Young LLP","external auditor"
"","","","S&P 500 | Google | Nasdaq-100","part of"
"","","","do the right thing","motto text"
"","","","alphabet | Alphabet Workers Union","named after"
"","","","Alphabet Inc.","Commons category"
"","","","Nasdaq","stock exchange"
"","","","Ruth Porat | David Drummond | Eric Schmidt","affiliation"
"","","","Eric Schmidt | Larry Page | Sergey Brin | The Vanguard Group | XXVI Holdings","owner of"
"","","","Google Account","authority"
"","","","C40 Cities Climate Leadership Group","member of"
"","","","United States of America","country"
"","","","Big Tech | Nasdaq-100 | Magnificent Seven stocks","has part(s)"
"","","","96239000000","EBITDA"
"","","","C40 Cities Climate Leadership Group","sponsor"
