"owningCompany","Amazon_One | Endless.com | YES_Network | Metro-Goldwyn-Mayer | Treasure_Truck | Alexa_Internet | Rivian | Amazon_Books | MGM_Home_Entertainment","","",""
"subsidiary","Amazon.com | AbeBooks | IMDb | Audible_(service) | Zoox_Inc | Blink_Home | Amazon_Pharmacy | Amazon_Studios | ComiXology | PillPack | Ring_Inc.","Amazon.com | AbeBooks | IMDb | Audible (service) | Zoox Inc | Blink Home | Amazon Pharmacy | Amazon Studios | ComiXology | PillPack | Ring Inc. | Whole Foods Market | Woot | Souq.com | Body Labs | A9.com | Amazon Books | Amazon Web Services | Goodreads | Amazon Lab126 | Amazon Fresh | Graphiq | Amazon Publishing | MGM Holdings | Twitch Interactive | Alexa Internet | Book Depository | Amazon Logistics | Amazon Robotics | Amazon Air | Digital Photography Review | Zappos | Amazon Games | Box Office Mojo | Amazon Europe Core | Amazon MGM Studios | Amazon Prime Video | Double Helix Games | Amazon Czech Republic Services | IMDb.com, Inc. | Amazon Technologies | Amazon Logistic Prague | Sqrrl | Amazon Prime Air | Diapers.com | Amazon University Esports","Audible | Ring | Box Office Mojo | Amazon Europe Core | Amazon MGM Studios | Amazon Prime Video | Double Helix Games | Amazon Czech Republic Services | IMDb.com, Inc. | Amazon Technologies | Amazon Logistic Prague | Sqrrl | Amazon Prime Air | Diapers.com | Amazon University Esports","has subsidiary"
"parentCompany","Ring_(company) | Amazon_Pharmacy | Amazon_Studios | Amazon_Prime_Air__Amazon_Prime_Air__1 | Whole_Foods_Market | LoveFilm | United_Artists | Westland_Books | Amazon_Publishing | Double_Helix_Games | Zoox_(company) | TenMarks_Education,_Inc. | Amazon_Fresh | Mobipocket | Amazon_Pay | Zappos | Amazon_Games | AbeBooks | Amazon_Go | MGM_Holdings | Sqrrl | A9.com | Amazon_Air | Umbra_(3D_technology_company) | Kindle_Direct_Publishing | Amazon_Locker | Blink_Home","","",""
"industry","Digital_distribution | Supermarket | Artificial_intelligence | Self-driving_cars | Consumer_electronics | Entertainment | Cloud_Computing","Digital distribution | Supermarket | Artificial intelligence | Self-driving cars | Consumer electronics | Entertainment | Cloud computing | e-commerce | Retail | Web service | Web hosting","retail | web service | web hosting","industry"
"language","Swedish | Japanese | French | Hindi | Chinese | Italian | Spanish | Turkish | Dutch | Portuguese | English | Polish | Arabic | German","","",""
"primaryTopic","Amazon_(company)","","",""
"institution","Neil_Lawrence | S._Muthukrishnan_(computer_scientist) | Larry_Tesler | Heng_Ji | Rajeev_Rastogi | Andrew_V._Goldberg | Yoelle_Maarek","","",""
"services","Ring | Amazon Pay | Amazon.com | Amazon_Prime_Video | Amazon Luna | Amazon Music | Amazon Web Services | Twitch | Amazon Alexa | Amazon Prime | Amazon Appstore","","",""
"locationCity | hqLocationCity","Seattle,_Washington | Arlington,_Virginia | Seattle, Washington and Arlington, Virginia","Seattle - Washington and Arlington - Virginia","Washington | Seattle","headquarters location"
"parent","Double_Helix_Games | Zoox_(company) | TenMarks_Education,_Inc. | Twitch_(service) | Amazon_Freevee | Amazon_Studios | MGM_Holdings | Amazon_Pay | Umbra_(3D_technology_company) | Kindle_Direct_Publishing | Blink_Home","Amazon.com, Inc.","Internet Game Database | IMDb.com, Inc. | Amazon Technologies | Amazon Logistic Prague | Amazon Logistics | Amazon Robotics | Kuiper Systems | Amazon University Esports | Digital Photography Review | Lake Union Publishing | Camelcamelcamel | Zoox | Reflexive Entertainment | Audible | AVCREC | Amazon Clinic | Amazon Marketplace | Ring | Souq.com | Box Office Mojo | INLT | Body Labs | Diapers.com | PillPack | CreateSpace.com | Amazon Europe Core | Amazon.in | Amazon Books | Amazon Business | Amazon Lab126 | Amazon MGM Studios | Brilliance Audio | Merch by Amazon | Graphiq | Blink | Goodreads, Inc. | Annapurna Labs | Amazon Czech Republic Services | Twitch Interactive | Alexa Internet","parent | parent organization"
"products","Fire_OS | Amazon_Fire_TV | Amazon_Kindle | Amazon_Fire_tablet | Amazon_Echo","","",""
"computingPlatform","Pixel_Gun_3D | War_Robots | Mordheim:_Warband_Skirmish","","",""
"type","E-commerce","public company | E-commerce | business | enterprise | very large online platform | corporation","business | enterprise | very large online platform | corporation","instance of | legal form"
