"distributor","Little_Voice_(TV_series) | Bad_Monkey_(TV_series) | Shantaram_(TV_series) | The_Crowded_Room | Invasion_(2021_TV_series) | Helpsters | Mythic_Quest | Visible:_Out_on_Television | Lady_in_the_Lake_(TV_series) | Wool_(TV_series) | The_Oprah_Conversation | Planet_of_the_Apps | Roar_(2022_TV_series) | Defending_Jacob_(miniseries) | Manhunt_(miniseries) | Amazing_Stories_(2020_TV_series) | Servant_(TV_series) | Loot_(TV_series) | Long_Way_Up | Physical_(TV_series) | Pinecone_&_Pony | For_All_Mankind_(TV_series) | Sugar_(upcoming_TV_series) | Urban_Wolf | Prehistoric_Planet | Stillwater_(TV_series) | Disclaimer_(TV_series) | Five_Days_at_Memorial_(miniseries) | Platonic_(TV_series) | Pencil_Test_(film) | Home_Before_Dark_(TV_series) | Earth_At_Night_In_Color | The_Morning_Show_(American_TV_series) | Amber_Brown_(TV_series) | Calls_(TV_series) | Suspicion_(2022_TV_series) | Becoming_You | Ted_Lasso | Doug_Unplugs | The_Problem_with_Jon_Stewart | Oprah's_Book_Club_(TV_series) | Swagger_(TV_series) | Masters_of_the_Air | Dear..._(TV_series) | Dickinson_(TV_series) | The_Mosquito_Coast_(TV_series) | The_Essex_Serpent_(TV_series) | The_Last_Thing_He_Told_Me_(miniseries) | Lisey's_Story_(miniseries) | Foundation_(TV_series) | Tiny_World | Losing_Alice | Echo_3 | Greatness_Code | The_Me_You_Can't_See | Severance_(TV_series) | Surfside_Girls | Trying_(TV_series) | Shining_Girls | 1984_(advertisement) | Mr._Corman | Home_(2020_TV_series) | Schmigadoon! | See_(TV_series) | Dr._Brain_(TV_series) | Watch_the_Sound_with_Mark_Ronson | Acapulco_(2021_TV_series) | Truth_Be_Told_(2019_TV_series)","","",""
"products","Apple Watch | iPhone | iPad | Mac | AirPods","","",""
"owner","TrueType | Apple_Fifth_Avenue | WebPlatform.org | .pkg | Fort_Churchill_Solar_Array | Lala_(website) | Apple_ID | Beats_Music | Texture_(app) | Core_Audio_Format | IWork__.com__1 | Apple_Lossless_Audio_Codec | Apple_Music_1 | IWork | M4V | AIM_alliance | Apple_Developer | Apple_Park | Beddit | Mach-O | QuickTime_File_Format | Audio_Interchange_File_Format | Sparse_image | Apple_Disk_Image | Apple_Icon_Image_format | Apple_Advanced_Typography | QuickTime_VR","","",""
"title","Mike_Markkula | Michael_Spindler | Steve_Jobs | John_Sculley | Michael_Scott_(Apple) | Gil_Amelio | Apple-related navigation boxes","","",""
"industry","Online_services | Software_services | Consumer_electronics","Online_services | Software_services | Consumer_electronics | electronics | digital distribution | software industry | information technology | mobile phone industry | consumer electronics industry | software development","electronics | digital distribution | software industry | information technology | mobile phone industry | consumer electronics industry | software development","industry"
"membership","WHATWG | PCI-SIG","","",""
"parentOrganization","Genius_Bar","","",""
"manufacturer","Apple_Multiple_Scan_15_Display | Mini-DVI | AppleColor_High-Resolution_RGB_Monitor | Magic_Trackpad_2 | MagSafe_(iPhone) | ISight | Macintosh_SE | AppleVision_750_Display | Apple_II | Apple_Mighty_Mouse | Apple_IIGS | Apple_Lisa | PowerBook_100_series | IPod_Classic | IPod_Mini | IPod_Hi-Fi | Apple_Color_Plus_14″_Display | Apple_Extended_Keyboard | Apple_Pencil | IPod_Touch_(5th_generation) | IPad_Air_(3rd_generation)__iPad_Air_3rd_generation__1 | Magic_Mouse | Macintosh_Plus | Apple_Multiple_Scan_14_Display | Apple_AudioVision_14_Display | Mini_DisplayPort | Apple_Macintosh_Color_Display | IPod_Shuffle | MagSafe | Apple_II_series | Apple_Performa_Plus_Display | Macintosh_512Ke | IPad_Air_(3rd_generation) | Apple_TV | Apple_II_Plus | Apple_Desktop_Bus | AppleColor_Composite_Monitor_IIe | EMate_300","Apple_Multiple_Scan_15_Display | Mini-DVI | AppleColor_High-Resolution_RGB_Monitor | Magic_Trackpad_2 | MagSafe_(iPhone) | ISight | Macintosh_SE | AppleVision_750_Display | Apple_II | Apple_Mighty_Mouse | Apple_IIGS | Apple_Lisa | PowerBook_100_series | IPod_Classic | IPod_Mini | IPod_Hi-Fi | Apple_Color_Plus_14″Display | Apple_Extended_Keyboard | Apple_Pencil | IPod_Touch(5th_generation) | IPad_Air_(3rd_generation)_iPad_Air_3rd_generation__1 | Magic_Mouse | Macintosh_Plus | Apple_Multiple_Scan_14_Display | Apple_AudioVision_14_Display | Mini_DisplayPort | Apple_Macintosh_Color_Display | IPod_Shuffle | MagSafe | Apple_II_series | Apple_Performa_Plus_Display | Macintosh_512Ke | IPad_Air(3rd_generation) | Apple_TV | Apple_II_Plus | Apple_Desktop_Bus | AppleColor_Composite_Monitor_IIe | EMate_300 | Macintosh Plus Home Computer | ProRes 422 | Macintosh SE/30 | Swift | iTunes Ping | Siri | Playground | OpenCL | FineWoven | FaceTime | Apple Music Replay | Translate | Macintosh XL Home Computer | iPad Pro 12.9-inch (2nd generation) | Macintosh Classic Desktop Computer | Macintosh 512K | Macintosh Portable Computer | Macintosh SE/30 Home Computer | Macintosh Color Classic | Macintosh XL | Macintosh 128K Home Computer | iTunes Trailers | Files | Apple Pro Display XDR | PowerBook Duo 230 | Geneva | Macintosh Classic | Macintosh Portable | Macintosh 128K","Macintosh Plus Home Computer | ProRes 422 | Macintosh SE/30 | Swift | iTunes Ping | Siri | Playground | OpenCL | FineWoven | FaceTime | Apple Music Replay | Translate | Macintosh XL Home Computer | iPad Pro 12.9-inch (2nd generation) | Macintosh Classic Desktop Computer | Macintosh 512K | Macintosh Portable Computer | Macintosh SE/30 Home Computer | Macintosh Color Classic | Macintosh XL | Macintosh 128K Home Computer | iTunes Trailers | Files | Apple Pro Display XDR | PowerBook Duo 230 | Geneva","creator"
"designer","Micro-DVI | Mini_DisplayPort | Swift_(programming_language) | Lightning_(connector) | Dock_connector | Mini-DVI | HDMI","","",""
"founders | foundedBy","","Steve Wozniak | Ronald Wayne | Steve Jobs | Taligent","Apple Czech | Taligent | ddeX | Siri | Partnership on AI | Matter | WebGPU","founded by"
