"products","Insurance | Public_utility | Final_good | Mass_media | Aerospace | Food_processing | Investment | Toys | Real_estate | Restaurants | Internet | Sports_equipment | Automotive_industry","","",""
"parent","Gen_Re | Berkshire_Hathaway_GUARD_Insurance_Companies | See's_Candies | Double-H_Boots | RC_Willey_Home_Furnishings | Kansas_Bankers_Surety_Company | Clayton_Homes | Jordan's_Furniture | Forest_River_(company) | Meyn_Food_Processing_Technology | Borsheims | Shaw_Industries | McLane_Company | Campbell_Hausfeld | Kerite_Company | Star_Furniture | Precision_Castparts_Corp. | Ben_Bridge_Jeweler | Nebraska_Furniture_Mart | Alleghany_Corporation | Benjamin_Moore_&_Co. | Marmon-Herrington | Karmelkorn | Helzberg_Diamonds | Burlington_Northern_Santa_Fe,_LLC | Pampered_Chef"," (All wrong, they are subsidiaries) International Metalworking Companies | NetJets | Scott Fetzer Company | Dairy Queen | Johns Manville | TTI, Inc. | Brooks Sports | Business Wire | Fruit of the Loom | Duracell | GEICO | Lubrizol","ISCAR Metalworking | biBERK Business Insurance | HomeServices of America | H. H. Brown | Pilot Flying J | Union Tank Car Company | Berkshire Hathaway Energy | Marmon Group | FlightSafety International | Kraft Heinz | General Re Corporation | Fox & Roach, Realtors | Kirby Company","parent organization"
"product","Final_good | Food_processing | Investment | Toys | Mass_media | Real_estate | Aerospace | Restaurants | Internet | Insurance | Sports_equipment | Public_utility | Automotive_industry","","",""
"parentCompany","Duracell | Brooks_Sports | Borsheims | Pampered_Chef | Gen_Re | Berkshire_Hathaway_GUARD_Insurance_Companies | See's_Candies | Double-H_Boots | RC_Willey_Home_Furnishings | Kansas_Bankers_Surety_Company | Campbell_Hausfeld | Clayton_Homes | Berkshire_Hathaway_Assurance | Ben_Bridge_Jeweler | Meyn_Food_Processing_Technology | BNSF_Railway | Shaw_Industries__Group,_Inc.__1 | GEICO | McLane_Company | Lubrizol | Kerite_Company | Star_Furniture | Precision_Castparts_Corp. | Scott_Fetzer_Company | Russell_Brands | International_Metalworking_Companies | BoatUS | Johns_Manville | Nebraska_Furniture_Mart | NetJets | Alleghany_Corporation | TTI,_Inc. | Benjamin_Moore_&_Co. | Business_Wire | Helzberg_Diamonds | Burlington_Northern_Santa_Fe,_LLC | Dairy_Queen | Marmon-Herrington | Fruit_of_the_Loom | Karmelkorn | Jordan's_Furniture | Forest_River_(company)","","",""
"industry","Conglomerate_(company)","aircraft industry | conglomerate | insurance","aircraft industry | conglomerate | insurance","industry"
"name","Berkshire Hathaway Inc. | Berkshire Hathaway Inc. Class A stock | Berkshire Hathaway Inc. Class B stock","","",""
"homepage","berkshirehathaway.com","","",""
"owner","American_Express | The_Buffalo_News | BYD_Company | Store_Capital | Moody's_Corporation | HomeServices_of_America | Occidental_Petroleum | Warren_Buffett | Oriental_Trading_Company | Rio_Grande_(company) | Orange_County_Review | DaVita_Inc. | WPLG | Special_Metals_Corporation | Axalta | Berkshire_Hathaway_Energy | Mouser_Electronics | PacifiCorp | National_Indemnity_Company | Acme_Brick | Marmon_Group","","",""
"owningCompany","Oriental_Trading_Company | Rio_Grande_(company) | Special_Metals_Corporation | HomeServices_of_America | Berkshire_Hathaway_Energy | Occidental_Petroleum | Warren_Buffett | DaVita_Inc. | National_Indemnity_Company | Acme_Brick | Axalta | Marmon_Group | Mouser_Electronics | American_Express | PacifiCorp | BYD_Company | Store_Capital | Moody's_Corporation","","",""
"successor","Garanimals","","",""
