"assets","3.648E11","","",""
"product","Software_development | Social_networking_service | Video_game_industry | Consumer_electronics | Internet | Computer_hardware | Cloud_computing | Corporate_venture_capital","","",""
"service","Yammer | OneDrive | Microsoft_Bing | Xbox_Game_Pass | GitHub | Microsoft_Azure | Windows_Update | Xbox_network | LinkedIn | Microsoft_Store_(digital) | Microsoft_365 | Outlook.com","","",""
"subsidiary","RiskIQ | Xandr | Xamarin | LinkedIn | Metaswitch","RiskIQ | Xandr | Xamarin | LinkedIn | Metaswitch | Nuance Communications | GitHub | Skype Technologies | Clipchamp Pty Ltd | Microsoft (France) | Microsoft Online | LinkedIn Ireland | Microsoft Algeria | Havok | Digital Anvil | Xbox Game Studios | Massive Incorporated | Sysinternals | Microsoft Israel | Microsoft Ireland Operations | Avanade | Microsoft Switzerland | Microsoft Store | DATAllegro | Microsoft Morocco | Microsoft India R & D | Microsoft Ireland Research | Microsoft (Ukraine) | Lionhead Studios | Microsoft Production Studios | Microsoft Global Finance | Microsoft Canada | Ensemble Studios | Jellyfish.com | Microsoft Egypt | Fast Search & Transfer | Microsoft s.r.o. | Microsoft Kids | Microsoft Mobile | Danger, Inc. | Microsoft (United Kingdom) | aQuantive | Softomotive | ZeniMax Media | DreamWorks Interactive | Perceptive Pixel | Microsoft Saudi | Rare Ltd. | Microsoft Operations | Microsoft (Netherlands) | Tellme Networks | Microsoft Regional Sales | Powerset | ProClarity | Microsoft Japan | Turn 10 Studios | Microsoft Research Asia | GreenButton | Razorfish | Visio Corporation | LinkedIn Corporation | Activision Blizzard","Clipchamp Pty Ltd | Microsoft (France) | Microsoft Online | LinkedIn Ireland | Microsoft Algeria | Havok | Digital Anvil | Xbox Game Studios | Massive Incorporated | Sysinternals | Microsoft Israel | Microsoft Ireland Operations | Avanade | Microsoft Switzerland | Microsoft Store | DATAllegro | Microsoft Morocco | Microsoft India R & D | Microsoft Ireland Research | Microsoft (Ukraine) | Lionhead Studios | Microsoft Production Studios | Microsoft Global Finance | Q112660923 | Microsoft Canada | Ensemble Studios | Jellyfish.com | Microsoft Egypt | Fast Search & Transfer | Microsoft s.r.o. | Microsoft Kids | Microsoft Mobile | Danger, Inc. | Microsoft (United Kingdom) | aQuantive | Softomotive | ZeniMax Media | DreamWorks Interactive | Perceptive Pixel | Microsoft Saudi | Rare Ltd. | Microsoft Operations | Microsoft (Netherlands) | Tellme Networks | Microsoft Regional Sales | Activision Blizzard | Powerset | ProClarity | Microsoft Japan | Turn 10 Studios | Microsoft Research Asia | GreenButton | Razorfish | Visio Corporation | LinkedIn Corporation","has subsidiary"
"services","Yammer | Xbox network | Bing | GitHub | OneDrive | Microsoft Store | Azure | Xbox Game Pass | Microsoft 365 | Windows Update | LinkedIn | Outlook.com","","",""
"founders | foundedBy","","Bill Gates | Paul Allen","Alliance for Open Media | Q20020535 | Avanade | Outercurve Foundation | MSAV | Visual FoxPro | Global Network Initiative | Overture Maps Foundation | Internet Association | Snipping Tool | Partnership on AI | Global Internet Forum to Counter Terrorism | .NET Compiler Platform","founded by"
"products","Software_development | Social_networking_service | Video_game_industry | Consumer_electronics | Cloud_computing | Internet | Corporate_venture_capital | Computer_hardware","","",""
"headquarter","Redmond,_Washington | Microsoft_Redmond_campus","","",""
"tradeName","Microsoft","","",""
"hqLocationCountry","U.S.","","",""
