"primaryTopic","Tesla","","",""
"isPrimaryTopicOf","Tesla","","",""
"","","","Tesla Energy | SolarCity | Tesla Grohmann Automation | Tesla Network","parent organization"
"","","","Tesla Grohmann Automation | SolarCity","has subsidiary"
"","","","Farnham Battery Storage | Little Raith Battery Storage | Clay Tye Battery | Tesla Supercharger network | Broadditch Battery | Chapel Farm Battery Storage | Q125388689 | Skelmersdale Battery | Tesla Fremont Factory | Q125389176 | Pillswood Battery | Thame Road Battery Storage | Jamesfield Battery Storage","operator"
"","","","J. B. Straubel | Hiromichi Mizuno | Ira Ehrenpreis | Kimbal Musk | Joe Gebbia | Elon Musk | Kathleen Wilson-Thompson | Larry Ellison | James Murdoch | Robyn Denholm","board member"
"","","","Tesla and unions","affiliated worker organisation"
"","","","Gigafactory Mexico | Gigafactory Berlin-Brandenburg | Giga Shanghai | Gigafactory Texas | Martin Eberhard | Marc Tarpenning","founded by"
"","","","Elon Musk | Robyn Denholm","chairperson"
"","","","19262716 | 6813560 | 1980000 | 2330000 | 2570000 | 13351946","social media followers"
"","","","S&P 500 | Natur-Aktien-Index | Nasdaq-100 | Project Titan (SolarCity)","part of"
"","","","United States of America","country of origin"
"","","","Austin | Palo Alto","headquarters location"
"","","","London Stock Exchange | Nasdaq | Xetra | Frankfurt Stock Exchange","stock exchange"
"","","","battery industry | automotive industry | solar industry","industry"
"","","","North American Charging Standard | Sentry Mode | 46800","creator"
"","","","corporation | automobile manufacturer | enterprise | business","instance of"
"","","","OpenStreetMap database","contributor to the creative work or subject"
"","","","13558000000","EBITDA"
"","","","Gigafactory Mexico | Tesla Fremont Factory | Giga New York | Elon Musk | Gigafactory Berlin-Brandenburg | Giga Shanghai | Gigafactory Texas | Giga Nevada","owner of"
"","","","Palo Alto","location of formation"
"","","","Ze'ev Drori | Martin Eberhard | Elon Musk","chief executive officer"
"","","","TSLAQ","in opposition to"
"","","","Q130264293","legal form"
"","","","Nikola Tesla","named after"
"","","","Tesla, Inc.","Commons category"
"","","","The Conference on Systems and Machine Learning 2019","sponsor"
"","","","United States of America","country"
"","","","Tesla, Inc. | Tesla Motors, Inc.","official name"
"","","","Nasdaq-100 | Magnificent Seven stocks","has part(s)"
"","","","Americana Manhasset","occupant"
"","","","LOT Network","member of"
