"product","BFG_Technologies | Device_driver | TV_accessory | Data_processing_unit | Graphics_processing_unit | Laptop | PNY_Technologies | Collaborative_software | Tablet_computer | Nvidia_RTX | Central_processing_unit | Chipset","","",""
"industry","GPUs | Artificial_intelligence | Software | Video_game_industry | Graphics_card | Consumer_electronics | Computer_hardware | Cloud_computing | Semiconductors | Semiconductor | Graphics cards | GPU","semiconductor industry | GPUs | Artificial_intelligence | Software | Video_game_industry | Graphics_card | Consumer_electronics | Computer_hardware | Cloud_computing | Semiconductors | Graphics cards","semiconductor industry","industry"
"hqLocationCity | locationCity","Santa_Clara,_California | Santa_Clara,_California","Santa Clara - California - United States","Santa Clara","headquarters location"
"knownFor","Stan_Boland | Chris_Malachowsky | Curtis_Priem","","",""
"partners","Made_in_Thailand_e-Sports","","",""
"platform","Abalone_(molecular_mechanics) | TeraChem | CHARMM","","",""
"workInstitutions","Chris_Malachowsky | Curtis_Priem | Steve_Scott_(computer_architect)","","",""
"parent","Mental_Images | Cumulus_Networks | Icera","Mental_Images | Cumulus_Networks | Icera | Mellanox Technologies | 3dfx Interactive | Ageia | Nvidia Ltd. | Helsinki Oy","3dfx Interactive | Ageia | Nvidia Ltd. | NVIDIA, Helsinki Oy","parent organization"
"manufacturer","NVLink | GeForce | Scalable_Link_Interface | Nvidia_Shield_Tablet | Nvidia_Shield_Portable | Nvidia_Ion | Nvidia_Tesla | Nvidia_Shield_TV","NVLink | GeForce | Scalable_Link_Interface | Nvidia_Shield_Tablet | Nvidia_Shield_Portable | Nvidia_Ion | Nvidia_Tesla | Nvidia_Shield_TV | Omniverse | Gelato | NVDLA","Omniverse | Q110107056 | Gelato | NVDLA","creator"
"founders | foundedBy","","Curtis Priem | Jensen Huang | Chris Malachowsky","","founded by"
"homepage","%7Cnvidia.com | %7Cdeveloper.nvidia.com","","",""
"parentCompany","Mental_Images | Cumulus_Networks | Icera | Mellanox_Technologies","","",""
"designfirm","Project_Denver | SoundStorm","","",""
"publisher","Quake_(series) | Carmen_Sandiego:_The_Secret_of_the_Stolen_Drums","","",""
"computingPlatform","PGA_Tour_Golf_Team_Challenge | CHARMM | Abalone_(molecular_mechanics) | TeraChem","","",""
"name","Nvidia","Nvidia Corporation","","official name"
"hqLocationCountry","U.S.","","",""
"products","TV_accessory | Chipsets | Data processing units | GPU-chips for laptops | Central processing units | Tablet computers | Collaborative_software | Drivers | Graphics processing units","","",""
"institution","Joel_Emer | Sanja_Fidler","","",""
"equity","2.661E10","","",""
"keyPerson","Chief_executive_officer | President_(corporate_title)","","",""
"foundingDate","1993-04-05","","",""
"netIncome","9.75E9","","",""
"workplaces","Sanja_Fidler","","",""
"assets","4.418E10","","",""
"isPrimaryTopicOf","Nvidia","","",""
"foundingYear","1993","","",""
"tradeName","NVIDIA","","",""
"primaryTopic","Nvidia","","",""
"areaServed","Worldwide","","",""
"operatingIncome","1.004E10","","",""
"organized","Nvidia_GTC","","",""
"foundation","1993-04-05","","",""
"keyPeople","Jensen Huang","","",""
"designer","HDMI","","",""
"type","","public company | enterprise | business | Delaware corporation","enterprise | business | Delaware corporation","instance of | legal form"
"","","","End-to-end Representation Learning for Question Answering with Weak Supervision | Character-level Convolutional Networks for Text Classification | 3rd International Conference on Learning Representations | DeepLoc: prediction of protein subcellular localization using deep learning | Tears of Steel | CodeMiko | Venado","sponsor"
"","","","Nvidia Riva | Ageia | GeForce Now | Jensen Huang | The Vanguard Group","owner of"
"","","","Persis Drell | Tench Coxe | Mark L. Perry | Stephen Neal | PyTorch Foundation | Rob Burgess | Aarti Shah | A. Brooke Seawell | Harvey C. Jones | Dawn Hudson | John O. Dabiri | Melissa Lora | Michael G. McCaffery | Mark Stevens | Jensen Huang","board member"
"","","","Nvidia NVENC | Nvidia NVDEC","discoverer or inventor"
"","","","Alliance for Open Media | Open Automotive Alliance | Wi-Fi Alliance | Linux Foundation | CVE Numbering Authority | OpenPOWER Foundation | SD Association | game | Unterhaltungssoftware Selbstkontrolle","member of"
"","","","3dfx Interactive | Ageia","replaces"
"","","","1240000 | 1687224 | 691000 | 1470000 | 1952400 | 979000 | 1020000 | 1630000 | 1805788 | 1520391","social media followers"
"","","","GTC 2022","organizer"
"","","","S&P 500 | Natur-Aktien-Index | Galushkin","part of"
"","","","Wayve | Blender Foundation","funder"
"","","","Colette Kress | Tim Teter","corporate officer"
"","","","Nvidia Ltd. | Mellanox Technologies | Mental Images | Icera","has subsidiary"
"","","","Jensen Huang","chief executive officer"
"","","","Jim Fan","affiliation"
"","","","Nasdaq","stock exchange"
"","","","95050","postal code"
"","","","Nvidia","Commons category"
"","","","NVIDIA Corporation","native label"
"","","","United States of America","country"
"","","","Together AI","investor"
"","","","Alliance for Open Media | Nasdaq-100 | Magnificent Seven stocks","has part(s)"
"","","","ALLaM","partnership with"
"","","","William Sachiti","educated at"
