"title","Michael_Scott_(Apple) | Steve_Jobs | Apple-related navigation boxes | Mike_Markkula | John_Sculley | Michael_Spindler | Gil_Amelio","","",""
"product","IPhone | Supermono_Studios | IPad | Nabih's_Inc. | AirPods | Apple_Watch | Mac_(computer) | Backflip_Studios","","",""
"manufacturer","IPod_Shuffle | IPod_Mini | Macintosh_512Ke | Apple_Extended_Keyboard | Apple_Lisa | Apple_Pencil | IPod_Classic | Apple_Color_Plus_14″_Display | Macintosh_Plus | Magic_Trackpad_2 | Magic_Mouse | IPad_Air_(3rd_generation) | ISight | Apple_Macintosh_Color_Display | Apple_Desktop_Bus | AppleColor_Composite_Monitor_IIe | AppleColor_High-Resolution_RGB_Monitor | Apple_Mighty_Mouse | IPod_Touch_(5th_generation) | Apple_II_Plus | MagSafe_(iPhone) | Apple_TV | PowerBook_100_series | IPod_Hi-Fi | AppleVision_750_Display | Mini-DVI | Mini_DisplayPort | Apple_Multiple_Scan_15_Display | Apple_IIGS | Apple_II_series | Macintosh_SE | MagSafe | IPad_Air_(3rd_generation)__iPad_Air_3rd_generation__1 | Apple_Performa_Plus_Display | Apple_II | EMate_300 | Apple_AudioVision_14_Display | Apple_Multiple_Scan_14_Display","Macintosh 128K | Macintosh Classic | Macintosh Portable","Macintosh SE/30 Home Computer | Swift | iTunes Ping | Macintosh Color Classic | Apple Pro Display XDR | Macintosh SE/30 | Files | Macintosh 512K | OpenCL | Macintosh Portable Computer | PowerBook Duo 230 | Geneva | Translate | iTunes Trailers | Macintosh XL Home Computer | FineWoven | Apple Music Replay | ProRes 422 | Siri | Macintosh Classic Desktop Computer | FaceTime | Macintosh XL | Macintosh 128K Home Computer | Macintosh Plus Home Computer | iPad Pro 12.9-inch (2nd generation) | Playground","creator"
"distributor","Dickinson_(TV_series) | Acapulco_(2021_TV_series) | The_Essex_Serpent_(TV_series) | Pencil_Test_(film) | The_Problem_with_Jon_Stewart | Shining_Girls | Bad_Monkey_(TV_series) | Home_Before_Dark_(TV_series) | Lisey's_Story_(miniseries) | Surfside_Girls | Physical_(TV_series) | Loot_(TV_series) | Foundation_(TV_series) | The_Me_You_Can't_See | Visible:_Out_on_Television | Roar_(2022_TV_series) | Swagger_(TV_series) | Prehistoric_Planet | Earth_At_Night_In_Color | The_Crowded_Room | 1984_(advertisement) | Losing_Alice | See_(TV_series) | Doug_Unplugs | For_All_Mankind_(TV_series) | Schmigadoon! | Amazing_Stories_(2020_TV_series) | Invasion_(2021_TV_series) | Tiny_World | The_Mosquito_Coast_(TV_series) | Little_Voice_(TV_series) | The_Oprah_Conversation | Dr._Brain_(TV_series) | Greatness_Code | Disclaimer_(TV_series) | Planet_of_the_Apps | Truth_Be_Told_(2019_TV_series) | Stillwater_(TV_series) | Ted_Lasso | Suspicion_(2022_TV_series) | Urban_Wolf | Mr._Corman | The_Morning_Show_(American_TV_series) | Echo_3 | Watch_the_Sound_with_Mark_Ronson | Oprah's_Book_Club_(TV_series) | Platonic_(TV_series) | Trying_(TV_series) | Defending_Jacob_(miniseries) | Lady_in_the_Lake_(TV_series) | Becoming_You | Amber_Brown_(TV_series) | Five_Days_at_Memorial_(miniseries) | Helpsters | Home_(2020_TV_series) | Shantaram_(TV_series) | Sugar_(upcoming_TV_series) | The_Last_Thing_He_Told_Me_(miniseries) | Mythic_Quest | Calls_(TV_series) | Pinecone_&_Pony | Manhunt_(miniseries) | Severance_(TV_series) | Dear..._(TV_series) | Wool_(TV_series) | Long_Way_Up | Servant_(TV_series) | Masters_of_the_Air","","",""
"founders | foundedBy","","Steve Wozniak | Steve Jobs | Ronald Wayne | Taligent","Matter | Apple Czech | Taligent | WebGPU | Partnership on AI | ddeX | Siri","founded by"
"parent | organization","Taligent | The_Keyboard_Company | Priya_Balasubramaniam","AuthenTec | InVisage Technologies | Apple Store | Claris | Braeburn Capital | Apple Studios | P.A. Semi | drive.ai | Beats Electronics","Siri Inc. | Apple TV+ | Apple Original Films | Texture | Apple Germany | Apple Data Team | Silicon Grail | One Voice Technologies | Emagic | Anobit | Prismo Graphics | DarwinAI | Apple Israel | FingerWorks | Apple Sales International | SchemaSoft | FileMaker, Inc. | Apple Czech | Raycer | Akonia Holographics (United States)","parent organization"
"parentCompany","InVisage_Technologies | Beats_Electronics | P.A._Semi | Apple_Studios | Braeburn_Capital | Taligent | FingerWorks | The_Keyboard_Company | PrimeSense | AuthenTec | Claris | Kaleida_Labs | Apple_Store | Drive.ai","","",""
"license","MacOS_Catalina | Mac_OS_X_10.1 | MacOS_Mojave | MacOS_High_Sierra | OS_X_Lion__OS_X_Lion__1 | Bonjour_(software) | MacOS_Sierra | OS_X_El_Capitan","","",""
"parentOrganization","Genius_Bar","","",""
"institution","Dan_Ingalls | Divya_Nag | Ian_Goodfellow | Ramanathan_V._Guha | Abigail_Sellen | Gayle_Laakmann_McDowell | Mark_Davis_(Unicode) | Alan_Kay__Alan_Kay__1 | Larry_Tesler | Richard_F._Lyon | Ted_Kaehler | David_Canfield_Smith | Chris_Lattner | Timnit_Gebru","","",""
"employer","Death_of_Ramapiram_Kannickaisparry | Phil_Schiller | Bruce_Sewell | Avie_Tevanian | Katherine_L._Adams | Maciej_Stachowiak | Darin_Adler | Johny_Srouji | Deirdre_O'Brien | Morgan_Wandell | Eddy_Cue | Greg_Joswiak","","",""
