"founded","Albuquerque, New Mexico, U.S. | 1975-04-04","","",""
"services","Azure | Windows Update | Microsoft Store | Bing | OneDrive | Yammer | GitHub | LinkedIn | Xbox Game Pass | Xbox network | Outlook.com | Microsoft 365","","",""
"product","Corporate_venture_capital | Computer_hardware | Video_game_industry | Internet | Consumer_electronics | Social_networking_service | Software_development | Cloud_computing","","",""
"equity","1.665E11","","",""
"subsidiary","Xamarin | Metaswitch | LinkedIn | RiskIQ | Xandr","GitHub | Nuance Communications | Skype Technologies","Microsoft Mobile | LinkedIn Corporation | Microsoft Japan | Microsoft Production Studios | Microsoft Store | Clipchamp Pty Ltd | Danger, Inc. | Visio Corporation | Microsoft Israel | Havok | Fast Search & Transfer | Microsoft Egypt | ZeniMax Media | DreamWorks Interactive | Tellme Networks | Sysinternals | Perceptive Pixel | Microsoft Ireland Research | Microsoft Switzerland | Razorfish | Digital Anvil | Xbox Game Studios | Rare Ltd. | Microsoft (Netherlands) | Softomotive | Ensemble Studios | Microsoft s.r.o. | Avanade | Massive Incorporated | Microsoft (France) | aQuantive | Q112660923 | Microsoft Algeria | Microsoft Online | Microsoft Kids | Microsoft Ireland Operations | Microsoft Operations | Microsoft Global Finance | Microsoft India R & D | ProClarity | Microsoft Research Asia | Jellyfish.com | Microsoft (United Kingdom) | Microsoft Morocco | Microsoft Saudi | Lionhead Studios | Microsoft Regional Sales | Powerset | Activision Blizzard | Microsoft Canada | GreenButton | LinkedIn Ireland | DATAllegro | Microsoft (Ukraine) | Turn 10 Studios","has subsidiary"
"assets","3.648E11","","",""
"industry","Information_technology",software industry | software development | information technoligy,"software industry | software development | International Standard Industrial Classification | tech industry","industry"
"products","Computer_hardware | Video_game_industry | Internet | Consumer_electronics | Social_networking_service | Software_development | Cloud_computing | Corporate_venture_capital","","",""
"service","Windows_Update | OneDrive | Yammer | GitHub | LinkedIn | Microsoft_Bing | Xbox_Game_Pass | Microsoft_Azure | Xbox_network | Microsoft_365 | Outlook.com | Microsoft_Store_(digital)","","",""
"areaServed","Worldwide","","",""
"hqLocationCountry","U.S.","","",""
"founders | foundedBy","","Paul Allen | Bill Gates","Global Network Initiative | Visual FoxPro | Avanade | Snipping Tool | Global Internet Forum to Counter Terrorism | Overture Maps Foundation | Outercurve Foundation | Q20020535 | Partnership on AI | .NET Compiler Platform | MSAV | Alliance for Open Media | Internet Association","founded by"
"division","Xbox_Game_Studios","Microsoft Research","","business division"
"headquarter","Microsoft_Redmond_campus | Redmond,_Washington","","",""
"brands","Dynamics | Xbox | Office | Minecraft | Skype | Surface | Visual Studio | Windows","","",""
"species","no","","",""
"operatingIncome","8.34E10","","",""
"tradeName","Microsoft","","",""
"netIncome","7.27E10","","",""
"foundingYear","1975","","",""
"hqLocation","Microsoft_Redmond_campus | Redmond,_Washington","","",""
"isPrimaryTopicOf","Microsoft","","",""
"foundingDate","1975-04-04","","",""
"type","","public company","Calibri | Microsoft PhagsPa | Marlett | Consolas | Urdu Typesetting | Bahnschrift | Webdings | Aptos | MS Gothic | Candara | Trebuchet MS | Haettenschweiler | Gautami Typeface | Verdana | Microsoft New Tai Lue | Comic Sans MS | MS Sans Serif | Jokerman | Tahoma | Corbel | MS Mincho | Georgia | Meiryo | business | software company | technology company | Washington corporation","type foundry | instance of | legal form"
"name","List_of_colors_(compact)","Microsoft Corporation","","official name"
"","","","Microsoft Certified DevOps Engineer Expert | Security Operations Analyst Associate | Power BI Data Analyst Associate | Microsoft Most Valuable Professional | Azure Data Scientist Associate | Microsoft Certified Training Partner | Azure Developer Associate | Azure IoT Developer | Cybersecurity Architect Expert | Azure Data Fundamentals | Security, Compliance, and Identity Fundamentals | Microsoft Technology Associate | Career Essentials in System Administration by Microsoft and LinkedIn | Azure Solutions Architect Expert | Azure Cosmos DB Developer Specialty | Microsoft Power Platform Developer Associate | Azure Data Engineer Associate | Azure Database Administrator Associate | Q2471557 | Microsoft Certified Professional | Azure Security Engineer Associate","conferred by"
"","","","788000 | 1640000","social media followers"
