"foundingYear","1977","","",""
"parent","Change_Healthcare","Optum","Quality Software Services | Golden Rule Insurance Company","parent organization"
"services","Health_insurance | Pharmacy_benefit_manager | Healthcare_services | Health_care_provider","","",""
"parentCompany","Change_Healthcare | Optum","","",""
"keyPerson","Stephen_J._Hemsley | Andrew_Witty","","",""
"service","Health_insurance | Pharmacy_benefit_manager | Healthcare_services | Health_care_provider","","",""
"keyPeople","Stephen_J._Hemsley | Larry C. Renfro | Andrew_Witty","","",""
"primaryTopic","UnitedHealth_Group","","",""
"sponsor","2016_UnitedHealthcare_season | 2015_UnitedHealthcare_season","","",""
"type","","public company","enterprise | business | Delaware corporation","instance of | legal form"
"equity","7.5045E10","","",""
"assets","2.12206E11","","",""
"successor","GeoAccess | Catamaran_Corporation","","",""
"name","UnitedHealth Group Incorporated","","",""
"industry","Insurance | Managed_care",health insurance company ,"health insurance company","industry"
"isPrimaryTopicOf","UnitedHealth_Group","","",""
"netIncome","1.7285E10","","",""
"location","United_States | Minnetonka,_Minnesota",Minnetonka | Minnesota,"Minnetonka","headquarters location"
"occupation","Andrew_Witty","","",""
"operatingIncome","2.1646E10","","",""
"founder","","Richard T. Burke","","founded by"
"subsidiary","Optum | UnitedHealthcare","","",""
"areaServed","Worldwide","","",""
"","","","Stephen J. Hemsley | Valerie Montgomery Rice | Timothy P. Flynn | Michele J. Hooper | Brian Thompson | John H. Noseworthy | Richard T. Burke | Paul Garcia | Charlie Baker | F. William McNabb III | Andrew Witty | Gail Wilensky | Kristen L. Gil","board member"
"","","","Stephen J. Hemsley | Brian Thompson","director / manager"
"","","","S&P 500 | Logistics Health Incorporated | Dow Jones Industrial Average","part of"
"","","","Andrew Witty","chief executive officer"
"","","","39354 | 35630 | 38805","social media followers"
"","","","United States of America","country"
"","","","Simon Stevens","affiliation"
"","","","UnitedHealth Group","native label"
"","","","UnitedHealth Group","Commons category"
"","","","Dow Jones Industrial Average","has part(s)"
"","","","New York Stock Exchange","stock exchange"
