15,1,6,6,"pillpack | amazon prime air | amazon czech republic services | box office mojo | amazon studios | abebooks | amazon technologies | comixology | amazon pharmacy | audible | sqrrl | amazon mgm studios | amazon prime video | amazon logistic prague | amazon europe core","audible (service)","ring | zoox inc. | double helix games | diapers.com | imdb | blink home","ring inc. | amazon university esports | blink | amazon.com | zoox inc | imdb.com, inc."
0,24,2,29,"","alexa internet | internet game database | camelcamelcamel | double helix games | amazon czech republic services | diapers.com | twitch interactive | twitch (service) | brilliance audio | tenmarks education, inc. | umbra (3d technology company) | amazon clinic | digital photography review | lake union publishing | zoox (company) | avcrec | mgm holdings | reflexive entertainment | amazon.in | blink home | amazon logistic prague | merch by amazon | amazon europe core | amazon university esports","inc. | amazon.com","goodreads, inc. | ring | twitch | body labs | zoox | pillpack | createspace.com | box office mojo | amazon studios | graphiq | blink | amazon pay | amazon marketplace | amazon technologies | umbra | kuiper systems | amazon lab126 | annapurna labs | amazon robotics | audible | amazon books | amazon logistics | amazon mgm studios | souq.com | inlt | amazon freevee | kindle direct publishing | amazon business | imdb.com, inc."
0,0,0,8,"","","","partnership on ai | ddex | matter | alliance for open media | amazon prime video | internet association | amazon go | overture maps foundation"
8,0,0,2,"entertainment | web hosting | digital distribution | cloud computing | artificial intelligence | web service | retail | consumer electronics","","","self driving cars | supermarket"
3,0,0,1,"amazon astro | amazon echo show | amazon echo","","","obidos"
0,4,0,0,"","mordheim: warband skirmish | airport city | war robots | pixel gun 3d","",""
0,0,4,3,"","","e commerce | digital streaming | artificial intelligence | cloud computing","sabrina apicella | katherine boehret | thomas o. ryder"
2,0,1,4,"mozart in the jungle | jean claude van johnson","","ten percent (tv series)","evangelion: 1.0 you are (not) alone (amazon dub) | ten percent | la tête dans les étoiles | evangelion: 2.0 you can (not) advance (amazon dub)"
2,3,2,0,"seattle | washington","seattle, washington | seattle, washington and arlington, virginia | arlington, virginia","virginia | arlington",""
0,1,2,1,"","cadabra, inc.","inc. | amazon.com","amazon.com, inc."
2,0,0,3,"corporation | e commerce","","","business | enterprise | very large online platform"
