16,1,6,5,"amazon technologies | amazon czech republic services | sqrrl | amazon university esports | audible | amazon prime air | pillpack | box office mojo | amazon prime video | amazon pharmacy | abebooks | amazon studios | amazon mgm studios | amazon logistic prague | comixology | amazon europe core","audible (service)","double helix games | ring | diapers.com | zoox inc. | blink home | imdb","zoox inc | imdb.com, inc. | amazon.com | blink | ring inc."
0,24,0,29,"","double helix games | brilliance audio | amazon czech republic services | merch by amazon | amazon clinic | amazon university esports | twitch interactive | internet game database | reflexive entertainment | avcrec | alexa internet | mgm holdings | twitch (service) | tenmarks education, inc. | zoox (company) | digital photography review | amazon.in | lake union publishing | amazon logistic prague | camelcamelcamel | diapers.com | amazon europe core | umbra (3d technology company) | blink home","","amazon technologies | twitch | souq.com | imdb.com, inc. | amazon logistics | amazon freevee | amazon robotics | annapurna labs | umbra | ring | audible | amazon pay | graphiq | pillpack | kindle direct publishing | createspace.com | inlt | amazon books | amazon business | box office mojo | amazon studios | amazon marketplace | amazon mgm studios | blink | body labs | kuiper systems | zoox | goodreads, inc. | amazon lab126"
0,0,0,8,"","","","matter | overture maps foundation | alliance for open media | ddex | internet association | partnership on ai | amazon go | amazon prime video"
9,0,0,1,"web service | entertainment | retail | supermarket | digital distribution | cloud computing | web hosting | consumer electronics | artificial intelligence","","","self driving cars"
0,0,0,4,"","","","amazon astro | obidos | amazon echo | amazon echo show"
0,4,0,0,"","mordheim: warband skirmish | airport city | pixel gun 3d | war robots","",""
0,0,0,3,"","","","katherine boehret | thomas o. ryder | sabrina apicella"
2,0,1,4,"jean claude van johnson | mozart in the jungle","","ten percent (tv series)","la tête dans les étoiles | ten percent | evangelion: 2.0 you can (not) advance (amazon dub) | evangelion: 1.0 you are (not) alone (amazon dub)"
2,3,2,0,"washington | seattle","seattle, washington and arlington, virginia | seattle, washington | arlington, virginia","arlington | virginia",""
0,1,3,1,"","cadabra, inc.","inc. | amazon.com | cadabra","amazon.com, inc."
3,0,0,2,"business | e commerce | corporation","","","enterprise | very large online platform"
